Transcript	Length	NumReads	Unmapped	Sample	Gene
Aaur_scaffold10.g229.t1	906	0	0	mapping	Auraur_scaffold10.g229.t1
Aaur_scaffold1257.g13.t1	1092	1214	127	mapping	Auraur_scaffold1257.g13.t1
Aaur_scaffold1329.g6.t1	3297	9169	393	mapping	Auraur_scaffold1329.g6.t1
Aaur_scaffold1021.g3.t1	963	1074	32	mapping	Auraur_scaffold1329.g6.t1
Aaur_scaffold1520.g2.t1	3270	1025	86	mapping	Auraur_scaffold1520.g2.t1
Aaur_scaffold1574.g2.t1	3018	1330	137	mapping	Auraur_scaffold1574.g2.t1
Aaur_scaffold1885.g5.t1	3306	30095	888	mapping	Auraur_scaffold1885.g5.t1
Aaur_scaffold1523.g4.t1	1167	9531	395	mapping	Auraur_scaffold1885.g5.t1
Aaur_scaffold2133.g3.t1	960	3753	314	mapping	Auraur_scaffold72.g1.t1
Aaur_scaffold5108.g1.t1	1776	12207	950	mapping	Auraur_scaffold72.g1.t1
Aaur_scaffold806.g9.t1	4569	1203	89	mapping	Auraur_scaffold806.g9.t1
Aaur_scaffold921.g6.t1	1494	17661	870	mapping	Auraur_scaffold921.g6.t1
