Orthogroup	Orthogroup annotation	Gene family	Gene type	Num genes	Num species	Num lineages	LECA presence probability	LECA presence support	Closest homologs in...	Closest homologs score	Consensus architecture	Hsap symbol	Dmel symbol	Scer symbol	Atha symbol
Acetyltransf_1.HG1.14	NAA30	Acetyltransf_1	Acetylase	171	155	11	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Hemimastigophora,Malawimonadidae,Metamonada,Meteor	Bacteria	1.000	Acetyltransf_1	NAA30	Naa30A,Naa30B	MAK3	MAK3
Acetyltransf_1.HG10.0	NAA40	Acetyltransf_1	Acetylase	144	123	11	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Hemimastigophora,Malawimonadidae,Metamonada,Meteor	Other eukaryotic	0.971	Acetyltransf_1	NAA40	Naa40	NAT4	NA
Acetyltransf_1.HG2.8	NAA60	Acetyltransf_1	Acetylase	139	110	11	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Hemimastigophora,Malawimonadidae,Metamonada,Meteor	Other eukaryotic	0.983	Acetyltransf_1	NAA60	Naa60	NA	MCC1
Acetyltransf_1.HG3.5	GNPNAT1	Acetyltransf_1	Acetylase	178	138	11	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Hemimastigophora,Malawimonadidae,Metamonada,Meteor	Archaea	0.994	Acetyltransf_1	GNPNAT1	Gnpnat	GNA1	GNA1
Acetyltransf_1.HG5.1	KAT2A/KAT2B	Acetyltransf_1	Acetylase	198	131	11	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Hemimastigophora,Malawimonadidae,Metamonada,Meteor	Other eukaryotic	0.995	Acetyltransf_1,Bromodomain	KAT2A,KAT2B	Gcn5	NA	HAG1
Acetyltransf_1.HG6.1	NAA10/NAA11	Acetyltransf_1	Acetylase	175	155	11	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Hemimastigophora,Malawimonadidae,Metamonada,Meteor	Other eukaryotic	1.000	Acetyltransf_1	NAA11,NAA10	vnc	ARD1	NAA10
Acetyltransf_1.HG9.1	ELP3	Acetyltransf_1	Acetylase	146	136	11	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Hemimastigophora,Malawimonadidae,Metamonada,Meteor	Archaea	1.000	Radical_SAM,Radical_SAM_C,Acetyltransf_1	ELP3	Elp3	ELP3	HAG3
Acetyltransf_1.HG8.1	NAA20	Acetyltransf_1	Acetylase	171	158	11	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Hemimastigophora,Malawimonadidae,Meteor	Other eukaryotic	0.995	Acetyltransf_1	NAA20	Naa20B,CG31730,Naa20A	NAT3	NAA20
Acetyltransf_1.HG11.1	NA	Acetyltransf_1	Acetylase	153	64	10	1.000	NA	Bacteria	0.988	Acetyltransf_3	NA	NA	NA	NA
Acetyltransf_1.HG4.0	like:SAT1/SAT2/SATL1	Acetyltransf_1	Acetylase	63	47	10	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Hemimastigophora,Malawimonadidae,Metamonada	Bacteria	0.978	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG7.0	NA	Acetyltransf_1	Acetylase	143	69	10	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Hemimastigophora,Malawimonadidae,Metamonada	Bacteria	1.000	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG1.19	like:NAT8/NAT8L	Acetyltransf_1	Acetylase	76	39	9	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Malawimonadidae,Meteor	Bacteria	0.973	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG16.0	AANAT	Acetyltransf_1	Acetylase	92	72	9	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Malawimonadidae,Meteor	Bacteria	1.000	Acetyltransf_1	AANAT	NA	PAA1	NA
Acetyltransf_1.HG4.1	SAT1/SAT2/SATL1	Acetyltransf_1	Acetylase	196	109	9	1.000	NA	Bacteria	1.000	Acetyltransf_1	SAT2,SAT1,SATL1	CG4210	HPA3,HPA2	NATA1
