Transcript	Length	EffectiveLength	TPM	NumReads	Sample	Gene
Dpul_mRNA29427	2817	2617.105	1.159017	39.000	SRR6356518	Dpul_EFX85712
Dpul_mRNA29427	2817	2618.446	2.117786	67.000	SRR6356519	Dpul_EFX85712
Dpul_mRNA29427	2817	2571.088	0.624487	25.000	SRR6356520	Dpul_EFX85712
Dpul_mRNA29427	2817	2567.013	0.937907	25.000	SRR6356521	Dpul_EFX85712
Dpul_mRNA29427	2817	2586.045	0.372938	15.000	SRR6356522	Dpul_EFX85712
Dpul_mRNA29427	2817	2610.903	1.733367	47.000	SRR6356523	Dpul_EFX85712
Dpul_mRNA29427	2817	2606.552	0.680338	19.000	SRR6356524	Dpul_EFX85712
Dpul_mRNA29427	2817	2578.582	0.690079	34.000	SRR6356525	Dpul_EFX85712
Dpul_mRNA29427	2817	2584.305	1.093173	39.000	SRR6356526	Dpul_EFX85712
Dpul_mRNA29427	2817	2586.215	1.117009	32.462	SRR6356527	Dpul_EFX85712
Dpul_mRNA29427	2817	2581.858	0.424286	18.000	SRR6356528	Dpul_EFX85712
Dpul_mRNA29427	2817	2607.760	1.879266	56.000	SRR6356529	Dpul_EFX85712
Dpul_mRNA29427	2817	2618.037	1.179608	29.000	SRR6356530	Dpul_EFX85712
Dpul_mRNA29427	2817	2615.988	0.684427	26.000	SRR6356531	Dpul_EFX85712
Dpul_mRNA29427	2817	2613.266	1.016229	64.000	SRR6356532	Dpul_EFX85712
Dpul_mRNA29427	2817	2605.601	0.840784	30.000	SRR6356533	Dpul_EFX85712
Dpul_mRNA29427	2817	2597.921	0.917467	36.000	SRR6356534	Dpul_EFX85712
Dpul_mRNA29427	2817	2580.744	0.694491	36.000	SRR6356535	Dpul_EFX85712
Dpul_mRNA29427	2817	2615.399	1.540187	47.000	SRR6356536	Dpul_EFX85712
Dpul_mRNA29427	2817	2609.937	1.100531	34.000	SRR6356537	Dpul_EFX85712
Dpul_mRNA29427	2817	2603.788	0.590368	20.000	SRR6356538	Dpul_EFX85712
Dpul_mRNA29427	2817	2596.094	2.683044	102.000	SRR6356539	Dpul_EFX85712
Dpul_mRNA29427	2817	2595.407	1.462988	52.000	SRR6356540	Dpul_EFX85712
Dpul_mRNA29427	2817	2574.487	0.479601	20.000	SRR6356541	Dpul_EFX85712
Dpul_mRNA29427	2817	2601.474	0.863493	29.000	SRR6356542	Dpul_EFX85712
Dpul_mRNA29427	2817	2577.685	1.810394	70.000	SRR6356547	Dpul_EFX85712
Dpul_mRNA29427	2817	2585.700	1.405239	49.000	SRR6356548	Dpul_EFX85712
Dpul_mRNA29427	2817	2579.980	0.905112	24.000	SRR6356549	Dpul_EFX85712
Dpul_mRNA29427	2817	2575.222	1.401584	60.000	SRR6356550	Dpul_EFX85712
Dpul_mRNA29427	2817	2598.790	1.573390	48.000	SRR6356551	Dpul_EFX85712
Dpul_mRNA29427	2817	2591.348	0.805433	29.000	SRR6356552	Dpul_EFX85712
Dpul_mRNA29427	2817	2597.967	0.594107	19.000	SRR6356553	Dpul_EFX85712
Dpul_mRNA29427	2817	2587.562	0.702988	27.000	SRR6356554	Dpul_EFX85712
Dpul_mRNA29427	2817	2577.152	0.945836	48.000	SRR6356555	Dpul_EFX85712
Dpul_mRNA29427	2817	2593.315	0.168847	5.000	SRR6356556	Dpul_EFX85712
Dpul_mRNA29427	2817	2613.101	0.416337	23.000	SRR6356557	Dpul_EFX85712
Dpul_mRNA29427	2817	2608.576	1.890269	58.000	SRR6356558	Dpul_EFX85712
Dpul_mRNA29427	2817	2614.316	0.910946	33.000	SRR6356559	Dpul_EFX85712
Dpul_mRNA29427	2817	2619.941	0.403664	18.000	SRR6356560	Dpul_EFX85712
Dpul_mRNA29427	2817	2618.087	0.790567	22.000	SRR6356561	Dpul_EFX85712
Dpul_mRNA29427	2817	2565.118	0.671025	24.000	SRR6356562	Dpul_EFX85712
Dpul_mRNA376	6252	6052.105	17.683101	1376.000	SRR6356518	Dpul_EFX90416
Dpul_mRNA376	6252	6053.446	4.170117	305.000	SRR6356519	Dpul_EFX90416
Dpul_mRNA376	6252	6006.088	5.956214	557.009	SRR6356520	Dpul_EFX90416
Dpul_mRNA376	6252	6002.013	4.524804	282.000	SRR6356521	Dpul_EFX90416
Dpul_mRNA376	6252	6021.045	5.157711	483.000	SRR6356522	Dpul_EFX90416
Dpul_mRNA376	6252	6045.903	8.154404	512.000	SRR6356523	Dpul_EFX90416
Dpul_mRNA376	6252	6041.552	4.835879	313.030	SRR6356524	Dpul_EFX90416
Dpul_mRNA376	6252	6013.582	7.519386	864.002	SRR6356525	Dpul_EFX90416
Dpul_mRNA376	6252	6019.305	5.981057	497.000	SRR6356526	Dpul_EFX90416
Dpul_mRNA376	6252	6021.215	24.356883	1648.012	SRR6356527	Dpul_EFX90416
Dpul_mRNA376	6252	6016.858	5.381359	532.039	SRR6356528	Dpul_EFX90416
Dpul_mRNA376	6252	6042.760	12.604138	870.323	SRR6356529	Dpul_EFX90416
Dpul_mRNA376	6252	6053.037	8.022454	456.000	SRR6356530	Dpul_EFX90416
Dpul_mRNA376	6252	6050.988	6.543669	574.988	SRR6356531	Dpul_EFX90416
Dpul_mRNA376	6252	6048.266	6.183671	901.326	SRR6356532	Dpul_EFX90416
Dpul_mRNA376	6252	6040.601	16.392190	1355.957	SRR6356533	Dpul_EFX90416
Dpul_mRNA376	6252	6032.921	9.251540	843.000	SRR6356534	Dpul_EFX90416
Dpul_mRNA376	6252	6015.744	8.135297	983.000	SRR6356535	Dpul_EFX90416
Dpul_mRNA376	6252	6050.399	22.482473	1587.137	SRR6356536	Dpul_EFX90416
