in_gene	out_gene	branch_support	ev_type	sos
Mgut_XP_012829796.1_809-884	Masbal_CACRSC010000015.1.p403_30-105	47.0	S	0.0
Mgut_XP_012829796.1_809-884	Perkma_EER17496_54-122	47.0	S	0.0
Mgut_XP_012829796.1_809-884	Auraur_scaffold2429.g2.t1_713-786	47.0	S	0.0
Mgut_XP_012829796.1_809-884	Cowc_KJE94445_501-575	47.0	S	0.0
Mgut_XP_012829796.1_809-884	Scil_scpid14932_1003-1078	47.0	S	0.0
Mgut_XP_012829796.1_809-884	Lcom_lcpid143583_103-173	47.0	S	0.0
Mgut_XP_012829796.1_809-884	Klenit_GAQ93234.1_715-788	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG90065_458-530	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG78801_832-903	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG59696_289-358	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG74414_455-528	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG79266_1120-1193	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG89122_378-443	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG75331_824-896	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG59096_524-597	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG71316_1556-1628	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG82596_835-905	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG88757_304-375	47.0	S	0.0
Phoaus_g12774.t1_1-64	Perkma_EEQ98733_1355-1418	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG41538_75-147	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG62397_2011-2080	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG62048_643-716	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG61373_645-719	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG43351_316-388	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG72751_637-710	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG71968_715-778	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG65293_359-424	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG74847_727-786	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG48803_633-702	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG87461_794-865	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG89355_314-386	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG91350_524-596	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG86838_2142-2209	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG66281_2314-2386	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG75316_1112-1184	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG67827_470-543	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG85807_1234-1307	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG60129_1175-1240	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG81376_471-543	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG64890_1805-1877	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG67585_471-539	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG63520_892-965	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG69379_325-390	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG90195_710-782	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG74491_1147-1219	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG92291_470-543	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG65890_1158-1230	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG77918_1020-1085	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG61909_526-598	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG92292_1310-1382	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG59954_663-735	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG63367_99-169	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG59842_514-586	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG80195_925-985	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG60128_2303-2376	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG76631_600-670	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG84962_490-559	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG86456_764-811	47.0	S	0.0
Phoaus_g12774.t1_1-64	Chabra_GBG84570_1655-1728	47.0	S	0.0
