Transcript	Length	EffectiveLength	TPM	NumReads	Sample	Gene
Erygut_Migut.F01679.1.v2.0	417	322.361	8.091151	43.000	SRR192004	Mgut_XP_012843330.1
Erygut_Migut.F01679.1.v2.0	417	324.246	32.958973	163.997	SRR192005	Mgut_XP_012843330.1
Erygut_Migut.F01679.1.v2.0	417	328.223	28.902875	93.000	SRR192006	Mgut_XP_012843330.1
Erygut_Migut.F01679.1.v2.0	417	324.944	36.820568	153.005	SRR192007	Mgut_XP_012843330.1
Erygut_Migut.F01679.1.v2.0	417	327.104	5.490036	37.000	SRR192008	Mgut_XP_012843330.1
Erygut_Migut.F01679.1.v2.0	417	248.276	23.920115	38.988	SRR427183	Mgut_XP_012843330.1
Erygut_Migut.F01679.1.v2.0	417	265.950	0.000000	0.000	SRR427184	Mgut_XP_012843330.1
Erygut_Migut.F01679.1.v2.0	417	259.089	40.081266	81.000	SRR427185	Mgut_XP_012843330.1
Erygut_Migut.F01679.1.v2.0	417	254.473	39.660970	60.001	SRR427186	Mgut_XP_012843330.1
Erygut_Migut.F01679.1.v2.0	417	261.056	0.000000	0.000	SRR427187	Mgut_XP_012843330.1
Erygut_Migut.F01679.1.v2.0	417	261.573	0.000000	0.000	SRR427188	Mgut_XP_012843330.1
Erygut_Migut.F01679.1.v2.0	417	244.075	8.955072	43.000	SRR427189	Mgut_XP_012843330.1
Erygut_Migut.F01679.1.v2.0	417	253.691	41.250870	45.000	SRR427190	Mgut_XP_012843330.1
Erygut_Migut.F01679.1.v2.0	417	238.672	24.502788	75.000	SRR427191	Mgut_XP_012843330.1
