in_gene	out_gene	branch_support	ev_type	sos
Discoba|Jaklib_JAKLI_07810.mRNA.1	Obazoa|Ncra_EAA28414	28.0	S	0.0
Discoba|Jaklib_JAKLI_07810.mRNA.1	Obazoa|Mcir_OAD00478	28.0	S	0.0
Discoba|Jaklib_JAKLI_07810.mRNA.1	Obazoa|Morelo_OAQ32583	28.0	S	0.0
Obazoa|Linana_g614.t1	Discoba|Amobb2_AMBB2_07430.mRNA.1	28.0	S	0.0
Obazoa|Linana_g614.t1	ArchaeCry|Klenit_GAQ84586.1	28.0	S	0.0
Obazoa|Linana_g614.t1	ArchaeCry|Sbic_EER90801	28.0	S	0.0
Obazoa|Linana_g614.t1	Amoebozoa|Acas_ELR22783	28.0	S	0.0
Obazoa|Linana_g614.t1	SARHap|Coka_g13270.t1	28.0	S	0.0
Obazoa|Linana_g614.t1	Ancyromonadida|Plamic_ANCSI_01835.mRNA.1	28.0	S	0.0
Obazoa|Linana_g614.t1	SARHap|Aplker_67797	28.0	S	0.0
Obazoa|Linana_g614.t1	SARHap|Alblai_CCA16712	28.0	S	0.0
Obazoa|Linana_g614.t1	ArchaeCry|Sphfal_Sphfalx02G157900.1.p	28.0	S	0.0
Obazoa|Linana_g614.t1	SARHap|Pinf_PITG_16801T0	28.0	S	0.0
Obazoa|Linana_g614.t1	CRuMs|Rigram_Gene.25938	28.0	S	0.0
Obazoa|Linana_g614.t1	Malawimonadidae|Gefoke_MALSP_06898.mRNA.1	28.0	S	0.0
Obazoa|Linana_g614.t1	Amoebozoa|Tielac_KYQ88779	28.0	S	0.0
Obazoa|Linana_g614.t1	Meteora|Meteor_CRO19MET_NODE_1111.p1	28.0	S	0.0
Obazoa|Linana_g614.t1	CRuMs|Diprot_Gene.16645	28.0	S	0.0
Obazoa|Apla_XP_022108841.1	Discoba|Amobb2_AMBB2_07430.mRNA.1	28.0	S	0.0
Obazoa|Apla_XP_022108841.1	ArchaeCry|Klenit_GAQ84586.1	28.0	S	0.0
Obazoa|Apla_XP_022108841.1	ArchaeCry|Sbic_EER90801	28.0	S	0.0
Obazoa|Apla_XP_022108841.1	Amoebozoa|Acas_ELR22783	28.0	S	0.0
Obazoa|Apla_XP_022108841.1	SARHap|Coka_g13270.t1	28.0	S	0.0
Obazoa|Apla_XP_022108841.1	Ancyromonadida|Plamic_ANCSI_01835.mRNA.1	28.0	S	0.0
