members	component	classification	posx	posy
arc_WP_074358740.1_1-69	0		-0.10387343168258667	0.047146230936050415
arc_WP_013684040.1_1-67	0		0.04029326140880585	0.03498002514243126
arc_SEV81931.1_1-67	0	H4	0.0582471527159214	-0.05029825121164322
arc_VVB89515.1_1-76	0	H2A	0.08673441410064697	0.1293855756521225
arc_TFF88896.1_2-72	0		0.1193433478474617	0.35719868540763855
arc_RAP53015.1_1-66	0	H4	-0.09289316087961197	0.03705279156565666
arc_ABQ87049.1_1-66	0		-0.17485938966274261	0.015686379745602608
arc_RLG60650.1_1-66	0		0.07364005595445633	-0.057812854647636414
arc_RLI84252.1_1-67	0		0.017923245206475258	0.00663126353174448
arc_PIN75182.1_1-69	0		-0.028171667829155922	0.014082245528697968
arc_OEC93501.1_1-69	0		-0.14877833425998688	0.10737615078687668
arc_WP_067148291.1_1-67	0		-0.0658855140209198	-0.008658253587782383
arc_VUT27968.1_1-68	0		0.008752716705203056	0.08399225026369095
arc_WP_013336951.1_1-76	0	H4	0.07927042990922928	-0.007110564038157463
arc_RLI15435.1_1-73	0	H4	-0.07338013499975204	-0.18963488936424255
arc_sp|Q58342.1|HJA2_METJA_1-67	0		0.0726705938577652	-0.11949386447668076
arc_OJI06728.1_1-65	0	H4	-0.08469364792108536	0.24398517608642578
arc_QEF93863.1_1-67	0	H4	0.06045860797166824	-0.02629733271896839
arc_RLE85835.1_1-80	0	H4	-0.13349251449108124	0.08057992905378342
arc_WP_048148216.1_1-67	0		0.09156970679759979	-0.04976813122630119
arc_RNJ76765.1_1-73	0		-0.1589544117450714	-0.32299375534057617
arc_KUK29300.1_1-67	0		0.11045833677053452	-0.08186983317136765
arc_sp|Q9Y8I1.1|HARA_THEKO_1-67	0	H4	0.018965253606438637	-0.017161523923277855
arc_EKF85472.1_1-68	0		-0.14476141333580017	0.0743527039885521
arc_KKH17827.1_1-70	0	H4	0.15272021293640137	0.21032240986824036
arc_OJT94236.1_1-65	0	H4	-0.08798106014728546	0.24552996456623077
arc_TET02768.1_1-68	0		0.0714588612318039	0.003998698201030493
arc_TKJ17662.1_1-71	0		0.013640575110912323	0.0714384913444519
arc_PTL87570.1_1-73	0	H4	-0.11535260081291199	-0.27775484323501587
arc_WP_081738351.1_1-65	0		-0.18773728609085083	0.016463231295347214
arc_WP_054299234.1_1-69	0	H4	0.16297928988933563	0.22310970723628998
arc_ASJ05087.1_1-67	0	H4	0.07681573927402496	-0.031777575612068176
arc_PAV03496.1_1-71	0		-0.11861052364110947	0.0726550742983818
arc_WP_067146881.1_1-65	0		-0.1776614934206009	0.0232277512550354
arc_RLI09583.1_1-67	0		-0.6208167672157288	-0.25372907519340515
arc_AWX32048.1_1-66	0	H4	-0.1373094618320465	0.05501716211438179
arc_EEE42291.1_1-69	0		-0.05605936422944069	-0.03165809065103531
arc_QEE17327.1_2-72	0		0.13042797148227692	0.3807210624217987
arc_WP_013038123.1_1-73	0		0.05382055789232254	0.15899476408958435
arc_OPX68488.1_1-68	0	H3	0.356155127286911	-0.2709338665008545
arc_WP_013866738.1_1-67	0		0.030350729823112488	-0.05596839264035225
arc_TFG00263.1_1-49	0		0.16454774141311646	0.4823681116104126
arc_KON27866.1_2-76	0		-0.12009808421134949	-0.27013102173805237
arc_AKB41777.1_1-48	0		0.19193169474601746	0.2476205676794052
arc_RCV65530.1_1-71	0	H4	-0.10516372323036194	0.06885170936584473
arc_WP_069583252.1_1-68	0		-0.12717722356319427	0.07312409579753876
arc_TET25742.1_1-73	0		-0.05765748396515846	-0.16242124140262604
arc_CCE69724.1_1-67	0	H4	0.04652727395296097	-0.005423410329967737
arc_WP_066955067.1_1-68	0	H3	0.360703706741333	-0.26882076263427734
arc_AOV94513.1_1-65	0	H4	-0.04710821434855461	-0.006546886172145605
arc_WP_048092726.1_1-67	0	H4	0.012449403293430805	0.02090185321867466
