Accession,NumberOfAminoAcids,Coverage,PsmCount,PeptideGroupCount
Ppat_XP_001779504,621,7.56843800322061,12,3
Ppat_XP_001767680,139,32.3741007194245,52,4
Ppat_XP_001752264,114,9.64912280701754,3,1
Ppat_XP_001761826,355,13.5211267605634,9,4
Ppat_XP_001770984,511,1.17416829745597,1,1
Ppat_XP_001777097,346,2.89017341040462,2,1
Ppat_XP_001764052,129,11.6279069767442,1,1
Ppat_XP_001752782,132,21.2121212121212,20,3
Ppat_XP_001752914,227,5.72687224669604,2,1
Ppat_XP_001780153,81,32.0987654320988,7,2
Ppat_XP_001777885,341,3.2258064516129,1,1
Ppat_XP_001780101,425,4.70588235294118,5,2
Ppat_XP_001763402,161,40.3726708074534,29,9
Ppat_NP_904206,473,4.22832980972516,3,1
Ppat_XP_001762416,144,24.3055555555556,25,3
Ppat_XP_001766797,156,5.12820512820513,2,1
Ppat_XP_001762996,376,2.12765957446809,12,1
Ppat_XP_001780035,606,2.31023102310231,5,1
Ppat_XP_001777989,851,0.82256169212691,4,1
Ppat_XP_001769639|Histone_H2B,136,30.8823529411765,26,3
Ppat_XP_001757844,254,4.33070866141732,5,1
Ppat_XP_001756013,423,2.60047281323877,2,1
Ppat_XP_001765757,444,3.15315315315315,4,1
Ppat_XP_001773365,529,2.83553875236295,1,1
Ppat_XP_001774724,662,9.06344410876133,12,5
Ppat_XP_001760189,371,9.97304582210243,4,2
Ppat_XP_001752001,166,6.02409638554217,6,1
Ppat_XP_001778071,538,1.11524163568773,1,1
Ppat_XP_001780239|Histone_H3,137,21.8978102189781,26,3
Ppat_XP_001779689,319,4.38871473354232,2,1
Ppat_XP_001760974,343,6.12244897959184,21,2
Ppat_XP_001756248,325,2.46153846153846,1,1
Ppat_XP_001763884,783,5.49169859514687,6,3
Ppat_XP_001767043,356,11.2359550561798,4,2
Ppat_NP_904234,91,10.989010989011,16,1
Ppat_XP_001782111,158,13.2911392405063,1,1
Ppat_XP_001761285|Histone_H2A,119,18.4873949579832,39,3
Ppat_XP_001765237,899,5.11679644048943,17,4
Ppat_XP_001784150,467,2.78372591006424,3,1
Ppat_XP_001770526,255,10.9803921568627,11,2
Ppat_XP_001784179,79,53.1645569620253,21,2
Ppat_XP_001771532,3732,2.46516613076099,15,8
Ppat_XP_001779833,114,14.9122807017544,4,1
Ppat_XP_001785190,308,10.3896103896104,8,3
Ppat_XP_001775656,1385,2.67148014440433,8,3
Ppat_XP_001757577,283,2.82685512367491,4,1
Ppat_XP_001760773,977,1.74002047082907,5,2
Ppat_XP_001760265,138,5.79710144927536,21,1
Ppat_XP_001775135,1010,22.5742574257426,53,18
CON_007085262,650,4.0,5,3
Ppat_XP_001778721,167,5.98802395209581,1,1
Ppat_XP_001773938,564,3.90070921985816,1,1
Ppat_XP_001757145,616,3.73376623376623,23,2
Ppat_XP_001770480,230,15.6521739130435,6,4
Ppat_XP_001763356,2231,3.98924249215598,18,7
Ppat_XP_001758487,149,21.4765100671141,22,2
