genomic_cluster	species	members	num_genes	list_genes
96	Hsap	H2A,H2AZ,H2B,H3,H4,macroH2A	25	Hsap_ENSP00000244537.6,Hsap_ENSP00000289316.2,Hsap_ENSP00000303373.2,Hsap_ENSP00000321389.5,Hsap_ENSP00000321744.4,Hsap_ENSP00000328484.4,Hsap_ENSP00000332194.3,Hsap_ENSP00000332790.4,Hsap_ENSP00000333277.2,Hsap_ENSP00000341094.2,Hsap_ENSP00000342886.3,Hsap_ENSP00000349430.2,Hsap_ENSP00000351589.3,Hsap_ENSP00000352252.3,Hsap_ENSP00000358151.2,Hsap_ENSP00000358155.2,Hsap_ENSP00000366618.2,Hsap_ENSP00000373730.3,Hsap_ENSP00000445831.1,Hsap_ENSP00000475942.1,Hsap_ENSP00000477527.2,Hsap_ENSP00000477907.2,Hsap_ENSP00000479169.1,Hsap_ENSP00000482674.2,Hsap_ENSP00000489536.1
97	Hsap	H2A,H2B	2	Hsap_ENSP00000274764.3,Hsap_ENSP00000297012.4
98	Hsap	H2B	2	Hsap_ENSP00000347119.3,Hsap_ENSP00000354723.3
99	Hsap	H2A,H2B,H3	3	Hsap_ENSP00000355656.2,Hsap_ENSP00000355657.2,Hsap_ENSP00000479284.1
66	Drer	H2A,H2B	2	Drer_ENSDARP00000055912.4,Drer_ENSDARP00000090794.3
67	Drer	H2A,H2AZ,H2B,H3,H4	24	Drer_ENSDARP00000067893.2,Drer_ENSDARP00000067895.1,Drer_ENSDARP00000067896.1,Drer_ENSDARP00000067948.4,Drer_ENSDARP00000077832.3,Drer_ENSDARP00000084277.3,Drer_ENSDARP00000090632.3,Drer_ENSDARP00000093780.2,Drer_ENSDARP00000099813.2,Drer_ENSDARP00000101525.2,Drer_ENSDARP00000102775.2,Drer_ENSDARP00000103937.2,Drer_ENSDARP00000104399.2,Drer_ENSDARP00000104630.1,Drer_ENSDARP00000107702.1,Drer_ENSDARP00000126712.1,Drer_ENSDARP00000126712.1,Drer_ENSDARP00000126726.1,Drer_ENSDARP00000128277.1,Drer_ENSDARP00000129570.1,Drer_ENSDARP00000129663.1,Drer_ENSDARP00000142201.1,Drer_ENSDARP00000142232.1,Drer_ENSDARP00000142481.1
201	Skow	H2A,H2B,H3,H4	13	Skow_XP_002731239.1,Skow_XP_002733414.1,Skow_XP_002733416.1,Skow_XP_002735146.1,Skow_XP_002738088.2,Skow_XP_002738088.2,Skow_XP_002738091.1,Skow_XP_002738204.1,Skow_XP_006812123.1,Skow_XP_006820302.1,Skow_XP_006820302.1,Skow_XP_006820574.1,Skow_XP_006825352.1
202	Skow	H2A,H2B	3	Skow_XP_002731993.1,Skow_XP_002733166.1,Skow_XP_006818184.1
203	Skow	H2A,H2B	2	Skow_XP_002736940.1,Skow_XP_006819187.1
204	Skow	H2A,H2B	2	Skow_XP_002738085.1,Skow_XP_006820571.1
205	Skow	H2A,H2B	2	Skow_XP_002739290.1,Skow_XP_002739291.1
206	Skow	H2A,H2B	2	Skow_XP_002740697.1,Skow_XP_006823988.1
207	Skow	H4,macroH2A	2	Skow_XP_006817030.1,Skow_XP_006817031.1
184	Ptyfla	H3	3	Ptyfla_pfl_40v0_9_20150316_1g20750.t1,Ptyfla_pfl_40v0_9_20150316_1g22940.t1,Ptyfla_pfl_40v0_9_20150316_1g22941.t1
216	Spur	H2A,H2B,H3,H4	14	Spur_NP_001014426.1,Spur_XP_001176802.2,Spur_XP_011662709.1,Spur_XP_011669701.1,Spur_XP_030829748.1,Spur_XP_030833517.1,Spur_XP_030834659.1,Spur_XP_030836142.1,Spur_XP_030837453.1,Spur_XP_030838374.1,Spur_XP_030838374.1,Spur_XP_030838374.1,Spur_XP_030842705.1,Spur_XP_030843320.1
217	Spur	H2A,H2B	2	Spur_NP_001116979.1,Spur_XP_791271.1
218	Spur	H2A,H2B	2	Spur_NP_001229615.1,Spur_XP_794738.1
219	Spur	H2A,H2B	2	Spur_XP_001175793.2,Spur_XP_030837450.1
220	Spur	H2A,H2B	2	Spur_XP_003724619.1,Spur_XP_011664020.1
221	Spur	H2A,H2B	2	Spur_XP_011667593.1,Spur_XP_794853.1
222	Spur	H2A,H2B	2	Spur_XP_011683150.1,Spur_XP_030835156.1
223	Spur	H2A,H2B	2	Spur_XP_030840910.1,Spur_XP_030847776.1
11	Apla	H2A,H2AZ,H2B,H3,H4	8	Apla_XP_022080340.1,Apla_XP_022080340.1,Apla_XP_022080478.1,Apla_XP_022080479.1,Apla_XP_022088067.1,Apla_XP_022088067.1,Apla_XP_022088169.1,Apla_XP_022108863.1
61	Dmel	H2A,H2B,H3,H4	6	Dmel_FBpp0082421,Dmel_FBpp0085249,Dmel_FBpp0085250,Dmel_FBpp0085281,Dmel_FBpp0091099,Dmel_FBpp0091114
226	Tcas	H2B,H3	2	Tcas_XP_008199957.2,Tcas_XP_966487.1
62	Dpul	H2A,H2B,H3,H4	6	Dpul_EFX62752,Dpul_EFX62753,Dpul_EFX62825,Dpul_EFX86829,Dpul_EFX86889,Dpul_EFX87063
63	Dpul	,macroH2A	3	Dpul_EFX72335,Dpul_EFX72335,Dpul_EFX72413
64	Dpul	H2B,H3,H4	3	Dpul_EFX78453,Dpul_EFX78516,Dpul_EFX78517
128	Lpol	H2A,H2B	2	Lpol_XP_013776727.1,Lpol_XP_013776729.1
54	Cscu	H2B,H4	2	Cscu_XP_023213286.1,Cscu_XP_023234367.1
55	Cscu	H2A,H2AZ	2	Cscu_XP_023227341.1,Cscu_XP_023241764.1
56	Cscu	H2A,H2B	4	Cscu_XP_023234590.1,Cscu_XP_023235533.1,Cscu_XP_023242603.1,Cscu_XP_023244702.1
91	Hduj	H2A,H2B	2	Hduj_OQV17567.1,Hduj_OQV17568.1
92	Hduj	H3,H4	3	Hduj_OQV20926.1,Hduj_OQV20927.1,Hduj_OQV24683.1
187	Ramvar	H2A,H2B,H3,H4	6	Ramvar_GAU94129.1,Ramvar_GAU94130.1,Ramvar_GAU94132.1,Ramvar_GAU94133.1,Ramvar_GAU94246.1,Ramvar_GAV05295.1
121	Lgig	H2A,H2B,H3,H4	11	Lgig_LotgiP145440,Lgig_LotgiP145453,Lgig_LotgiP146043,Lgig_LotgiP146485,Lgig_LotgiP147338,Lgig_LotgiP147922,Lgig_LotgiP148108,Lgig_LotgiP175997,Lgig_LotgiP175997,Lgig_LotgiP176431,Lgig_LotgiP176845
122	Lgig	H3,other_CENP	2	Lgig_LotgiP145781,Lgig_LotgiP145782
39	Cgig	H2AZ,H2B,H3,H4	5	Cgig_EKC28009,Cgig_EKC28010,Cgig_EKC28011,Cgig_EKC28012,Cgig_EKC28032
57	Ctel	H2A,H2B,H3,H4	15	Ctel_CapteP103051,Ctel_CapteP111354,Ctel_CapteP125227,Ctel_CapteP128452,Ctel_CapteP1352,Ctel_CapteP137819,Ctel_CapteP198869,Ctel_CapteP198869,Ctel_CapteP203037,Ctel_CapteP20749,Ctel_CapteP20749,Ctel_CapteP213180,Ctel_CapteP219998,Ctel_CapteP219998,Ctel_CapteP98994
