Spur_gene-ND1	Spur_1_1
Spur_gene-ND2	Spur_1_2
Spur_gene-COX1	Spur_1_3
Spur_gene-ND4L	Spur_1_4
Spur_gene-COX2	Spur_1_5
Spur_gene-ATP8	Spur_1_6
Spur_gene-ATP6	Spur_1_7
Spur_gene-COX3	Spur_1_8
Spur_gene-ND3	Spur_1_9
Spur_gene-ND4	Spur_1_10
Spur_gene-ND5	Spur_1_11
Spur_gene-ND6	Spur_1_12
Spur_gene-CYTB	Spur_1_13
Spur_XM_030979588.1	Spur_2_1
Spur_XM_030987460.1	Spur_3_1
Spur_XM_030980282.1	Spur_3_2
Spur_XM_030982729.1	Spur_3_3
Spur_XM_030974468.1	Spur_3_4
Spur_XM_030979589.1	Spur_3_5
Spur_XM_030981128.1	Spur_3_6
Spur_XM_030978799.1	Spur_3_7
Spur_XM_030981921.1	Spur_3_8
Spur_XM_030986608.1	Spur_3_9
Spur_XM_030987461.1	Spur_3_10
Spur_XM_030992212.1	Spur_4_1
Spur_XM_030993748.1	Spur_5_1
Spur_XM_030992882.1	Spur_5_2
Spur_XM_030994542.1	Spur_6_1
Spur_XM_030995401.1	Spur_6_2
Spur_XM_030996208.1	Spur_6_3
Spur_XM_030996998.1	Spur_7_1
Spur_XM_030997852.1	Spur_7_2
Spur_XM_030998597.1	Spur_8_1
Spur_XM_030999371.1	Spur_9_1
Spur_XM_031000036.1	Spur_9_2
Spur_XM_030972209.1	Spur_9_3
Spur_XM_030972949.1	Spur_10_1
Spur_XM_030973671.1	Spur_10_2
Spur_XM_030974469.1	Spur_10_3
Spur_XM_030975168.1	Spur_11_1
Spur_XM_030975948.1	Spur_11_2
Spur_XM_030976719.1	Spur_11_3
Spur_XM_030977688.1	Spur_12_1
Spur_XM_030977772.1	Spur_12_2
Spur_XM_030978043.1	Spur_13_1
Spur_XM_030978124.1	Spur_14_1
Spur_XM_030978208.1	Spur_15_1
Spur_XM_030978289.1	Spur_16_1
Spur_XM_030978453.1	Spur_17_1
Spur_XM_030978523.1	Spur_18_1
Spur_XM_030978658.1	Spur_19_1
Spur_XM_030978737.1	Spur_20_1
Spur_XM_030978917.1	Spur_21_1
Spur_XM_030978828.1	Spur_21_2
Spur_XM_030979019.1	Spur_22_1
Spur_XM_030979070.1	Spur_23_1
Spur_XM_030979155.1	Spur_23_2
Spur_XM_011676596.2	Spur_24_1
Spur_XM_030979389.1	Spur_25_1
Spur_XM_030979897.1	Spur_26_1
Spur_XM_030980059.1	Spur_27_1
Spur_XM_030980145.1	Spur_27_2
Spur_XM_030980156.1	Spur_28_1
Spur_XM_030980184.1	Spur_29_1
Spur_XM_030980250.1	Spur_30_1
Spur_XM_030980344.1	Spur_31_1
Spur_XM_030980425.1	Spur_32_1
Spur_XM_030980518.1	Spur_33_1
Spur_XM_030980598.1	Spur_34_1
Spur_XM_030980679.1	Spur_35_1
Spur_XM_030980847.1	Spur_36_1
Spur_XM_030980923.1	Spur_37_1
Spur_XM_030981097.1	Spur_38_1
Spur_XM_030981268.1	Spur_39_1
Spur_XM_030981345.1	Spur_40_1
Spur_XM_030981550.1	Spur_41_1
Spur_XM_030981383.1	Spur_41_2
Spur_XM_030981464.1	Spur_41_3
Spur_XM_030981624.1	Spur_42_1
Spur_XM_030981800.1	Spur_43_1
Spur_XM_030981973.1	Spur_44_1
Spur_XM_030982058.1	Spur_45_1
Spur_XM_030982154.1	Spur_46_1
Spur_XM_030982237.1	Spur_47_1
Spur_XM_030982321.1	Spur_48_1
Spur_XM_030982500.1	Spur_49_1
Spur_XM_030982638.1	Spur_50_1
Spur_XM_030982699.1	Spur_51_1
Spur_XM_030982777.1	Spur_52_1
Spur_XM_030982886.1	Spur_53_1
Spur_XM_030982969.1	Spur_54_1
Spur_XM_030983054.1	Spur_54_2
Spur_XM_030983139.1	Spur_55_1
Spur_XM_030983445.1	Spur_56_1
Spur_XM_030983316.1	Spur_56_2
Spur_XM_030983623.1	Spur_56_3
Spur_XM_011666258.2	Spur_56_4
Spur_XM_030983770.1	Spur_57_1
Spur_XM_030983890.1	Spur_58_1
Spur_XM_030984190.1	Spur_59_1
Spur_XM_030983977.1	Spur_59_2
Spur_XM_030984064.1	Spur_59_3
Spur_XM_030984274.1	Spur_60_1
Spur_XM_030984438.1	Spur_61_1
Spur_XM_030984517.1	Spur_62_1
Spur_XM_030984600.1	Spur_63_1
Spur_XM_030984803.1	Spur_64_1
Spur_XM_030984956.1	Spur_65_1
Spur_XM_030985033.1	Spur_66_1
Spur_XM_030985112.1	Spur_67_1
Spur_XM_030985274.1	Spur_68_1
Spur_XM_030985295.1	Spur_69_1
Spur_XM_030985485.1	Spur_69_2
Spur_XM_030985832.1	Spur_69_3
Spur_XM_030985907.1	Spur_70_1
Spur_XM_030985988.1	Spur_71_1
Spur_XM_030986129.1	Spur_72_1
Spur_XM_030986215.1	Spur_73_1
Spur_XM_030986292.1	Spur_74_1
Spur_XM_030986359.1	Spur_75_1
Spur_XM_030986479.1	Spur_76_1
Spur_XM_030986511.1	Spur_77_1
Spur_XM_030986578.1	Spur_78_1
Spur_XM_030986678.1	Spur_79_1
Spur_XM_030986770.1	Spur_80_1
Spur_XM_030986940.1	Spur_81_1
Spur_XM_030987135.1	Spur_82_1
Spur_XM_030987304.1	Spur_83_1
Spur_XM_030987382.1	Spur_84_1
Spur_XM_030987615.1	Spur_85_1
Spur_XM_030987742.1	Spur_86_1
Spur_XM_030987838.1	Spur_87_1
Spur_XM_030987925.1	Spur_88_1
Spur_XM_030988009.1	Spur_89_1
Spur_XM_030988097.1	Spur_90_1
Spur_XM_030988174.1	Spur_91_1
Spur_XM_030988250.1	Spur_92_1
Spur_XM_030988427.1	Spur_93_1
Spur_XM_030988518.1	Spur_94_1
Spur_XM_030988606.1	Spur_95_1
Spur_XM_030988696.1	Spur_96_1
Spur_XM_030988880.1	Spur_97_1
Spur_XM_030989008.1	Spur_98_1
Spur_XM_030989092.1	Spur_99_1
Spur_XM_011676881.2	Spur_100_1
Spur_XM_030989429.1	Spur_101_1
Spur_XM_030989575.1	Spur_102_1
Spur_XM_030989653.1	Spur_103_1
Spur_XM_030989938.1	Spur_104_1
Spur_XM_030990000.1	Spur_105_1
Spur_XM_030990161.1	Spur_106_1
Spur_XM_030990270.1	Spur_106_2
Spur_XM_030990350.1	Spur_107_1
Spur_XM_030990444.1	Spur_108_1
Spur_XM_030990537.1	Spur_109_1
Spur_XM_030998426.1	Spur_110_1
Spur_XM_030998598.1	Spur_111_1
Spur_XM_030998678.1	Spur_112_1
Spur_XM_030999528.1	Spur_113_1
Spur_XM_030999682.1	Spur_114_1
Spur_XM_030999960.1	Spur_115_1
Spur_XM_031000037.1	Spur_116_1
Spur_XM_031000125.1	Spur_116_2
Spur_XM_031000406.1	Spur_117_1
Spur_XM_030971957.1	Spur_118_1
Spur_XM_030972304.1	Spur_118_2
Spur_XM_030972183.1	Spur_118_3
Spur_XM_030972437.1	Spur_118_4
Spur_XM_030972697.1	Spur_119_1
Spur_XM_030973211.1	Spur_120_1
Spur_XM_030973307.1	Spur_121_1
Spur_XM_030973393.1	Spur_121_2
Spur_XM_030973478.1	Spur_122_1
Spur_XM_782358.4	Spur_122_2
Spur_XM_011671976.2	Spur_122_3
Spur_XM_030973657.1	Spur_123_1
Spur_XM_030973694.1	Spur_123_2
Spur_XM_030973857.1	Spur_124_1
Spur_XM_030973936.1	Spur_125_1
Spur_XM_011685102.2	Spur_126_1
Spur_XM_030974093.1	Spur_127_1
Spur_XM_011679344.2	Spur_127_2
Spur_XM_030974252.1	Spur_127_3
Spur_XM_030974322.1	Spur_127_4
Spur_XM_030974409.1	Spur_128_1
Spur_XM_030974523.1	Spur_129_1
Spur_XM_011684424.2	Spur_130_1
Spur_XM_030974793.1	Spur_131_1
Spur_XM_030974856.1	Spur_132_1
Spur_XM_030974936.1	Spur_132_2
Spur_XM_030975016.1	Spur_133_1
Spur_XM_030975140.1	Spur_134_1
Spur_XM_030975316.1	Spur_134_2
Spur_XM_030975235.1	Spur_134_3
Spur_XM_793520.5	Spur_135_1
Spur_XM_793538.5	Spur_135_2
Spur_XM_030975557.1	Spur_136_1
Spur_XM_030975636.1	Spur_137_1
Spur_XM_030976045.1	Spur_138_1
Spur_XM_030975976.1	Spur_138_2
Spur_XM_030976121.1	Spur_139_1
Spur_XM_030976258.1	Spur_140_1
Spur_XM_030976309.1	Spur_140_2
Spur_XM_030976606.1	Spur_141_1
Spur_XM_030976691.1	Spur_142_1
Spur_XM_030976777.1	Spur_143_1
Spur_XM_030976858.1	Spur_143_2
Spur_XM_030977480.1	Spur_144_1
Spur_XM_030977490.1	Spur_144_2
Spur_XM_030977516.1	Spur_145_1
Spur_XM_030977532.1	Spur_145_2
Spur_XM_030977539.1	Spur_146_1
Spur_XM_030977549.1	Spur_147_1
Spur_XM_030977582.1	Spur_148_1
Spur_XM_011674235.1	Spur_148_2
Spur_XM_030977623.1	Spur_148_3
Spur_XM_030977631.1	Spur_148_4
Spur_XM_030977599.1	Spur_148_5
Spur_XM_030977678.1	Spur_149_1
Spur_XM_030977683.1	Spur_149_2
Spur_XM_030977655.1	Spur_149_3
Spur_XM_775972.4	Spur_149_4
Spur_XM_030977715.1	Spur_149_5
Spur_XM_774938.5	Spur_149_6
Spur_XM_030977734.1	Spur_149_7
Spur_XM_030977722.1	Spur_149_8
Spur_XM_030977767.1	Spur_149_9
Spur_XM_030977783.1	Spur_149_10
Spur_XM_030977775.1	Spur_149_11
Spur_XM_011669495.2	Spur_149_12
Spur_XM_030977792.1	Spur_149_13
Spur_XM_030977809.1	Spur_149_14
Spur_XM_030977817.1	Spur_149_15
Spur_XM_030977852.1	Spur_149_16
Spur_XM_030977827.1	Spur_149_17
Spur_XM_011663350.2	Spur_149_18
Spur_XM_030977875.1	Spur_149_19
Spur_XM_030977884.1	Spur_149_20
Spur_XM_776749.5	Spur_149_21
Spur_XM_030977907.1	Spur_149_22
Spur_XM_030977921.1	Spur_149_23
Spur_XM_011667587.2	Spur_149_24
Spur_XM_030977949.1	Spur_149_25
Spur_XM_030977980.1	Spur_149_26
Spur_XM_030977641.1	Spur_149_27
Spur_XM_030977660.1	Spur_149_28
Spur_XM_030977992.1	Spur_149_29
Spur_XM_030978010.1	Spur_149_30
Spur_XM_030978038.1	Spur_149_31
Spur_XM_003728537.3	Spur_149_32
Spur_XM_030977672.1	Spur_149_33
Spur_XM_030977998.1	Spur_149_34
Spur_XM_003728536.3	Spur_149_35
Spur_XM_030978063.1	Spur_150_1
Spur_XM_030978067.1	Spur_150_2
Spur_XM_030978074.1	Spur_150_3
Spur_XM_030978147.1	Spur_150_4
Spur_XM_030978091.1	Spur_150_5
Spur_XM_030978103.1	Spur_150_6
Spur_XM_030978114.1	Spur_150_7
Spur_XM_030978153.1	Spur_150_8
Spur_XM_030978125.1	Spur_150_9
Spur_XM_030978138.1	Spur_150_10
Spur_XM_030978223.1	Spur_151_1
Spur_XM_030978232.1	Spur_151_2
Spur_XM_030978241.1	Spur_151_3
Spur_XM_030978248.1	Spur_151_4
Spur_XM_003724972.3	Spur_151_5
Spur_XM_030978350.1	Spur_151_6
Spur_XM_030978385.1	Spur_151_7
Spur_XM_030978259.1	Spur_151_8
Spur_XM_030978403.1	Spur_151_9
Spur_XM_011675182.2	Spur_151_10
