gene	orthogroup	orthologous_to	family	architecture
Spis_XP_022789671_1	Daxx.HG1.0:DAXX	DAXX	Daxx	Daxx
Hsap_ENSP00000266000.6	Daxx.HG1.0:DAXX	DAXX	Daxx	Daxx
Linana_g28571.t1	Daxx.HG1.0:DAXX	DAXX	Daxx	Daxx
Linana_g28754.t1	Daxx.HG1.0:DAXX	DAXX	Daxx	Daxx
Hsap_ENSP00000404376.2	Daxx.HG1.0:DAXX	DAXX	Daxx	Daxx
Hsap_ENSP00000372539.4	Daxx.HG1.0:DAXX	DAXX	Daxx	Daxx
Hsap_ENSP00000394108.2	Daxx.HG1.0:DAXX	DAXX	Daxx	Daxx
Drer_ENSDARP00000105452.1	Daxx.HG1.0:DAXX	DAXX	Daxx	Daxx
Hsap_ENSP00000372681.4	Daxx.HG1.0:DAXX	DAXX	Daxx	Daxx
Ctel_CapteP203913	Daxx.HG1.0:DAXX	DAXX	Daxx	Daxx
Skow_XP_002735579.2	Daxx.HG1.0:DAXX	DAXX	Daxx	Daxx
Notgen_g38105.t1	Daxx.HG1.0:DAXX	DAXX	Daxx	Daxx
Notgen_g39798.t1	Daxx.HG1.0:DAXX	DAXX	Daxx	Daxx UPF0160
Ptyfla_pfl_40v0_9_20150316_1g9664.t1	Daxx.HG1.0:DAXX	DAXX	Daxx	Daxx
Bralan_BL55834_cuf1	Daxx.HG1.0:DAXX	DAXX	Daxx	Daxx
Cscu_XP_023217604.1	Daxx.HG1.0:DAXX	DAXX	Daxx	Transposase_1 Daxx
