gene	orthogroup	orthologous_to	family	architecture
Lepsey_KPI84082	Rtt106.HG2.0:SUPT16H	SUPT16H	Rtt106	Peptidase_M24 SPT16 Rtt106
Atha_AT4G10710.1	Rtt106.HG2.0:SUPT16H	SUPT16H	Rtt106	FACT-Spt16_Nlob Peptidase_M24 SPT16 Rtt106
Pinf_PITG_08392T0	Rtt106.HG2.0:SUPT16H	SUPT16H	Rtt106	FACT-Spt16_Nlob Peptidase_M24 SPT16 Rtt106
Chabra_GBG67251	Rtt106.HG2.0:SUPT16H	SUPT16H	Rtt106	Peptidase_M24 SPT16 Rtt106
Falb_KCV71854	Rtt106.HG2.0:SUPT16H	SUPT16H	Rtt106	Peptidase_M24 SPT16 Rtt106
Mlei_ML2635_g19_t1	Rtt106.HG2.0:SUPT16H	SUPT16H	Rtt106	FACT-Spt16_Nlob Peptidase_M24 SPT16 Rtt106
Acoe_PIA25479.1	Rtt106.HG2.0:SUPT16H	SUPT16H	Rtt106	FACT-Spt16_Nlob Peptidase_M24 SPT16 Rtt106
Otau_XP_003082352.1	Rtt106.HG2.0:SUPT16H	SUPT16H	Rtt106	FACT-Spt16_Nlob Peptidase_M24 SPT16 Rtt106
Pfal_CAD51538	Rtt106.HG2.0:SUPT16H	SUPT16H	Rtt106	FACT-Spt16_Nlob Peptidase_M24 SPT16 Rtt106
Hduj_OQV21600.1	Rtt106.HG2.0:SUPT16H	SUPT16H	Rtt106	FACT-Spt16_Nlob Peptidase_M24 SPT16 Rtt106
Alblai_CCA22366	Rtt106.HG2.0:SUPT16H	SUPT16H	Rtt106	Es2 Es2 Es2 FACT-Spt16_Nlob Peptidase_M24 SPT16 Rtt106 Solute_trans_a
Phoaus_g9458.t1	Rtt106.HG2.0:SUPT16H	SUPT16H	Rtt106	FACT-Spt16_Nlob Peptidase_M24 SPT16 Rtt106
Cint_ENSCINP00000006432.3	Rtt106.HG2.0:SUPT16H	SUPT16H	Rtt106	FACT-Spt16_Nlob Peptidase_M24 SPT16 Rtt106
Drer_ENSDARP00000111043.2	Rtt106.HG2.0:SUPT16H	SUPT16H	Rtt106	FACT-Spt16_Nlob Peptidase_M24 SPT16 Rtt106
Bden_EGF81416	Rtt106.HG2.0:SUPT16H	SUPT16H	Rtt106	FACT-Spt16_Nlob Peptidase_M24 SPT16 Rtt106
Tthe_EAR97944	Rtt106.HG2.0:SUPT16H	SUPT16H	Rtt106	FACT-Spt16_Nlob Peptidase_M24 SPT16 Rtt106
Pisp_OUM59449.1	Rtt106.HG2.0:SUPT16H	SUPT16H	Rtt106	FACT-Spt16_Nlob Peptidase_M24 SPT16 Rtt106
Ptet_CAK88706	Rtt106.HG2.0:SUPT16H	SUPT16H	Rtt106	FACT-Spt16_Nlob Peptidase_M24 SPT16 Rtt106
Aano_EGB03036	Rtt106.HG2.0:SUPT16H	SUPT16H	Rtt106	SPT16 Rtt106
Dpul_EFX88993	Rtt106.HG2.0:SUPT16H	SUPT16H	Rtt106	FACT-Spt16_Nlob Peptidase_M24 SPT16 Rtt106
Ancsig_Gene.39168	Rtt106.HG2.0:SUPT16H	SUPT16H	Rtt106	Rtt106 SPT16 Rtt106
Plabra_CEO95595	Rtt106.HG2.0:SUPT16H	SUPT16H	Rtt106	FACT-Spt16_Nlob Peptidase_M24 SPT16 Rtt106
