Scil_scpid15857	RT_RNaseH Integrase_H2C2 Chromo
Scil_scpid15165	RVP_2 RVT_1 RT_RNaseH_2 Integrase_H2C2 Chromo
Scil_scpid13509	PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2
Scil_scpid8004	RVP_2 RVT_1 RT_RNaseH Integrase_H2C2 Chromo
Scil_scpid42790	THAP SWIRM Amino_oxidase
Scil_scpid16031	RVP_2 RVT_1 RT_RNaseH_2 Integrase_H2C2 Chromo
