Transcript	start_cds	end_cds	start_pep	end_pep	NumReads
Bremin_symbB.v1.2.004342.t1	0	36	0	12	0
Bremin_symbB.v1.2.004342.t1	36	37	12	12	2
Bremin_symbB.v1.2.004342.t1	37	38	12	12	109
Bremin_symbB.v1.2.004342.t1	38	39	12	13	115
Bremin_symbB.v1.2.004342.t1	39	42	13	14	116
Bremin_symbB.v1.2.004342.t1	42	43	14	14	117
Bremin_symbB.v1.2.004342.t1	43	44	14	14	118
Bremin_symbB.v1.2.004342.t1	44	45	14	15	119
Bremin_symbB.v1.2.004342.t1	45	46	15	15	120
Bremin_symbB.v1.2.004342.t1	46	47	15	15	124
Bremin_symbB.v1.2.004342.t1	47	49	15	16	125
Bremin_symbB.v1.2.004342.t1	49	51	16	17	127
Bremin_symbB.v1.2.004342.t1	51	52	17	17	128
Bremin_symbB.v1.2.004342.t1	52	53	17	17	131
Bremin_symbB.v1.2.004342.t1	53	56	17	18	132
Bremin_symbB.v1.2.004342.t1	56	57	18	19	135
Bremin_symbB.v1.2.004342.t1	57	58	19	19	137
Bremin_symbB.v1.2.004342.t1	58	59	19	19	139
Bremin_symbB.v1.2.004342.t1	59	60	19	20	141
Bremin_symbB.v1.2.004342.t1	60	61	20	20	143
Bremin_symbB.v1.2.004342.t1	61	62	20	20	148
Bremin_symbB.v1.2.004342.t1	62	65	20	21	151
Bremin_symbB.v1.2.004342.t1	65	66	21	22	152
Bremin_symbB.v1.2.004342.t1	66	69	22	23	153
Bremin_symbB.v1.2.004342.t1	69	73	23	24	154
Bremin_symbB.v1.2.004342.t1	73	75	24	25	155
Bremin_symbB.v1.2.004342.t1	75	76	25	25	159
Bremin_symbB.v1.2.004342.t1	76	78	25	26	162
Bremin_symbB.v1.2.004342.t1	78	79	26	26	163
Bremin_symbB.v1.2.004342.t1	79	80	26	26	159
Bremin_symbB.v1.2.004342.t1	80	82	26	27	160
Bremin_symbB.v1.2.004342.t1	82	83	27	27	156
Bremin_symbB.v1.2.004342.t1	83	85	27	28	154
Bremin_symbB.v1.2.004342.t1	85	88	28	29	153
Bremin_symbB.v1.2.004342.t1	88	89	29	29	154
Bremin_symbB.v1.2.004342.t1	89	90	29	30	153
Bremin_symbB.v1.2.004342.t1	90	95	30	31	154
Bremin_symbB.v1.2.004342.t1	95	96	31	32	153
Bremin_symbB.v1.2.004342.t1	96	97	32	32	149
Bremin_symbB.v1.2.004342.t1	97	99	32	33	151
Bremin_symbB.v1.2.004342.t1	99	101	33	33	155
Bremin_symbB.v1.2.004342.t1	101	105	33	35	157
Bremin_symbB.v1.2.004342.t1	105	106	35	35	160
Bremin_symbB.v1.2.004342.t1	106	107	35	35	161
Bremin_symbB.v1.2.004342.t1	107	108	35	36	166
Bremin_symbB.v1.2.004342.t1	108	109	36	36	163
Bremin_symbB.v1.2.004342.t1	109	110	36	36	162
Bremin_symbB.v1.2.004342.t1	110	111	36	37	160
Bremin_symbB.v1.2.004342.t1	111	112	37	37	162
Bremin_symbB.v1.2.004342.t1	112	113	37	37	164
Bremin_symbB.v1.2.004342.t1	113	114	37	38	166
Bremin_symbB.v1.2.004342.t1	114	115	38	38	167
Bremin_symbB.v1.2.004342.t1	115	116	38	38	168
Bremin_symbB.v1.2.004342.t1	116	117	38	39	167
Bremin_symbB.v1.2.004342.t1	117	119	39	39	165
Bremin_symbB.v1.2.004342.t1	119	121	39	40	164
Bremin_symbB.v1.2.004342.t1	121	122	40	40	163
Bremin_symbB.v1.2.004342.t1	122	123	40	41	164
Bremin_symbB.v1.2.004342.t1	123	124	41	41	162
Bremin_symbB.v1.2.004342.t1	124	125	41	41	157
Bremin_symbB.v1.2.004342.t1	125	129	41	43	156
Bremin_symbB.v1.2.004342.t1	129	130	43	43	159
Bremin_symbB.v1.2.004342.t1	130	131	43	43	160
Bremin_symbB.v1.2.004342.t1	131	132	43	44	162
Bremin_symbB.v1.2.004342.t1	132	133	44	44	165
Bremin_symbB.v1.2.004342.t1	133	135	44	45	166
Bremin_symbB.v1.2.004342.t1	135	137	45	45	165
Bremin_symbB.v1.2.004342.t1	137	138	45	46	168
Bremin_symbB.v1.2.004342.t1	138	139	46	46	167
Bremin_symbB.v1.2.004342.t1	139	140	46	46	168
Bremin_symbB.v1.2.004342.t1	140	143	46	47	169
Bremin_symbB.v1.2.004342.t1	143	144	47	48	167
Bremin_symbB.v1.2.004342.t1	144	146	48	48	165
Bremin_symbB.v1.2.004342.t1	146	152	48	50	167
Bremin_symbB.v1.2.004342.t1	152	153	50	51	164
Bremin_symbB.v1.2.004342.t1	153	154	51	51	161
Bremin_symbB.v1.2.004342.t1	154	156	51	52	158
Bremin_symbB.v1.2.004342.t1	156	157	52	52	150
Bremin_symbB.v1.2.004342.t1	157	159	52	53	148
Bremin_symbB.v1.2.004342.t1	159	160	53	53	149
Bremin_symbB.v1.2.004342.t1	160	161	53	53	154
Bremin_symbB.v1.2.004342.t1	161	164	53	54	155
Bremin_symbB.v1.2.004342.t1	164	166	54	55	156
Bremin_symbB.v1.2.004342.t1	166	168	55	56	157
