gene	orthogroup	orthologous_to
Discoba|Amobb2_AMBB2_03117.mRNA.1	aOG.eur_MRG0	
ArchaeCry|Klenit_GAQ85144.1	aOG.eur_MRG0	
Meteora|Meteor_CRO19MET_NODE_5709.p1	aOG.eur_MRG0	
ArchaeCry|Sacu_v1.1_s0003.g001475	aOG.eur_MRG0	
ArchaeCry|Acoe_PIA56651.1	aOG.eur_MRG0	
ArchaeCry|Atha_AT4G37280.1	aOG.eur_MRG0	
ArchaeCry|Ppat_PAC_32924732.CDS.1	aOG.eur_MRG0	
ArchaeCry|Marpol_PTQ35338	aOG.eur_MRG0	
ArchaeCry|Atri_ERN18900	aOG.eur_MRG0	
ArchaeCry|Sbic_OQU84823	aOG.eur_MRG0	
CRuMs|Diprot_Gene.25511	aOG.eur_MRG1	
SARHap|Ehux_EOD16694	aOG.eur_MRG1	
SARHap|Chrtob_KOO27670.1	aOG.eur_MRG1	
Hemimastigophora|Spimul_9463_TR5010_c0_g2	aOG.eur_MRG2	
Malawimonadidae|Maljak_MALJA_07982.mRNA.1	aOG.eur_MRG2	
Malawimonadidae|Gefoke_MALSP_13384.mRNA.1	aOG.eur_MRG2	
Obazoa|Bralan_BL02950_cuf9	aOG.eur_MRG2	
Obazoa|Sarc_Sarc4_g31562T	aOG.eur_MRG2	
Discoba|Phakir_PHAKIR_07161.mRNA.1	aOG.eur_MRG2	
SARHap|Plabra_CEO99467	aOG.eur_MRG2	
Amoebozoa|Ddis_EAL65981	aOG.eur_MRG2	
Discoba|Recame_RECAM_21143.mRNA.1	aOG.eur_MRG2	
Obazoa|Nk52_evm10s967	aOG.eur_MRG2	
Amoebozoa|Tielac_KYQ93265	aOG.eur_MRG2	
Obazoa|Ctel_CapteP221778	aOG.eur_MRG2	
CRuMs|Rigram_Gene.35940	aOG.eur_MRG2	
Discoba|Styinc_Gene13418_m13418	aOG.eur_MRG3	
SARHap|Esil_CBJ30813	aOG.eur_MRG3	
SARHap|Ngad_EWM24012	aOG.eur_MRG3	
SARHap|Pinf_PITG_11998T0	aOG.eur_MRG4	
