Otau_gene-OstapCp01	Otau_1_1
Otau_gene-OstapCp02	Otau_1_2
Otau_gene-OstapCp03	Otau_1_3
Otau_gene-OstapCp04	Otau_1_4
Otau_gene-OstapCp05	Otau_1_5
Otau_gene-OstapCp06	Otau_1_6
Otau_gene-OstapCp07	Otau_1_7
Otau_gene-OstapCp08	Otau_1_8
Otau_gene-OstapCp09	Otau_1_9
Otau_gene-OstapCp10	Otau_1_10
Otau_gene-OstapCp11	Otau_1_11
Otau_gene-OstapCp12	Otau_1_12
Otau_gene-OstapCp13	Otau_1_13
Otau_gene-OstapCp14	Otau_1_14
Otau_gene-OstapCp15	Otau_1_15
Otau_gene-OstapCp16	Otau_1_16
Otau_gene-OstapCp17	Otau_1_17
Otau_gene-OstapCp18	Otau_1_18
Otau_gene-OstapCp19	Otau_1_19
Otau_gene-OstapCp20	Otau_1_20
Otau_gene-OstapCp21	Otau_1_21
Otau_gene-OstapCp22	Otau_1_22
Otau_gene-OstapCp23	Otau_1_23
Otau_gene-OstapCp24	Otau_1_24
Otau_gene-OstapCp25	Otau_1_25
Otau_gene-OstapCp26	Otau_1_26
Otau_gene-OstapCp27	Otau_1_27
Otau_gene-OstapCp28	Otau_1_28
Otau_gene-OstapCp29	Otau_1_29
Otau_gene-OstapCp30	Otau_1_30
Otau_gene-OstapCp31	Otau_1_31
Otau_gene-OstapCp32	Otau_1_32
Otau_gene-OstapCp33	Otau_1_33
Otau_gene-OstapCp34	Otau_1_34
Otau_gene-OstapCp35	Otau_1_35
Otau_gene-OstapCp36	Otau_1_36
Otau_gene-OstapCp37	Otau_1_37
Otau_gene-OstapCp38	Otau_1_38
Otau_gene-OstapCp39	Otau_1_39
Otau_gene-OstapCp40	Otau_1_40
Otau_gene-OstapCp41	Otau_1_41
Otau_gene-OstapCp42	Otau_1_42
Otau_gene-OstapCp43	Otau_1_43
Otau_gene-OstapCp44	Otau_1_44
Otau_gene-OstapCp45	Otau_1_45
Otau_gene-OstapCp46	Otau_1_46
Otau_gene-OstapCp47	Otau_1_47
Otau_gene-OstapCp48	Otau_1_48
Otau_gene-OstapCp49	Otau_1_49
Otau_gene-OstapCp50	Otau_1_50
Otau_gene-OstapCp51	Otau_1_51
Otau_gene-OstapCp52	Otau_1_52
Otau_gene-OstapCp53	Otau_1_53
Otau_gene-OstapCp54	Otau_1_54
Otau_gene-OstapCp55	Otau_1_55
Otau_gene-OstapCp56	Otau_1_56
Otau_gene-OstapCp57	Otau_1_57
Otau_gene-OstapCp58	Otau_1_58
Otau_gene-OstapCp59	Otau_1_59
Otau_gene-OstapCp60	Otau_1_60
