Transcript	start_cds	end_cds	start_pep	end_pep	NumReads
Nvec_NVE15670	0	2	0	0	4
Nvec_NVE15670	2	3	0	1	5
Nvec_NVE15670	3	4	1	1	7
Nvec_NVE15670	4	6	1	2	9
Nvec_NVE15670	6	10	2	3	11
Nvec_NVE15670	10	13	3	4	12
Nvec_NVE15670	13	16	4	5	14
Nvec_NVE15670	16	21	5	7	17
Nvec_NVE15670	21	24	7	8	20
Nvec_NVE15670	24	37	8	12	21
Nvec_NVE15670	37	43	12	14	20
Nvec_NVE15670	43	44	14	14	21
Nvec_NVE15670	44	49	14	16	20
Nvec_NVE15670	49	50	16	16	21
Nvec_NVE15670	50	57	16	19	19
Nvec_NVE15670	57	64	19	21	20
Nvec_NVE15670	64	69	21	23	19
Nvec_NVE15670	69	75	23	25	18
Nvec_NVE15670	75	76	25	25	33
Nvec_NVE15670	76	77	25	25	31
Nvec_NVE15670	77	78	25	26	19
Nvec_NVE15670	78	79	26	26	18
Nvec_NVE15670	79	80	26	26	19
Nvec_NVE15670	80	81	26	27	23
Nvec_NVE15670	81	85	27	28	26
Nvec_NVE15670	85	88	28	29	27
Nvec_NVE15670	88	89	29	29	29
Nvec_NVE15670	89	94	29	31	30
Nvec_NVE15670	94	101	31	33	31
Nvec_NVE15670	101	102	33	34	29
Nvec_NVE15670	102	103	34	34	30
Nvec_NVE15670	103	105	34	35	29
Nvec_NVE15670	105	106	35	35	30
Nvec_NVE15670	106	113	35	37	32
Nvec_NVE15670	113	114	37	38	34
Nvec_NVE15670	114	116	38	38	33
Nvec_NVE15670	116	119	38	39	32
Nvec_NVE15670	119	120	39	40	34
Nvec_NVE15670	120	123	40	41	31
Nvec_NVE15670	123	125	41	41	30
Nvec_NVE15670	125	126	41	42	31
Nvec_NVE15670	126	127	42	42	30
Nvec_NVE15670	127	128	42	42	29
Nvec_NVE15670	128	129	42	43	30
Nvec_NVE15670	129	130	43	43	29
Nvec_NVE15670	130	132	43	44	30
Nvec_NVE15670	132	134	44	44	32
Nvec_NVE15670	134	136	44	45	35
Nvec_NVE15670	136	137	45	45	34
Nvec_NVE15670	137	139	45	46	35
Nvec_NVE15670	139	141	46	47	34
Nvec_NVE15670	141	143	47	47	35
Nvec_NVE15670	143	145	47	48	37
Nvec_NVE15670	145	147	48	49	38
Nvec_NVE15670	147	153	49	51	39
Nvec_NVE15670	153	154	51	51	40
Nvec_NVE15670	154	155	51	51	39
Nvec_NVE15670	155	156	51	52	38
Nvec_NVE15670	156	157	52	52	37
Nvec_NVE15670	157	160	52	53	34
Nvec_NVE15670	160	163	53	54	35
Nvec_NVE15670	163	164	54	54	34
Nvec_NVE15670	164	166	54	55	33
Nvec_NVE15670	166	167	55	55	34
Nvec_NVE15670	167	168	55	56	35
Nvec_NVE15670	168	170	56	56	36
Nvec_NVE15670	170	172	56	57	41
Nvec_NVE15670	172	174	57	58	43
Nvec_NVE15670	174	175	58	58	42
Nvec_NVE15670	175	176	58	58	41
Nvec_NVE15670	176	177	58	59	40
Nvec_NVE15670	177	178	59	59	41
Nvec_NVE15670	178	180	59	60	40
Nvec_NVE15670	180	181	60	60	41
Nvec_NVE15670	181	188	60	62	40
Nvec_NVE15670	188	194	62	64	39
Nvec_NVE15670	194	195	64	65	38
Nvec_NVE15670	195	196	65	65	39
Nvec_NVE15670	196	198	65	66	40
Nvec_NVE15670	198	199	66	66	41
Nvec_NVE15670	199	200	66	66	39
Nvec_NVE15670	200	201	66	67	40
Nvec_NVE15670	201	202	67	67	39
Nvec_NVE15670	202	205	67	68	40
Nvec_NVE15670	205	206	68	68	39
Nvec_NVE15670	206	207	68	69	38
Nvec_NVE15670	207	208	69	69	39
Nvec_NVE15670	208	209	69	69	37
Nvec_NVE15670	209	210	69	70	38
Nvec_NVE15670	210	213	70	71	37
Nvec_NVE15670	213	216	71	72	38
Nvec_NVE15670	216	217	72	72	39
Nvec_NVE15670	217	219	72	73	38
Nvec_NVE15670	219	220	73	73	35
Nvec_NVE15670	220	221	73	73	36
Nvec_NVE15670	221	224	73	74	35
Nvec_NVE15670	224	227	74	75	36
Nvec_NVE15670	227	228	75	76	37
Nvec_NVE15670	228	230	76	76	39
Nvec_NVE15670	230	232	76	77	41
Nvec_NVE15670	232	234	77	78	43
Nvec_NVE15670	234	235	78	78	39
Nvec_NVE15670	235	236	78	78	37
Nvec_NVE15670	236	237	78	79	34
Nvec_NVE15670	237	239	79	79	33
Nvec_NVE15670	239	240	79	80	34
Nvec_NVE15670	240	241	80	80	35
Nvec_NVE15670	241	242	80	80	38
Nvec_NVE15670	242	243	80	81	37
Nvec_NVE15670	243	244	81	81	36
Nvec_NVE15670	244	245	81	81	37
Nvec_NVE15670	245	246	81	82	39
Nvec_NVE15670	246	248	82	82	41
Nvec_NVE15670	248	249	82	83	39
Nvec_NVE15670	249	250	83	83	41
Nvec_NVE15670	250	251	83	83	43
Nvec_NVE15670	251	253	83	84	46
Nvec_NVE15670	253	256	84	85	47
Nvec_NVE15670	256	258	85	86	46
Nvec_NVE15670	258	263	86	87	47
Nvec_NVE15670	263	270	87	90	48
Nvec_NVE15670	270	271	90	90	50
Nvec_NVE15670	271	272	90	90	48
Nvec_NVE15670	272	274	90	91	49
Nvec_NVE15670	274	276	91	92	48
Nvec_NVE15670	276	277	92	92	47
Nvec_NVE15670	277	279	92	93	48
Nvec_NVE15670	279	281	93	93	49
Nvec_NVE15670	281	285	93	95	48
Nvec_NVE15670	285	288	95	96	47
Nvec_NVE15670	288	289	96	96	48
Nvec_NVE15670	289	295	96	98	46
Nvec_NVE15670	295	296	98	98	47
Nvec_NVE15670	296	299	98	99	46
Nvec_NVE15670	299	300	99	100	47
Nvec_NVE15670	300	301	100	100	48
Nvec_NVE15670	301	302	100	100	47
Nvec_NVE15670	302	304	100	101	48
Nvec_NVE15670	304	305	101	101	47
Nvec_NVE15670	305	306	101	102	46
Nvec_NVE15670	306	307	102	102	45
Nvec_NVE15670	307	308	102	102	43
Nvec_NVE15670	308	309	102	103	42
Nvec_NVE15670	309	310	103	103	41
Nvec_NVE15670	310	315	103	105	40
Nvec_NVE15670	315	317	105	105	38
Nvec_NVE15670	317	318	105	106	37
Nvec_NVE15670	318	320	106	106	38
Nvec_NVE15670	320	321	106	107	37
Nvec_NVE15670	321	322	107	107	35
Nvec_NVE15670	322	323	107	107	33
Nvec_NVE15670	323	324	107	108	32
Nvec_NVE15670	324	325	108	108	33
Nvec_NVE15670	325	326	108	108	31
Nvec_NVE15670	326	328	108	109	29
Nvec_NVE15670	328	329	109	109	30
Nvec_NVE15670	329	330	109	110	34
Nvec_NVE15670	330	331	110	110	36
Nvec_NVE15670	331	334	110	111	39
Nvec_NVE15670	334	336	111	112	41
Nvec_NVE15670	336	337	112	112	42
Nvec_NVE15670	337	341	112	113	41
Nvec_NVE15670	341	342	113	114	43
Nvec_NVE15670	342	343	114	114	41
Nvec_NVE15670	343	345	114	115	42
Nvec_NVE15670	345	346	115	115	43
Nvec_NVE15670	346	347	115	115	41
Nvec_NVE15670	347	348	115	116	42
Nvec_NVE15670	348	350	116	116	41
Nvec_NVE15670	350	351	116	117	40
Nvec_NVE15670	351	352	117	117	38
Nvec_NVE15670	352	354	117	118	39
Nvec_NVE15670	354	356	118	118	38
Nvec_NVE15670	356	361	118	120	37
Nvec_NVE15670	361	362	120	120	38
Nvec_NVE15670	362	363	120	121	37
Nvec_NVE15670	363	365	121	121	40
Nvec_NVE15670	365	368	121	122	42
Nvec_NVE15670	368	370	122	123	41
Nvec_NVE15670	370	372	123	124	40
Nvec_NVE15670	372	373	124	124	39
Nvec_NVE15670	373	375	124	125	40
Nvec_NVE15670	375	376	125	125	39
Nvec_NVE15670	376	379	125	126	38
Nvec_NVE15670	379	380	126	126	37
Nvec_NVE15670	380	381	126	127	36
Nvec_NVE15670	381	382	127	127	37
Nvec_NVE15670	382	383	127	127	35
Nvec_NVE15670	383	384	127	128	36
Nvec_NVE15670	384	388	128	129	37
Nvec_NVE15670	388	390	129	130	39
Nvec_NVE15670	390	391	130	130	37
Nvec_NVE15670	391	393	130	131	38
Nvec_NVE15670	393	394	131	131	39
Nvec_NVE15670	394	395	131	131	41
Nvec_NVE15670	395	397	131	132	48
Nvec_NVE15670	397	398	132	132	53
Nvec_NVE15670	398	399	132	133	57
Nvec_NVE15670	399	401	133	133	59
Nvec_NVE15670	401	402	133	134	65
Nvec_NVE15670	402	403	134	134	69
Nvec_NVE15670	403	404	134	134	65
Nvec_NVE15670	404	405	134	135	67
Nvec_NVE15670	405	406	135	135	65
Nvec_NVE15670	406	407	135	135	71
Nvec_NVE15670	407	408	135	136	69
Nvec_NVE15670	408	409	136	136	71
Nvec_NVE15670	409	410	136	136	72
Nvec_NVE15670	410	411	136	137	74
Nvec_NVE15670	411	415	137	138	80
Nvec_NVE15670	415	417	138	139	82
Nvec_NVE15670	417	419	139	139	80
Nvec_NVE15670	419	420	139	140	81
Nvec_NVE15670	420	421	140	140	82
Nvec_NVE15670	421	424	140	141	81
Nvec_NVE15670	424	426	141	142	82
Nvec_NVE15670	426	428	142	142	83
Nvec_NVE15670	428	429	142	143	82
Nvec_NVE15670	429	432	143	144	83
Nvec_NVE15670	432	433	144	144	84
Nvec_NVE15670	433	436	144	145	85
Nvec_NVE15670	436	437	145	145	84
Nvec_NVE15670	437	439	145	146	85
Nvec_NVE15670	439	440	146	146	84
Nvec_NVE15670	440	441	146	147	87
Nvec_NVE15670	441	442	147	147	95
Nvec_NVE15670	442	444	147	148	94
Nvec_NVE15670	444	447	148	149	95
Nvec_NVE15670	447	449	149	149	97
Nvec_NVE15670	449	450	149	150	96
Nvec_NVE15670	450	454	150	151	95
Nvec_NVE15670	454	455	151	151	96
Nvec_NVE15670	455	460	151	153	97
Nvec_NVE15670	460	461	153	153	98
Nvec_NVE15670	461	462	153	154	96
Nvec_NVE15670	462	464	154	154	94
Nvec_NVE15670	464	466	154	155	91
Nvec_NVE15670	466	467	155	155	89
Nvec_NVE15670	467	468	155	156	87
Nvec_NVE15670	468	469	156	156	86
Nvec_NVE15670	469	470	156	156	84
Nvec_NVE15670	470	471	156	157	80
Nvec_NVE15670	471	472	157	157	76
Nvec_NVE15670	472	473	157	157	75
Nvec_NVE15670	473	474	157	158	53
Nvec_NVE15670	474	475	158	158	48
Nvec_NVE15670	475	476	158	158	44
Nvec_NVE15670	476	477	158	159	64
Nvec_NVE15670	477	478	159	159	61
Nvec_NVE15670	478	481	159	160	59
Nvec_NVE15670	481	482	160	160	60
Nvec_NVE15670	482	484	160	161	58
Nvec_NVE15670	484	485	161	161	57
Nvec_NVE15670	485	486	161	162	56
Nvec_NVE15670	486	487	162	162	54
Nvec_NVE15670	487	488	162	162	46
Nvec_NVE15670	488	489	162	163	43
Nvec_NVE15670	489	490	163	163	44
Nvec_NVE15670	490	491	163	163	45
Nvec_NVE15670	491	493	163	164	42
Nvec_NVE15670	493	495	164	165	44
Nvec_NVE15670	495	496	165	165	43
Nvec_NVE15670	496	498	165	166	42
Nvec_NVE15670	498	499	166	166	41
Nvec_NVE15670	499	501	166	167	42
Nvec_NVE15670	501	503	167	167	43
Nvec_NVE15670	503	504	167	168	42
Nvec_NVE15670	504	506	168	168	40
Nvec_NVE15670	506	507	168	169	41
Nvec_NVE15670	507	508	169	169	36
Nvec_NVE15670	508	509	169	169	37
Nvec_NVE15670	509	511	169	170	38
Nvec_NVE15670	511	514	170	171	37
Nvec_NVE15670	514	515	171	171	35
Nvec_NVE15670	515	516	171	172	34
Nvec_NVE15670	516	517	172	172	33
Nvec_NVE15670	517	518	172	172	32
Nvec_NVE15670	518	519	172	173	33
Nvec_NVE15670	519	521	173	173	35
Nvec_NVE15670	521	522	173	174	37
Nvec_NVE15670	522	524	174	174	38
Nvec_NVE15670	524	525	174	175	36
Nvec_NVE15670	525	527	175	175	35
Nvec_NVE15670	527	529	175	176	36
Nvec_NVE15670	529	530	176	176	37
Nvec_NVE15670	530	531	176	177	36
Nvec_NVE15670	531	533	177	177	34
Nvec_NVE15670	533	534	177	178	35
Nvec_NVE15670	534	536	178	178	34
Nvec_NVE15670	536	542	178	180	35
Nvec_NVE15670	542	543	180	181	36
Nvec_NVE15670	543	544	181	181	34
Nvec_NVE15670	544	545	181	181	37
Nvec_NVE15670	545	546	181	182	36
Nvec_NVE15670	546	547	182	182	38
Nvec_NVE15670	547	549	182	183	39
Nvec_NVE15670	549	556	183	185	40
Nvec_NVE15670	556	560	185	186	39
Nvec_NVE15670	560	561	186	187	40
Nvec_NVE15670	561	562	187	187	41
Nvec_NVE15670	562	564	187	188	42
Nvec_NVE15670	564	565	188	188	41
Nvec_NVE15670	565	567	188	189	39
Nvec_NVE15670	567	568	189	189	37
Nvec_NVE15670	568	569	189	189	36
Nvec_NVE15670	569	570	189	190	37
Nvec_NVE15670	570	571	190	190	38
Nvec_NVE15670	571	572	190	190	36
Nvec_NVE15670	572	574	190	191	32
Nvec_NVE15670	574	575	191	191	34
Nvec_NVE15670	575	576	191	192	37
Nvec_NVE15670	576	577	192	192	39
Nvec_NVE15670	577	579	192	193	38
Nvec_NVE15670	579	581	193	193	40
Nvec_NVE15670	581	582	193	194	42
Nvec_NVE15670	582	583	194	194	43
Nvec_NVE15670	583	586	194	195	44
Nvec_NVE15670	586	587	195	195	43
Nvec_NVE15670	587	588	195	196	42
Nvec_NVE15670	588	589	196	196	46
Nvec_NVE15670	589	590	196	196	47
Nvec_NVE15670	590	593	196	197	49
Nvec_NVE15670	593	595	197	198	48
Nvec_NVE15670	595	598	198	199	46
Nvec_NVE15670	598	599	199	199	50
Nvec_NVE15670	599	600	199	200	51
Nvec_NVE15670	600	601	200	200	52
Nvec_NVE15670	601	603	200	201	53
Nvec_NVE15670	603	605	201	201	52
Nvec_NVE15670	605	609	201	203	51
Nvec_NVE15670	609	610	203	203	54
Nvec_NVE15670	610	612	203	204	57
Nvec_NVE15670	612	613	204	204	56
Nvec_NVE15670	613	615	204	205	57
Nvec_NVE15670	615	616	205	205	60
Nvec_NVE15670	616	617	205	205	48
Nvec_NVE15670	617	618	205	206	49
Nvec_NVE15670	618	619	206	206	64
Nvec_NVE15670	619	620	206	206	70
Nvec_NVE15670	620	621	206	207	67
Nvec_NVE15670	621	622	207	207	71
Nvec_NVE15670	622	625	207	208	70
Nvec_NVE15670	625	627	208	209	69
Nvec_NVE15670	627	634	209	211	70
Nvec_NVE15670	634	638	211	212	69
Nvec_NVE15670	638	639	212	213	68
Nvec_NVE15670	639	641	213	213	70
Nvec_NVE15670	641	642	213	214	69
Nvec_NVE15670	642	645	214	215	70
Nvec_NVE15670	645	646	215	215	67
Nvec_NVE15670	646	647	215	215	66
Nvec_NVE15670	647	651	215	217	67
Nvec_NVE15670	651	652	217	217	65
Nvec_NVE15670	652	653	217	217	64
Nvec_NVE15670	653	655	217	218	63
Nvec_NVE15670	655	656	218	218	56
Nvec_NVE15670	656	658	218	219	58
Nvec_NVE15670	658	659	219	219	57
Nvec_NVE15670	659	661	219	220	56
Nvec_NVE15670	661	662	220	220	57
Nvec_NVE15670	662	663	220	221	58
Nvec_NVE15670	663	665	221	221	59
Nvec_NVE15670	665	666	221	222	57
Nvec_NVE15670	666	667	222	222	59
Nvec_NVE15670	667	669	222	223	57
Nvec_NVE15670	669	670	223	223	58
Nvec_NVE15670	670	671	223	223	59
Nvec_NVE15670	671	672	223	224	60
Nvec_NVE15670	672	673	224	224	64
Nvec_NVE15670	673	674	224	224	63
Nvec_NVE15670	674	675	224	225	61
Nvec_NVE15670	675	676	225	225	60
Nvec_NVE15670	676	677	225	225	59
Nvec_NVE15670	677	678	225	226	58
Nvec_NVE15670	678	680	226	226	57
Nvec_NVE15670	680	685	226	228	58
Nvec_NVE15670	685	686	228	228	54
Nvec_NVE15670	686	687	228	229	55
Nvec_NVE15670	687	688	229	229	57
Nvec_NVE15670	688	689	229	229	58
Nvec_NVE15670	689	691	229	230	57
Nvec_NVE15670	691	692	230	230	54
Nvec_NVE15670	692	693	230	231	50
Nvec_NVE15670	693	694	231	231	51
Nvec_NVE15670	694	696	231	232	52
Nvec_NVE15670	696	697	232	232	53
Nvec_NVE15670	697	698	232	232	50
Nvec_NVE15670	698	700	232	233	49
Nvec_NVE15670	700	703	233	234	50
Nvec_NVE15670	703	704	234	234	49
Nvec_NVE15670	704	705	234	235	50
Nvec_NVE15670	705	706	235	235	51
Nvec_NVE15670	706	707	235	235	52
Nvec_NVE15670	707	708	235	236	53
Nvec_NVE15670	708	709	236	236	52
Nvec_NVE15670	709	710	236	236	51
Nvec_NVE15670	710	711	236	237	49
Nvec_NVE15670	711	712	237	237	48
Nvec_NVE15670	712	715	237	238	49
Nvec_NVE15670	715	716	238	238	48
Nvec_NVE15670	716	717	238	239	49
Nvec_NVE15670	717	720	239	240	48
Nvec_NVE15670	720	722	240	240	49
Nvec_NVE15670	722	723	240	241	51
Nvec_NVE15670	723	724	241	241	47
Nvec_NVE15670	724	725	241	241	49
Nvec_NVE15670	725	726	241	242	48
Nvec_NVE15670	726	728	242	242	47
Nvec_NVE15670	728	732	242	244	49
Nvec_NVE15670	732	733	244	244	48
Nvec_NVE15670	733	734	244	244	49
Nvec_NVE15670	734	735	244	245	50
Nvec_NVE15670	735	736	245	245	52
Nvec_NVE15670	736	737	245	245	51
Nvec_NVE15670	737	738	245	246	52
Nvec_NVE15670	738	739	246	246	51
Nvec_NVE15670	739	740	246	246	50
Nvec_NVE15670	740	742	246	247	47
Nvec_NVE15670	742	744	247	248	45
Nvec_NVE15670	744	745	248	248	44
Nvec_NVE15670	745	746	248	248	42
Nvec_NVE15670	746	747	248	249	41
Nvec_NVE15670	747	748	249	249	39
Nvec_NVE15670	748	749	249	249	38
Nvec_NVE15670	749	750	249	250	40
Nvec_NVE15670	750	751	250	250	42
Nvec_NVE15670	751	752	250	250	41
Nvec_NVE15670	752	755	250	251	43
Nvec_NVE15670	755	756	251	252	45
Nvec_NVE15670	756	757	252	252	44
Nvec_NVE15670	757	759	252	253	48
Nvec_NVE15670	759	761	253	253	49
Nvec_NVE15670	761	762	253	254	50
Nvec_NVE15670	762	763	254	254	49
Nvec_NVE15670	763	764	254	254	50
Nvec_NVE15670	764	765	254	255	48
Nvec_NVE15670	765	766	255	255	47
Nvec_NVE15670	766	767	255	255	48
Nvec_NVE15670	767	768	255	256	50
Nvec_NVE15670	768	770	256	256	52
Nvec_NVE15670	770	771	256	257	53
Nvec_NVE15670	771	772	257	257	54
Nvec_NVE15670	772	773	257	257	55
Nvec_NVE15670	773	774	257	258	56
Nvec_NVE15670	774	775	258	258	55
Nvec_NVE15670	775	776	258	258	57
Nvec_NVE15670	776	777	258	259	59
Nvec_NVE15670	777	778	259	259	60
Nvec_NVE15670	778	779	259	259	62
Nvec_NVE15670	779	780	259	260	63
Nvec_NVE15670	780	785	260	261	64
Nvec_NVE15670	785	787	261	262	69
Nvec_NVE15670	787	788	262	262	70
Nvec_NVE15670	788	789	262	263	71
Nvec_NVE15670	789	792	263	264	72
Nvec_NVE15670	792	793	264	264	75
Nvec_NVE15670	793	794	264	264	78
Nvec_NVE15670	794	795	264	265	79
Nvec_NVE15670	795	797	265	265	80
Nvec_NVE15670	797	798	265	266	82
Nvec_NVE15670	798	799	266	266	81
Nvec_NVE15670	799	800	266	266	82
Nvec_NVE15670	800	803	266	267	84
Nvec_NVE15670	803	805	267	268	83
Nvec_NVE15670	805	806	268	268	84
Nvec_NVE15670	806	807	268	269	86
Nvec_NVE15670	807	808	269	269	87
Nvec_NVE15670	808	809	269	269	90
Nvec_NVE15670	809	811	269	270	94
Nvec_NVE15670	811	812	270	270	92
Nvec_NVE15670	812	813	270	271	93
Nvec_NVE15670	813	814	271	271	92
Nvec_NVE15670	814	819	271	273	93
Nvec_NVE15670	819	820	273	273	95
Nvec_NVE15670	820	821	273	273	92
Nvec_NVE15670	821	822	273	274	91
Nvec_NVE15670	822	823	274	274	92
Nvec_NVE15670	823	824	274	274	67
Nvec_NVE15670	824	825	274	275	93
Nvec_NVE15670	825	826	275	275	92
Nvec_NVE15670	826	827	275	275	93
Nvec_NVE15670	827	828	275	276	92
Nvec_NVE15670	828	831	276	277	95
Nvec_NVE15670	831	832	277	277	93
Nvec_NVE15670	832	833	277	277	94
Nvec_NVE15670	833	834	277	278	93
Nvec_NVE15670	834	835	278	278	91
Nvec_NVE15670	835	836	278	278	90
Nvec_NVE15670	836	837	278	279	93
Nvec_NVE15670	837	838	279	279	94
Nvec_NVE15670	838	839	279	279	93
Nvec_NVE15670	839	840	279	280	91
Nvec_NVE15670	840	841	280	280	90
Nvec_NVE15670	841	842	280	280	92
Nvec_NVE15670	842	843	280	281	95
Nvec_NVE15670	843	844	281	281	92
Nvec_NVE15670	844	845	281	281	90
Nvec_NVE15670	845	846	281	282	87
Nvec_NVE15670	846	847	282	282	89
Nvec_NVE15670	847	848	282	282	85
Nvec_NVE15670	848	849	282	283	86
Nvec_NVE15670	849	851	283	283	89
Nvec_NVE15670	851	854	283	284	87
Nvec_NVE15670	854	855	284	285	89
Nvec_NVE15670	855	856	285	285	88
Nvec_NVE15670	856	857	285	285	89
Nvec_NVE15670	857	858	285	286	90
Nvec_NVE15670	858	859	286	286	94
Nvec_NVE15670	859	860	286	286	99
Nvec_NVE15670	860	861	286	287	102
Nvec_NVE15670	861	862	287	287	104
Nvec_NVE15670	862	863	287	287	108
Nvec_NVE15670	863	864	287	288	115
Nvec_NVE15670	864	865	288	288	118
Nvec_NVE15670	865	866	288	288	119
Nvec_NVE15670	866	867	288	289	122
Nvec_NVE15670	867	868	289	289	124
Nvec_NVE15670	868	869	289	289	123
Nvec_NVE15670	869	870	289	290	122
Nvec_NVE15670	870	871	290	290	120
Nvec_NVE15670	871	872	290	290	122
Nvec_NVE15670	872	873	290	291	116
Nvec_NVE15670	873	874	291	291	117
Nvec_NVE15670	874	875	291	291	118
Nvec_NVE15670	875	876	291	292	120
Nvec_NVE15670	876	878	292	292	117
Nvec_NVE15670	878	879	292	293	120
Nvec_NVE15670	879	880	293	293	119
Nvec_NVE15670	880	882	293	294	118
Nvec_NVE15670	882	884	294	294	117
Nvec_NVE15670	884	885	294	295	113
Nvec_NVE15670	885	886	295	295	107
Nvec_NVE15670	886	887	295	295	106
Nvec_NVE15670	887	888	295	296	107
Nvec_NVE15670	888	889	296	296	106
Nvec_NVE15670	889	893	296	297	107
Nvec_NVE15670	893	894	297	298	109
Nvec_NVE15670	894	896	298	298	110
Nvec_NVE15670	896	897	298	299	111
Nvec_NVE15670	897	898	299	299	113
Nvec_NVE15670	898	899	299	299	112
Nvec_NVE15670	899	900	299	300	110
Nvec_NVE15670	900	901	300	300	111
Nvec_NVE15670	901	902	300	300	112
Nvec_NVE15670	902	903	300	301	111
Nvec_NVE15670	903	904	301	301	110
Nvec_NVE15670	904	907	301	302	108
Nvec_NVE15670	907	908	302	302	111
Nvec_NVE15670	908	910	302	303	110
Nvec_NVE15670	910	912	303	304	113
Nvec_NVE15670	912	913	304	304	114
Nvec_NVE15670	913	915	304	305	112
Nvec_NVE15670	915	916	305	305	113
Nvec_NVE15670	916	917	305	305	114
Nvec_NVE15670	917	918	305	306	112
Nvec_NVE15670	918	919	306	306	110
Nvec_NVE15670	919	920	306	306	108
Nvec_NVE15670	920	922	306	307	113
Nvec_NVE15670	922	923	307	307	115
Nvec_NVE15670	923	926	307	308	121
Nvec_NVE15670	926	927	308	309	119
Nvec_NVE15670	927	928	309	309	127
Nvec_NVE15670	928	929	309	309	123
Nvec_NVE15670	929	931	309	310	129
Nvec_NVE15670	931	932	310	310	131
Nvec_NVE15670	932	933	310	311	133
Nvec_NVE15670	933	934	311	311	135
Nvec_NVE15670	934	935	311	311	132
Nvec_NVE15670	935	936	311	312	129
Nvec_NVE15670	936	937	312	312	134
Nvec_NVE15670	937	938	312	312	136
