Transcript	Length	NumReads	Unmapped	Sample	Gene
Emue_Em0001g2281a.t1	2841	353	23	mapping	Emue_0001g2281a
Emue_Em0001g2328a.t1	807	70	0	mapping	Emue_0001g2281a
Emue_Em0001g3034a.t1	2580	74	5	mapping	Emue_0001g3034a
Emue_Em0001g3113a.t1	2451	69	3	mapping	Emue_0001g3113a
Emue_Em0001g369a.t1	3285	137	16	mapping	Emue_0001g369a
Emue_Em0001g551a.t1	2664	246	25	mapping	Emue_0001g551a
Emue_Em0001g564a.t1	3033	346	14	mapping	Emue_0001g564a
Emue_Em0001g823a.t1	1845	33	1	mapping	Emue_0001g823a
Emue_Em0001g887a.t1	2322	109	3	mapping	Emue_0001g887a
Emue_Em0001g992a.t1	2430	390	12	mapping	Emue_0001g992a
Emue_Em0002g1361a.t1	3633	183	5	mapping	Emue_0002g1361a
Emue_Em0002g478a.t1	4950	1290	99	mapping	Emue_0002g478a
Emue_Em0003g1767a.t1	2451	95	1	mapping	Emue_0003g1767a
Emue_Em0003g775a.t1	2547	650	14	mapping	Emue_0003g775a
Emue_Em0003g974a.t1	2082	397	6	mapping	Emue_0003g974a
Emue_Em0004g175a.t1	8106	9357	98	mapping	Emue_0004g175a
Emue_Em0004g695a.t1	2313	60	1	mapping	Emue_0004g695a
Emue_Em0005g304a.t1	2235	45	3	mapping	Emue_0005g304a
Emue_Em0008g1027a.t1	5994	15067	366	mapping	Emue_0008g1027a
Emue_Em0009g754a.t1	4842	427	18	mapping	Emue_0009g754a
Emue_Em0011g222a.t1	1908	99	1	mapping	Emue_0011g222a
Emue_Em0011g724a.t1	1590	233	10	mapping	Emue_0011g724a
Emue_Em0017g591a.t1	3201	1448	61	mapping	Emue_0017g591a
Emue_Em0019g1188a.t1	1731	145	6	mapping	Emue_0019g1188a
Emue_Em0024g304a.t1	2082	73	2	mapping	Emue_0024g304a
Emue_Em0024g316a.t1	1914	20	2	mapping	Emue_0024g316a
Emue_Em0033g8a.t1	1569	25	2	mapping	Emue_0033g8a
Emue_Em0070g10a.t1	3150	1056	13	mapping	Emue_0070g10a
Emue_Em0092g8a.t1	1878	142	2	mapping	Emue_0092g8a
Emue_Em0120g8a.t1	6525	961	18	mapping	Emue_0120g8a
Emue_Em0516g4a.t1	1917	522	10	mapping	Emue_0120g8a
