gene	orthogroup	orthologous_to
ArchaeCry|Sphfal_Sphfalx11G042300.1.p	aOG.eur_CAF1A0	
Obazoa|Hydvul_Sc4wPfr_826.g32466.t1	aOG.eur_CAF1A0	
Obazoa|Skow_XP_002730891.1	aOG.eur_CAF1A0	
Obazoa|Spun_KNC97636	aOG.eur_CAF1A0	
Obazoa|Tetwil_Twilhelma_g18622.t2	aOG.eur_CAF1A0	
Amoebozoa|Plafun_PRP73788	aOG.eur_CAF1A0	
Obazoa|Helrob_HelroP159230	aOG.eur_CAF1A0	
Malawimonadidae|Maljak_MALJA_01449.mRNA.1	aOG.eur_CAF1A0	
ArchaeCry|Sbic_KXG33892	aOG.eur_CAF1A0	
ArchaeCry|Klenit_GAQ80815.1	aOG.eur_CAF1A0	
ArchaeCry|Mgut_XP_012834844.1	aOG.eur_CAF1A0	
