gene	orthogroup	orthologous_to
Plafun_PRP87894	zf-CCHH.HG1.0:like:CHFR:likeclu:7	NA
Ttra_KNC54095	zf-CCHH.HG1.0:like:CHFR:likeclu:7	NA
Skow_XP_006820400.1	zf-CCHH.HG1.0:like:CHFR:likeclu:7	NA
Acas_ELR14356	zf-CCHH.HG1.0:like:CHFR:likeclu:7	NA
Ptyfla_pfl_40v0_9_20150316_1g13040.t1	zf-CCHH.HG1.0:like:CHFR:likeclu:7	NA
Cowc_KJE92270	zf-CCHH.HG1.0:like:CHFR:likeclu:7	NA
Sros_EGD73440	zf-CCHH.HG1.0:like:CHFR:likeclu:7	NA
Masbal_CACRSC010000042.1.p24	zf-CCHH.HG1.0:like:CHFR:likeclu:7	NA
Skow_XP_002737951.1	zf-CCHH.HG1.0:like:CHFR:likeclu:7	NA
Spun_KNC98217	zf-CCHH.HG1.0:like:CHFR:likeclu:7	NA
Gpro_KXS17784	zf-CCHH.HG1.0:like:CHFR:likeclu:7	NA
Lgig_LotgiP234827	zf-CCHH.HG1.0:like:CHFR:likeclu:7	NA
Acas_ELR21435	zf-CCHH.HG1.0:like:CHFR:likeclu:7	NA
Acas_ELR22122	zf-CCHH.HG1.0:like:CHFR:likeclu:7	NA
Cgig_EKC19733	zf-CCHH.HG1.0:like:CHFR:likeclu:7	NA
Ctel_CapteP196397	zf-CCHH.HG1.0:like:CHFR:likeclu:7	NA
Plafun_PRP82853	zf-CCHH.HG1.0:like:CHFR:likeclu:7	NA
Lcom_lcpid168144	zf-CCHH.HG1.0:like:CHFR:likeclu:7	NA
Plafun_PRP76448	zf-CCHH.HG1.0:like:CHFR:likeclu:7	NA
Hydvul_Sc4wPfr_910.1.g9209.t1	zf-CCHH.HG1.0:like:CHFR:likeclu:7	NA
Hemkuk_25065_TR8435_c0_g1	zf-CCHH.HG1.1:like:APLF:likeclu:6	NA
Tielac_KYQ91080	zf-CCHH.HG1.1:like:APLF:likeclu:6	NA
Gefoke_MALSP_15863.mRNA.1	zf-CCHH.HG1.1:like:APLF:likeclu:6	NA
Carmem_2014.p1	zf-CCHH.HG1.1:like:APLF:likeclu:6	NA
Spun_KND00811	zf-CCHH.HG1.1:like:APLF:likeclu:6	NA
Maljak_MALJA_08761.mRNA.1	zf-CCHH.HG1.1:like:APLF:likeclu:6	NA
Gefoke_MALSP_03279.mRNA.1	zf-CCHH.HG1.1:like:APLF:likeclu:6	NA
Acas_ELR23324	zf-CCHH.HG1.1:like:APLF:likeclu:6	NA
Hetalb_XP_020431338.1	zf-CCHH.HG1.1:like:APLF:likeclu:6	NA
Malcal_MALCA_06517.mRNA.1	zf-CCHH.HG1.1:like:APLF:likeclu:6	NA
Cavfas_EGG13739	zf-CCHH.HG1.1:like:APLF:likeclu:6	NA
Ddis_EAL60504	zf-CCHH.HG1.1:like:APLF:likeclu:6	NA
Maljak_MALJA_07938.mRNA.1	zf-CCHH.HG1.1:like:APLF:likeclu:6	NA
