gene	orthogroup	orthologous_to
Aque_Aqu2.1.29062_001	PTIP.HG4.0:REV1	REV1
Secula_SECUL_06859.mRNA.1	PTIP.HG4.0:REV1	REV1
Phatri_Phatr3_J49385.p1	PTIP.HG4.0:REV1	REV1
Ngru_EFC42459	PTIP.HG4.0:REV1	REV1
Glam_EDO81597	PTIP.HG4.0:REV1	REV1
Plabra_CEP03802	PTIP.HG4.0:REV1	REV1
Sappar_KDO15837	PTIP.HG4.0:REV1	REV1
Spun_KNC96285	PTIP.HG4.0:REV1	REV1
Rirr_GBC11690	PTIP.HG4.0:REV1	REV1
Jaklib_JAKLI_05272.mRNA.1	PTIP.HG4.0:REV1	REV1
Amobb2_AMBB2_03150.mRNA.2	PTIP.HG4.0:REV1	REV1
Sbic_KXG20701	PTIP.HG4.0:REV1	REV1
Smoe_EFJ16487	PTIP.HG4.0:REV1	REV1
Secula_SECUL_05786.mRNA.1	PTIP.HG4.0:REV1	REV1
Bremin_symbB.v1.2.027049.t2	PTIP.HG4.0:REV1	REV1
Crei_PNW76020	PTIP.HG4.0:REV1	REV1
Ccin_EAU84903	PTIP.HG4.0:REV1	REV1
Fabtro_Gene.49114	PTIP.HG4.0:REV1	REV1
Amac_KNE69354	PTIP.HG4.0:REV1	REV1
Ttra_KNC48536	PTIP.HG4.0:REV1	REV1
Cvar_XP_005850908.1	PTIP.HG4.0:REV1	REV1
Bremin_symbB.v1.2.027049.t1	PTIP.HG4.0:REV1	REV1
Bremin_symbB.v1.2.011355.t1	PTIP.HG4.0:REV1	REV1
Atri_ERN10874	PTIP.HG4.0:REV1	REV1
Plabra_CEP00314	PTIP.HG4.0:REV1	REV1
Tvag_XP_001298505.1	PTIP.HG4.0:REV1	REV1
Ulvmut_UM149_00421	PTIP.HG4.0:REV1	REV1
Styinc_Gene35931_m35931	PTIP.HG4.0:REV1	REV1
Acoe_PIA27042.1	PTIP.HG4.0:REV1	REV1
Smoe_EFJ32197	PTIP.HG4.0:REV1	REV1
Sappar_KDO22757	PTIP.HG4.0:REV1	REV1
Mgut_XP_012830931.1	PTIP.HG4.0:REV1	REV1
Vcar_XP_002956424.1	PTIP.HG4.0:REV1	REV1
Sacu_v1.1_s0015.g006707	PTIP.HG4.0:REV1	REV1
Gpro_KXS20970	PTIP.HG4.0:REV1	REV1
