in_gene	out_gene	branch_support	ev_type	sos
Ngad_EWM25798	Apla_XP_022102973.1	67.0	S	0.0
Ngad_EWM25798	Acoe_PIA36581.1	67.0	S	0.0
Ngad_EWM25798	Notgen_g39398.t1	67.0	S	0.0
Ngad_EWM25798	Ptet_CAK94518	67.0	S	0.0
Ngad_EWM25798	Hduj_OQV22402.1	67.0	S	0.0
Ngad_EWM25798	Ptet_CAK57737	67.0	S	0.0
Ngad_EWM25798	Acoe_PIA35199.1	67.0	S	0.0
Ngad_EWM25798	Cgig_EKC31483	67.0	S	0.0
Ngad_EWM25798	Sphfal_Sphfalx05G070200.2.p	67.0	S	0.0
Ngad_EWM25798	Linana_g1765.t1	67.0	S	0.0
Ngad_EWM25798	Rigram_Gene.28196	67.0	S	0.0
Ngad_EWM25798	Nutlon_comp17178_c1_seq1.p1	67.0	S	0.0
Ngad_EWM25798	Cowc_KJE88783	67.0	S	0.0
Ngad_EWM25798	Plafun_PRP85156	67.0	S	0.0
Ngad_EWM25798	Chrtob_KOO32846.1	67.0	S	0.0
Ngad_EWM25798	Ramvar_GAU91770.1	67.0	S	0.0
Ngad_EWM25798	Marpol_PTQ41729	67.0	S	0.0
Ngad_EWM25798	Aplker_89364	67.0	S	0.0
Ngad_EWM25798	Tadh_P19102	67.0	S	0.0
Ngad_EWM25798	Azfi_s0908.g092253	67.0	S	0.0
Ngad_EWM25798	Sbic_OQU91499	67.0	S	0.0
Ngad_EWM25798	Lpol_XP_022250098.1	67.0	S	0.0
Ngad_EWM25798	Sphfal_Sphfalx05G070200.1.p	67.0	S	0.0
Ngad_EWM25798	Sphfal_Sphfalx08G089400.3.p	67.0	S	0.0
Ngad_EWM25798	Clyhem_TCONS_00065514-protein	67.0	S	0.0
Ngad_EWM25798	Nvec_NVE23	67.0	S	0.0
Ngad_EWM25798	Meteor_CRO19MET_NODE_8349.p1	67.0	S	0.0
Ngad_EWM25798	Auraur_scaffold2.g52.t1	67.0	S	0.0
Ngad_EWM25798	Tetwil_Twilhelma_g26990.t2	67.0	S	0.0
Ngad_EWM25798	Hsap_ENSP00000400572.2	67.0	S	0.0
Ngad_EWM25798	Ancsig_Gene.36820	67.0	S	0.0
Ngad_EWM25798	Eimten_CDJ42142	67.0	S	0.0
Ngad_EWM25798	Hduj_OQV17947.1	67.0	S	0.0
Ngad_EWM25798	Cscu_XP_023238020.1	67.0	S	0.0
Ngad_EWM25798	Lpol_XP_022255979.1	67.0	S	0.0
Ngad_EWM25798	Acoe_PIA35200.1	67.0	S	0.0
Ngad_EWM25798	Hsap_ENSP00000396439.2	67.0	S	0.0
Ngad_EWM25798	Ptyfla_pfl_40v0_9_20150316_1g9738.t1	67.0	S	0.0
Ngad_EWM25798	Hsap_ENSP00000412190.2	67.0	S	0.0
Ngad_EWM25798	Sappar_KDO20290	67.0	S	0.0
Ngad_EWM25798	Spimul_23824_TR11786_c0_g1	67.0	S	0.0
Ngad_EWM25798	Sros_EGD83132	67.0	S	0.0
Ngad_EWM25798	Cvel_4806.t1-p1	67.0	S	0.0
Ngad_EWM25798	Sbic_EES03752	67.0	S	0.0
Ngad_EWM25798	Morvir_scaffold58.g39.t1	67.0	S	0.0
Ngad_EWM25798	Sphfal_Sphfalx05G070200.3.p	67.0	S	0.0
Ngad_EWM25798	Aque_Aqu2.1.33463_001	67.0	S	0.0
Ngad_EWM25798	Vitbra_CEM35045.1	67.0	S	0.0
Ngad_EWM25798	Bdis_KQK10157	67.0	S	0.0
Ngad_EWM25798	Mbre_EDQ90148	67.0	S	0.0
Ngad_EWM25798	Sbic_KXG22271	67.0	S	0.0
Ngad_EWM25798	Tgon_TGME49_226780-t26_1-p1-CDS1	67.0	S	0.0
Ngad_EWM25798	Hsap_ENSP00000372699.4	67.0	S	0.0
Ngad_EWM25798	Cocsub_XP_005644383.1	67.0	S	0.0
Ngad_EWM25798	Ramvar_GAU97559.1	67.0	S	0.0
Ngad_EWM25798	Apla_XP_022102974.1	67.0	S	0.0
Ngad_EWM25798	Scil_scpid46202	67.0	S	0.0
Ngad_EWM25798	Ppat_Pp3c25_5150V3.2	67.0	S	0.0
Ngad_EWM25798	Adig_XP_015765334.1	67.0	S	0.0
Ngad_EWM25798	Ppat_Pp3c16_8070V3.23	67.0	S	0.0
Ngad_EWM25798	Bnat_JGI_V11_52194	67.0	S	0.0
Ngad_EWM25798	Gonavo_comp39134_c0_seq1_6_ORF10_195	67.0	S	0.0
Ngad_EWM25798	Atha_AT5G44280.2	67.0	S	0.0
Ngad_EWM25798	Exapal_XP_020908555.1	67.0	S	0.0
Ngad_EWM25798	Lgig_LotgiP109899	67.0	S	0.0
Ngad_EWM25798	Bnat_JGI_V11_33410	67.0	S	0.0
Ngad_EWM25798	Cscu_XP_023238693.1	67.0	S	0.0
Ngad_EWM25798	Gefoke_MALSP_13228.mRNA.1	67.0	S	0.0
Ngad_EWM25798	Sbic_KXG27012	67.0	S	0.0
Ngad_EWM25798	Helrob_HelroP184809	67.0	S	0.0
Ngad_EWM25798	Gthe_EKX36533	67.0	S	0.0
Ngad_EWM25798	Marpol_PTQ41728	67.0	S	0.0
Ngad_EWM25798	Acoe_PIA36586.1	67.0	S	0.0
Ngad_EWM25798	Tetwil_Twilhelma_g26990.t1	67.0	S	0.0
Ngad_EWM25798	Bralan_BL01565_evm16	67.0	S	0.0
Ngad_EWM25798	Tpse_EED91804	67.0	S	0.0
Ngad_EWM25798	Ctel_CapteP219532	67.0	S	0.0
Ngad_EWM25798	Bdis_KQK05587	67.0	S	0.0
Ngad_EWM25798	Retfil_ETO22787	67.0	S	0.0
Ngad_EWM25798	Chabra_GBG65600	67.0	S	0.0
Ngad_EWM25798	Plafun_PRP78457	67.0	S	0.0
Ngad_EWM25798	Dpul_EFX70340	67.0	S	0.0
