Transcript	Length	EffectiveLength	TPM	NumReads	Sample	Gene
Emue_Em0001g2281a.t1	2841	2640.374	0.000000	0.000	SRR13119948	Emue_0001g2281a
Emue_Em0001g2281a.t1	2841	2637.703	0.115678	1.319	SRR13119949	Emue_0001g2281a
Emue_Em0001g2281a.t1	2841	2639.153	0.409284	5.910	SRR13119950	Emue_0001g2281a
Emue_Em0001g2281a.t1	2841	2636.724	0.000000	0.000	SRR13119951	Emue_0001g2281a
Emue_Em0001g2281a.t1	2841	2642.535	0.220735	3.121	SRR13119952	Emue_0001g2281a
Emue_Em0001g2281a.t1	2841	2640.150	0.088111	1.088	SRR13119953	Emue_0001g2281a
Emue_Em0001g2328a.t1	807	607.231	0.000000	0.000	SRR13119948	Emue_0001g2281a
Emue_Em0001g2328a.t1	807	604.760	0.000000	0.000	SRR13119949	Emue_0001g2281a
Emue_Em0001g2328a.t1	807	606.089	0.000000	0.000	SRR13119950	Emue_0001g2281a
Emue_Em0001g2328a.t1	807	603.616	0.000000	0.000	SRR13119951	Emue_0001g2281a
Emue_Em0001g2328a.t1	807	609.608	0.000000	0.000	SRR13119952	Emue_0001g2281a
Emue_Em0001g2328a.t1	807	607.114	0.000000	0.000	SRR13119953	Emue_0001g2281a
Emue_Em0001g3034a.t1	2580	2379.374	0.000000	0.000	SRR13119948	Emue_0001g3034a
Emue_Em0001g3034a.t1	2580	2376.703	0.000000	0.000	SRR13119949	Emue_0001g3034a
Emue_Em0001g3034a.t1	2580	2378.153	0.075773	0.986	SRR13119950	Emue_0001g3034a
Emue_Em0001g3034a.t1	2580	2375.724	0.083871	1.123	SRR13119951	Emue_0001g3034a
Emue_Em0001g3034a.t1	2580	2381.535	0.000000	0.000	SRR13119952	Emue_0001g3034a
Emue_Em0001g3034a.t1	2580	2379.150	0.173817	1.935	SRR13119953	Emue_0001g3034a
Emue_Em0001g3113a.t1	2451	2250.374	0.000000	0.000	SRR13119948	Emue_0001g3113a
Emue_Em0001g3113a.t1	2451	2247.703	0.000000	0.000	SRR13119949	Emue_0001g3113a
Emue_Em0001g3113a.t1	2451	2249.153	0.000000	0.000	SRR13119950	Emue_0001g3113a
Emue_Em0001g3113a.t1	2451	2246.724	0.000000	0.000	SRR13119951	Emue_0001g3113a
Emue_Em0001g3113a.t1	2451	2252.535	0.000000	0.000	SRR13119952	Emue_0001g3113a
Emue_Em0001g3113a.t1	2451	2250.150	0.000000	0.000	SRR13119953	Emue_0001g3113a
Emue_Em0001g369a.t1	3285	3084.374	0.000000	0.000	SRR13119948	Emue_0001g369a
Emue_Em0001g369a.t1	3285	3081.703	0.000000	0.000	SRR13119949	Emue_0001g369a
Emue_Em0001g369a.t1	3285	3083.153	0.000000	0.000	SRR13119950	Emue_0001g369a
Emue_Em0001g369a.t1	3285	3080.724	0.000000	0.000	SRR13119951	Emue_0001g369a
Emue_Em0001g369a.t1	3285	3086.535	0.000000	0.000	SRR13119952	Emue_0001g369a
Emue_Em0001g369a.t1	3285	3084.150	0.000000	0.000	SRR13119953	Emue_0001g369a
Emue_Em0001g551a.t1	2664	2463.374	0.739558	6.838	SRR13119948	Emue_0001g551a
Emue_Em0001g551a.t1	2664	2460.703	0.000000	0.000	SRR13119949	Emue_0001g551a
Emue_Em0001g551a.t1	2664	2462.153	0.000000	0.000	SRR13119950	Emue_0001g551a
Emue_Em0001g551a.t1	2664	2459.724	0.991392	13.745	SRR13119951	Emue_0001g551a
Emue_Em0001g551a.t1	2664	2465.535	0.000000	0.000	SRR13119952	Emue_0001g551a
Emue_Em0001g551a.t1	2664	2463.150	1.035137	11.930	SRR13119953	Emue_0001g551a
Emue_Em0001g564a.t1	3033	2832.374	0.000000	0.000	SRR13119948	Emue_0001g564a
Emue_Em0001g564a.t1	3033	2829.703	1.005790	12.299	SRR13119949	Emue_0001g564a
Emue_Em0001g564a.t1	3033	2831.153	0.312091	4.835	SRR13119950	Emue_0001g564a
Emue_Em0001g564a.t1	3033	2828.724	0.181125	2.888	SRR13119951	Emue_0001g564a
Emue_Em0001g564a.t1	3033	2834.535	0.000000	0.000	SRR13119952	Emue_0001g564a
Emue_Em0001g564a.t1	3033	2832.150	0.000000	0.000	SRR13119953	Emue_0001g564a
Emue_Em0001g823a.t1	1845	1644.374	0.000000	0.000	SRR13119948	Emue_0001g823a
Emue_Em0001g823a.t1	1845	1641.703	0.281916	2.000	SRR13119949	Emue_0001g823a
Emue_Em0001g823a.t1	1845	1643.153	0.000000	0.000	SRR13119950	Emue_0001g823a
Emue_Em0001g823a.t1	1845	1640.724	0.000000	0.000	SRR13119951	Emue_0001g823a
Emue_Em0001g823a.t1	1845	1646.535	0.254889	2.245	SRR13119952	Emue_0001g823a
Emue_Em0001g823a.t1	1845	1644.150	0.000000	0.000	SRR13119953	Emue_0001g823a
Emue_Em0001g887a.t1	2322	2121.374	0.000000	0.000	SRR13119948	Emue_0001g887a
Emue_Em0001g887a.t1	2322	2118.703	0.000000	0.000	SRR13119949	Emue_0001g887a
Emue_Em0001g887a.t1	2322	2120.153	0.135636	1.573	SRR13119950	Emue_0001g887a
Emue_Em0001g887a.t1	2322	2117.724	0.446589	5.331	SRR13119951	Emue_0001g887a
Emue_Em0001g887a.t1	2322	2123.535	0.000000	0.000	SRR13119952	Emue_0001g887a
Emue_Em0001g887a.t1	2322	2121.150	0.000000	0.000	SRR13119953	Emue_0001g887a
Emue_Em0001g992a.t1	2430	2229.374	0.000000	0.000	SRR13119948	Emue_0001g992a
Emue_Em0001g992a.t1	2430	2226.703	0.000000	0.000	SRR13119949	Emue_0001g992a
Emue_Em0001g992a.t1	2430	2228.153	0.000000	0.000	SRR13119950	Emue_0001g992a
Emue_Em0001g992a.t1	2430	2225.724	0.000000	0.000	SRR13119951	Emue_0001g992a
Emue_Em0001g992a.t1	2430	2231.535	0.175906	2.100	SRR13119952	Emue_0001g992a
Emue_Em0001g992a.t1	2430	2229.150	0.000000	0.000	SRR13119953	Emue_0001g992a
Emue_Em0002g1361a.t1	3633	3432.374	0.000000	0.000	SRR13119948	Emue_0002g1361a
Emue_Em0002g1361a.t1	3633	3429.703	0.000000	0.000	SRR13119949	Emue_0002g1361a
Emue_Em0002g1361a.t1	3633	3431.153	0.000000	0.000	SRR13119950	Emue_0002g1361a
Emue_Em0002g1361a.t1	3633	3428.724	0.000000	0.000	SRR13119951	Emue_0002g1361a
Emue_Em0002g1361a.t1	3633	3434.535	0.000000	0.000	SRR13119952	Emue_0002g1361a
Emue_Em0002g1361a.t1	3633	3432.150	0.182455	2.930	SRR13119953	Emue_0002g1361a
Emue_Em0002g478a.t1	4950	4749.374	0.840116	14.977	SRR13119948	Emue_0002g478a
Emue_Em0002g478a.t1	4950	4746.703	1.807135	37.068	SRR13119949	Emue_0002g478a
Emue_Em0002g478a.t1	4950	4748.153	1.913875	49.723	SRR13119950	Emue_0002g478a
Emue_Em0002g478a.t1	4950	4745.724	1.215478	32.514	SRR13119951	Emue_0002g478a
Emue_Em0002g478a.t1	4950	4751.535	1.454059	36.963	SRR13119952	Emue_0002g478a
Emue_Em0002g478a.t1	4950	4749.150	1.750650	38.901	SRR13119953	Emue_0002g478a
Emue_Em0003g1767a.t1	2451	2250.374	0.000000	0.000	SRR13119948	Emue_0003g1767a
Emue_Em0003g1767a.t1	2451	2247.703	0.000000	0.000	SRR13119949	Emue_0003g1767a
Emue_Em0003g1767a.t1	2451	2249.153	0.000000	0.000	SRR13119950	Emue_0003g1767a
