Morvir_scaffold76.g69.t2	SNF2_N RVT_1
Morvir_scaffold2848.g1.t1	RVT_1 PHD
Morvir_scaffold209.g16.t1	RVT_1 zf-C3HC4 BRCT
Morvir_scaffold10.g67.t1	RVT_1 PHD COX6A
Morvir_scaffold21.g164.t3	TUDOR TUDOR RVT_1
Morvir_scaffold154.g16.t2	RVT_1 PHD PMC2NT DNA_pol_A_exo1 HRDC
Morvir_scaffold119.g44.t1	rve Chromo
Morvir_scaffold208.g24.t1	zf-CW PWWP Exo_endo_phos_2 RVT_1
Morvir_scaffold56.g37.t3	BRO1 RVT_1 PHD BRO1 ALIX_LYPXL_bnd
Morvir_scaffold238.g19.t1	RVT_1 SNF2_N Helicase_C
Morvir_scaffold238.g19.t2	RVT_1 SNF2_N Helicase_C
Morvir_scaffold217.g1.t1	RVT_1 TUDOR TUDOR TUDOR
Morvir_scaffold1.g18.t2	Aldedh RVT_1 PHD Aldedh
Morvir_scaffold156.g27.t1	RVT_1 DUF3535 SNF2_N Helicase_C
Morvir_scaffold122.g10.t1	RVT_1 PHD
Morvir_scaffold240.g28.t1	TUDOR RVT_1
Morvir_scaffold21.g38.t1	RVT_1 SNF2_N Helicase_C SprT-like
Morvir_scaffold81.g60.t1	PCAF_N Acetyltransf_1 DDE_1
Morvir_scaffold707.g4.t2	Vps26 RVT_1 PHD Vps26
Morvir_scaffold5.g135.t1	RVT_1 PHD WD40 WD40 WD40 WD40
Morvir_scaffold2.g47.t1	ATP-synt_D RVT_1 PHD ATP-synt_D
Morvir_scaffold233.g32.t2	RVT_1 PHD Ras
Morvir_scaffold21.g38.t2	RVT_1 SNF2_N Helicase_C SprT-like
Morvir_scaffold434.g2.t1	S1 RVT_1 PHD EIF_2_alpha
Morvir_scaffold17.g141.t1	SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2
Morvir_scaffold102.g15.t1	Chromo Chromo SNF2_N RVT_1 SNF2_N Helicase_C CDH1_2_SANT_HL1
Morvir_scaffold7.g45.t2	Exo_endo_phos_2 RVT_1 DBINO SNF2_N RVT_1 Helicase_C
Morvir_scaffold44.g13.t1	RVT_1 RT_RNaseH_2 Integrase_H2C2 rve YEATS
Morvir_scaffold39.g109.t1	rve Chromo
Morvir_scaffold156.g27.t5	RVT_1 DUF3535 SNF2_N Helicase_C
Morvir_scaffold92.g50.t2	RVT_1 PHD Rsm22 Rsm22
Morvir_scaffold81.g59.t1	RVT_1 Bromodomain
Morvir_scaffold177.g17.t1	RVT_1 PHD WD40
Morvir_scaffold131.g36.t1	rve Chromo
Morvir_scaffold44.g6.t2	Cupin_8 RVT_1 Cupin_8
Morvir_scaffold390.g6.t3	SH3_9 SAM_1 C1_1 RhoGAP SH2 Exo_endo_phos_2 RVT_1 SH2
Morvir_scaffold32.g2.t1	RVT_1 HATPase_c_3 Morc6_S5 zf-CW
Morvir_scaffold263.g3.t2	RVT_1 PHD Proteasome_A_N Proteasome
