Transcript	Length	NumReads	Unmapped	Sample	Gene
Chabra_GBG41103	3051	7	0	mapping	Chabra_GBG41103
Chabra_GBG43817	2016	18	0	mapping	Chabra_GBG43817
Chabra_GBG58667	3537	12	0	mapping	Chabra_GBG58667
Chabra_GBG59012	2028	8	0	mapping	Chabra_GBG59012
Chabra_GBG59472	3096	22	0	mapping	Chabra_GBG59472
Chabra_GBG59590	2976	6	0	mapping	Chabra_GBG59590
Chabra_GBG59636	3147	10	0	mapping	Chabra_GBG59636
Chabra_GBG60019	2034	12	0	mapping	Chabra_GBG60019
Chabra_GBG60020	4035	26	0	mapping	Chabra_GBG60020
Chabra_GBG60117	7476	509	114	mapping	Chabra_GBG60117
Chabra_GBG60168	4002	17	0	mapping	Chabra_GBG60168
Chabra_GBG60306	3555	55	0	mapping	Chabra_GBG60306
Chabra_GBG60413	3210	10	0	mapping	Chabra_GBG60413
Chabra_GBG60453	2220	16	2	mapping	Chabra_GBG60453
Chabra_GBG60635	2142	10	0	mapping	Chabra_GBG60635
Chabra_GBG60871	2139	9	0	mapping	Chabra_GBG60871
Chabra_GBG61131	2823	2	0	mapping	Chabra_GBG61131
Chabra_GBG61141	3078	33	8	mapping	Chabra_GBG61141
Chabra_GBG61764	1440	28	0	mapping	Chabra_GBG61764
Chabra_GBG61900	2463	59	2	mapping	Chabra_GBG61900
Chabra_GBG62107	2568	2	0	mapping	Chabra_GBG62107
Chabra_GBG62181	3870	6	0	mapping	Chabra_GBG62181
Chabra_GBG62411	1533	7	1	mapping	Chabra_GBG62411
Chabra_GBG62505	3738	45	0	mapping	Chabra_GBG62505
Chabra_GBG62580	1968	7	0	mapping	Chabra_GBG62580
Chabra_GBG62710	3114	4	0	mapping	Chabra_GBG62710
Chabra_GBG63627	3186	6	0	mapping	Chabra_GBG63627
Chabra_GBG63680	2538	125	12	mapping	Chabra_GBG63680
Chabra_GBG63939	3480	143	4	mapping	Chabra_GBG63939
Chabra_GBG63947	2052	8	0	mapping	Chabra_GBG63947
Chabra_GBG63965	7893	554	13	mapping	Chabra_GBG63965
Chabra_GBG63975	4965	2587	311	mapping	Chabra_GBG63975
Chabra_GBG63978	2646	17	2	mapping	Chabra_GBG63978
Chabra_GBG63981	2664	1106	74	mapping	Chabra_GBG63981
Chabra_GBG63987	8922	3467	139	mapping	Chabra_GBG63987
Chabra_GBG64223	1956	227	121	mapping	Chabra_GBG64223
