gene_j	gene_i	strand_i	strand_j	dist_ij	class_i	class_j	pair	pair_hists	pair_orientation	pair_hists_ori	species
Aano_EGB02157	Aano_EGB03982	-	+	229	H2A	H2B	Aano_EGB02157,Aano_EGB03982	H2A,H2B	hh	H2A,H2B hh	Aano
Aano_EGB03228	Aano_EGB03692	-	+	258	H3	H4	Aano_EGB03228,Aano_EGB03692	H3,H4	hh	H3,H4 hh	Aano
Aano_EGB03228	Aano_EGB03982	-	+	-407	H2A	H4	Aano_EGB03228,Aano_EGB03982	H2A,H4	tt	H2A,H4 tt	Aano
Aano_EGB03228	Aano_EGB04036	-	-	-1750	H2B	H4	Aano_EGB03228,Aano_EGB04036	H2B,H4	ht	H2B,H4 ht	Aano
Aano_EGB03512	Aano_EGB03522	-	+	220	H3	H4	Aano_EGB03512,Aano_EGB03522	H3,H4	hh	H3,H4 hh	Aano
Aano_EGB03692	Aano_EGB04036	-	+	-2952	H2B	H3	Aano_EGB03692,Aano_EGB04036	H2B,H3	tt	H2B,H3 tt	Aano
Aano_EGB03693	Aano_EGB04036	-	+	325	H2B	H2AZ	Aano_EGB03693,Aano_EGB04036	H2AZ,H2B	hh	H2AZ,H2B hh	Aano
Aano_EGB03982	Aano_EGB04036	-	+	226	H2B	H2A	Aano_EGB03982,Aano_EGB04036	H2A,H2B	hh	H2A,H2B hh	Aano
Acas_ELR14806	Acas_ELR19361	-	+	339	H2B	H4	Acas_ELR14806,Acas_ELR19361	H2B,H4	hh	H2B,H4 hh	Acas
Acoe_PIA26147.1	Acoe_PIA26147.1	+	+	-1233	H4	H4	Acoe_PIA26147.1,Acoe_PIA26147.1	H4,H4	ht	H4,H4 ht	Acoe
Acoe_PIA58461.1	Acoe_PIA58462.1	-	+	-1053	H2A	H2A	Acoe_PIA58461.1,Acoe_PIA58462.1	H2A,H2A	tt	H2A,H2A tt	Acoe
Adig_XP_015747488.1	Adig_XP_015747529.1	+	-	-191	H3	H4	Adig_XP_015747488.1,Adig_XP_015747529.1	H3,H4	hh	H3,H4 hh	Adig
Adig_XP_015747488.1	Adig_XP_015748861.1	-	+	115	H3	H4	Adig_XP_015747488.1,Adig_XP_015748861.1	H3,H4	hh	H3,H4 hh	Adig
Adig_XP_015747488.1	Adig_XP_015747524.1	-	-	1674	H2A	H4	Adig_XP_015747488.1,Adig_XP_015747524.1	H2A,H4	ht	H2A,H4 ht	Adig
Adig_XP_015747488.1	Adig_XP_015748862.1	-	+	-1531	H2A	H4	Adig_XP_015747488.1,Adig_XP_015748862.1	H2A,H4	tt	H2A,H4 tt	Adig
Adig_XP_015747488.1	Adig_XP_015747528.1	-	-	-920	H4	H4	Adig_XP_015747488.1,Adig_XP_015747528.1	H4,H4	ht	H4,H4 ht	Adig
Adig_XP_015747523.1	Adig_XP_015747529.1	+	-	113	H3	H2B	Adig_XP_015747523.1,Adig_XP_015747529.1	H2B,H3	tt	H2B,H3 tt	Adig
Adig_XP_015747523.1	Adig_XP_015747524.1	+	-	1747	H2A	H2B	Adig_XP_015747523.1,Adig_XP_015747524.1	H2A,H2B	tt	H2A,H2B tt	Adig
Adig_XP_015747523.1	Adig_XP_015747528.1	-	-	727	H4	H2B	Adig_XP_015747523.1,Adig_XP_015747528.1	H2B,H4	ht	H2B,H4 ht	Adig
Adig_XP_015747524.1	Adig_XP_015747530.1	+	-	-292	H2B	H2A	Adig_XP_015747524.1,Adig_XP_015747530.1	H2A,H2B	hh	H2A,H2B hh	Adig
Adig_XP_015747524.1	Adig_XP_015747527.1	+	-	383	H4	H2A	Adig_XP_015747524.1,Adig_XP_015747527.1	H2A,H4	tt	H2A,H4 tt	Adig
Adig_XP_015747528.1	Adig_XP_015748861.1	+	-	-440	H3	H4	Adig_XP_015747528.1,Adig_XP_015748861.1	H3,H4	hh	H3,H4 hh	Adig
Adig_XP_015747529.1	Adig_XP_015747530.1	+	-	530	H4	H3	Adig_XP_015747529.1,Adig_XP_015747530.1	H3,H4	tt	H3,H4 tt	Adig
Adig_XP_015748861.1	Adig_XP_015759837.1	-	+	311	H2B	H3	Adig_XP_015748861.1,Adig_XP_015759837.1	H2B,H3	hh	H2B,H3 hh	Adig
