gene	orthogroup	orthologous_to
Metamonada|Tvag_XP_001301902.1	aOG.eur_PTIP0	
Discoba|Secula_SECUL_05657.mRNA.1	aOG.eur_PTIP0	
SARHap|Aurlim_141853	aOG.eur_PTIP0	
Obazoa|Amac_KNE62967	aOG.eur_PTIP0	
SARHap|Aplker_97094	aOG.eur_PTIP0	
ArchaeCry|Atha_AT5G58003.1	aOG.eur_PTIP0	
Discoba|Ngru_EFC50772	aOG.eur_PTIP0	
Amoebozoa|Cavfas_EGG20980	aOG.eur_PTIP0	
ArchaeCry|Sbic_OQU76788	aOG.eur_PTIP0	
Obazoa|Pbla_XP_018290200.1	aOG.eur_PTIP0	
Discoba|Recame_RECAM_20315.mRNA.1	aOG.eur_PTIP0	
Amoebozoa|Acas_ELR25747	aOG.eur_PTIP1	
CRuMs|Diprot_Gene.16865	aOG.eur_PTIP1	
Ancyromonadida|Fabtro_Gene.41532	aOG.eur_PTIP1	
Obazoa|Morvir_scaffold4.g148.t1	aOG.eur_PTIP1	
Malawimonadidae|Maljak_MALJA_21494.mRNA.1	aOG.eur_PTIP1	
Obazoa|Exapal_XP_020897330.1	aOG.eur_PTIP1	
Malawimonadidae|Gefoke_MALSP_04724.mRNA.1	aOG.eur_PTIP2	
Obazoa|Aque_Aqu2.1.35113_001	aOG.eur_PTIP2	
Hemimastigophora|Hemkuk_15097_TR5097_c0_g1	aOG.eur_PTIP3	
Malawimonadidae|Malcal_MALCA_04966.mRNA.1	aOG.eur_PTIP3	
Obazoa|Bralan_BL14442_cuf2	aOG.eur_PTIP3	
SARHap|Vitbra_CEM15557.1	aOG.eur_PTIP3	
Obazoa|Phoaus_g1677.t1	aOG.eur_PTIP3	
Discoba|Amobb2_AMBB2_03262.mRNA.1	aOG.eur_PTIP3	
Obazoa|Nvec_NVE18889	aOG.eur_PTIP3	
Amoebozoa|Cavfas_EGG14480	aOG.eur_PTIP3	
Meteora|Meteor_CRO19MET_NODE_3002.p1	aOG.eur_PTIP3	
Malawimonadidae|Maljak_MALJA_15780.mRNA.1	aOG.eur_PTIP3	
CRuMs|Diprot_Gene.10933	aOG.eur_PTIP3	
ArchaeCry|Atha_AT1G04020.1	aOG.eur_PTIP3	
Obazoa|Cgig_EKC24368	aOG.eur_PTIP4	
ArchaeCry|Mgut_XP_012830709.1	aOG.eur_PTIP4	
ArchaeCry|Sbic_KXG27959	aOG.eur_PTIP4	
SARHap|Plabra_CEO98011	aOG.eur_PTIP4	
Ancyromonadida|Plamic_ANCSI_07205.mRNA.1	aOG.eur_PTIP4	
Discoba|Amobb2_AMBB2_12096.mRNA.1	aOG.eur_PTIP4	
CRuMs|Rigram_Gene.7038	aOG.eur_PTIP5	
Amoebozoa|Acas_ELR23377	aOG.eur_PTIP5	
Meteora|Meteor_CRO19MET_NODE_62.p1	aOG.eur_PTIP5	
