gene	orthogroup	orthologous_to
Mvib_comp12187_c2_seq1_fr6_102-164	DUF1087.HG1.0:NA	NA
Sman_Smp_079650.1_pep_1350-1428	DUF1087.HG1.0:NA	NA
Atri_ERN02848_834-914	DUF1087.HG1.0:NA	NA
Bdis_KQK16131_1287-1355	DUF1087.HG1.0:NA	NA
Chabra_GBG73474_1172-1232	DUF1087.HG1.0:NA	NA
Helrob_HelroP100648_897-973	DUF1087.HG1.0:NA	NA
Linana_g14443.t1_581-658	DUF1087.HG1.0:NA	NA
Lcom_lcpid17010_1120-1201	DUF1087.HG1.0:NA	NA
Lpol_XP_022245678.1_1019-1093	DUF1087.HG1.0:NA	NA
Linana_g25710.t1_1357-1434	DUF1087.HG1.0:NA	NA
Spis_XP_022789801_1_1264-1341	DUF1087.HG1.0:NA	NA
Sacu_v1.1_s0046.g013333_918-991	DUF1087.HG1.0:NA	NA
Acoe_PIA60918.1_834-914	DUF1087.HG1.0:NA	NA
Drer_ENSDARP00000014790.8_1289-1367	DUF1087.HG1.0:NA	NA
Scil_scpid13509_1110-1190	DUF1087.HG1.0:NA	NA
Sphfal_Sphfalx06G080600.1.p_1773-1844	DUF1087.HG1.0:NA	NA
Ptyfla_pfl_40v0_9_20150316_1g13958.t1_540-619	DUF1087.HG1.0:NA	NA
Acoe_PIA60915.1_834-914	DUF1087.HG1.0:NA	NA
Plafun_PRP81976_1094-1153	DUF1087.HG1.0:NA	NA
Acoe_PIA60922.1_834-914	DUF1087.HG1.0:NA	NA
Bdis_KQK19283_833-906	DUF1087.HG1.0:NA	NA
Hydvul_Sc4wPfr_39.1.g26772.t1_1061-1136	DUF1087.HG1.0:NA	NA
Spur_XP_030842515.1_1301-1380	DUF1087.HG1.0:NA	NA
Hydvul_Sc4wPfr_39.1.g26772.t5_1097-1172	DUF1087.HG1.0:NA	NA
Acoe_PIA60916.1_834-914	DUF1087.HG1.0:NA	NA
Clyhem_TCONS_00018694-protein_1134-1206	DUF1087.HG1.0:NA	NA
Lcom_lcpid15781_1120-1201	DUF1087.HG1.0:NA	NA
Smoe_EFJ11544_818-891	DUF1087.HG1.0:NA	NA
Atha_AT5G44800.1_1294-1351	DUF1087.HG1.0:NA	NA
Smoe_EFJ18933_818-891	DUF1087.HG1.0:NA	NA
Cscu_XP_023225799.1_1218-1294	DUF1087.HG1.0:NA	NA
Ulvmut_UM012_00641_963-1044	DUF1087.HG1.0:NA	NA
Spur_XP_030842516.1_1326-1405	DUF1087.HG1.0:NA	NA
Morvir_scaffold17.g141.t1_434-510	DUF1087.HG1.0:NA	NA
Mgut_XP_012833274.1_1281-1353	DUF1087.HG1.0:NA	NA
Chabra_GBG72047_1947-2013	DUF1087.HG1.0:NA	NA
Jaklib_JAKLI_00124.mRNA.1_995-1059	DUF1087.HG1.0:NA	NA
Smoe_EFJ08834_596-658	DUF1087.HG1.0:NA	NA
Aque_Aqu2.1.23472_001_739-817	DUF1087.HG1.0:NA	NA
Rigram_Gene.15078_1009-1065	DUF1087.HG1.0:NA	NA
Atha_AT2G25170.3_847-927	DUF1087.HG1.0:NA	NA
Ppat_Pp3c18_19040V3.1_868-941	DUF1087.HG1.0:NA	NA
Mlei_ML1029_g2_t1_1138-1215	DUF1087.HG1.0:NA	NA
Klenit_GAQ80045.1_987-1059	DUF1087.HG1.0:NA	NA
Lgig_LotgiP165277_1-66	DUF1087.HG1.0:NA	NA
Hduj_OQV18172.1_1345-1420	DUF1087.HG1.0:NA	NA
Sphfal_Sphfalx01G202700.10.p_2164-2220	DUF1087.HG1.0:NA	NA
Sphfal_Sphfalx08G054500.1.p_1759-1815	DUF1087.HG1.0:NA	NA
Lpol_XP_013787779.2_100-176	DUF1087.HG1.0:NA	NA
Sacu_v1.1_s0004.g002414_1464-1520	DUF1087.HG1.0:NA	NA
Hsap_ENSP00000493629.2_1278-1355	DUF1087.HG1.0:NA	NA
Drer_ENSDARP00000124629.1_1290-1368	DUF1087.HG1.0:NA	NA
Atha_AT4G31900.1_752-824	DUF1087.HG1.0:NA	NA
Exapal_XP_028515945.1_1143-1202	DUF1087.HG1.0:NA	NA
Apla_XP_022104216.1_1263-1343	DUF1087.HG1.0:NA	NA
Nvec_NVE26075_1238-1315	DUF1087.HG1.0:NA	NA
Dpul_EFX90416_1365-1442	DUF1087.HG1.0:NA	NA
Secula_SECUL_04850.mRNA.1_1301-1375	DUF1087.HG1.0:NA	NA
Drer_ENSDARP00000111640.2_1260-1337	DUF1087.HG1.0:NA	NA
Skow_XP_006820466.1_1267-1316	DUF1087.HG1.0:NA	NA
Sphfal_Sphfalx15G016300.1.p_911-983	DUF1087.HG1.0:NA	NA
Marpol_PTQ28491_1649-1709	DUF1087.HG1.0:NA	NA
Sbic_KXG36264_1245-1314	DUF1087.HG1.0:NA	NA
Hsap_ENSP00000262450.3_1293-1368	DUF1087.HG1.0:NA	NA
Tcas_XP_001812556.1_1266-1343	DUF1087.HG1.0:NA	NA
Tcas_XP_008197696.1_1269-1346	DUF1087.HG1.0:NA	NA
Sphfal_Sphfalx02G034000.1.p_908-971	DUF1087.HG1.0:NA	NA
Ocar_g6900.t1_114-189	DUF1087.HG1.0:NA	NA
Ctel_CapteP166178_1076-1154	DUF1087.HG1.0:NA	NA
Linana_g22212.t1_797-874	DUF1087.HG1.0:NA	NA
Sphfal_Sphfalx10G075500.1.p_897-970	DUF1087.HG1.0:NA	NA
Hsap_ENSP00000496634.1_1285-1362	DUF1087.HG1.0:NA	NA
Notgen_g37061.t1_1491-1560	DUF1087.HG1.0:NA	NA
Mgut_XP_012857780.1_838-915	DUF1087.HG1.0:NA	NA
Notgen_g37061.t1_1788-1865	DUF1087.HG1.0:NA	NA
Tthe_EAR94494_1215-1284	DUF1087.HG1.0:NA	NA
Cgig_EKC37026_1226-1304	DUF1087.HG1.0:NA	NA
Cscu_XP_023213157.1_100-177	DUF1087.HG1.0:NA	NA
Sbic_KXG19483_829-905	DUF1087.HG1.0:NA	NA
Hydvul_Sc4wPfr_39.1.g26772.t4_1061-1136	DUF1087.HG1.0:NA	NA
Drer_ENSDARP00000127601.2_1186-1262	DUF1087.HG1.0:NA	NA
Phoaus_g7055.t1_1195-1272	DUF1087.HG1.0:NA	NA
Azfi_s0129.g048917_907-971	DUF1087.HG1.0:NA	NA
Recame_RECAM_16910.mRNA.1_106-194	DUF1087.HG1.0:NA	NA
Smoe_EFJ09071_1284-1344	DUF1087.HG1.0:NA	NA
Spur_XP_030842506.1_1326-1405	DUF1087.HG1.0:NA	NA
Lpol_XP_022245679.1_1060-1134	DUF1087.HG1.0:NA	NA
Azfi_s0007.g010662_1401-1459	DUF1087.HG1.0:NA	NA
