in_gene	out_gene	branch_support	ev_type	sos
Spur_XP_030854578.1	Drer_ENSDARP00000004329.6	1.0	S	0.0
Spur_XP_030854578.1	Drer_ENSDARP00000155554.1	1.0	S	0.0
Spur_XP_030854578.1	Drer_ENSDARP00000044281.5	1.0	S	0.0
Spur_XP_030854578.1	Drer_ENSDARP00000108595.2	1.0	S	0.0
Spur_XP_030854578.1	Drer_ENSDARP00000132400.1	1.0	S	0.0
Spur_XP_030854578.1	Hsap_ENSP00000263734.3	1.0	S	0.0
Spur_XP_030854578.1	Drer_ENSDARP00000021260.9	1.0	S	0.0
Spur_XP_030854578.1	Hsap_ENSP00000366898.3	1.0	S	0.0
Spur_XP_030854578.1	Drer_ENSDARP00000074832.5	1.0	S	0.0
Spur_XP_030854578.1	Drer_ENSDARP00000151831.1	1.0	S	0.0
Spur_XP_030854578.1	Hsap_ENSP00000437955.1	1.0	S	0.0
Cgig_EKC33928	Drer_ENSDARP00000004329.6	1.0	S	0.0
Cgig_EKC33928	Drer_ENSDARP00000155554.1	1.0	S	0.0
Cgig_EKC33928	Drer_ENSDARP00000044281.5	1.0	S	0.0
Cgig_EKC33928	Drer_ENSDARP00000108595.2	1.0	S	0.0
Cgig_EKC33928	Drer_ENSDARP00000132400.1	1.0	S	0.0
Cgig_EKC33928	Hsap_ENSP00000263734.3	1.0	S	0.0
Cgig_EKC33928	Drer_ENSDARP00000021260.9	1.0	S	0.0
Cgig_EKC33928	Hsap_ENSP00000366898.3	1.0	S	0.0
Cgig_EKC33928	Drer_ENSDARP00000074832.5	1.0	S	0.0
Cgig_EKC33928	Drer_ENSDARP00000151831.1	1.0	S	0.0
Cgig_EKC33928	Hsap_ENSP00000437955.1	1.0	S	0.0
Spur_XP_030854578.1	Cgig_EKC33928	96.0	S	0.0
Drer_ENSDARP00000132400.1	Hsap_ENSP00000366898.3	96.0	S	0.0
Hsap_ENSP00000437955.1	Drer_ENSDARP00000004329.6	90.0	S	0.0
Hsap_ENSP00000437955.1	Drer_ENSDARP00000044281.5	90.0	S	0.0
Hsap_ENSP00000263734.3	Drer_ENSDARP00000074832.5	97.0	S	0.0
Hsap_ENSP00000263734.3	Drer_ENSDARP00000155554.1	97.0	S	0.0
Hsap_ENSP00000263734.3	Drer_ENSDARP00000151831.1	97.0	S	0.0
Hsap_ENSP00000263734.3	Drer_ENSDARP00000021260.9	97.0	S	0.0
Drer_ENSDARP00000004329.6	Drer_ENSDARP00000044281.5	92.0	D	1.0
Drer_ENSDARP00000021260.9	Drer_ENSDARP00000155554.1	61.0	D	1.0
Drer_ENSDARP00000021260.9	Drer_ENSDARP00000151831.1	61.0	D	1.0
Drer_ENSDARP00000021260.9	Drer_ENSDARP00000074832.5	61.0	D	1.0
Drer_ENSDARP00000074832.5	Drer_ENSDARP00000155554.1	100.0	D	1.0
Drer_ENSDARP00000074832.5	Drer_ENSDARP00000151831.1	100.0	D	1.0
Drer_ENSDARP00000155554.1	Drer_ENSDARP00000151831.1	100.0	D	1.0
