gene	orthogroup	orthologous_to
Hduj_OQV16774.1	Histone.HG5.0:POLE3	POLE3
Rigram_Gene.24389	Histone.HG5.0:POLE3	POLE3
Ehux_EOD25995	Histone.HG5.0:POLE3	POLE3
Sappar_KDO34131	Histone.HG5.0:POLE3	islike:POLE3
Pavlsp_1037333	Histone.HG5.0:POLE3	POLE3
Klenit_GAQ86387.1	Histone.HG5.0:POLE3	POLE3
Azfi_s0066.g036069	Histone.HG5.0:POLE3	POLE3
Sacu_v1.1_s0002.g001262	Histone.HG5.0:POLE3	POLE3
Marpol_PTQ31887	Histone.HG5.0:POLE3	POLE3
Clyhem_TCONS_00021143-protein	Histone.HG5.0:POLE3	POLE3
Cvel_23660.t1-p1	Histone.HG5.0:POLE3	islike:POLE3
Rirr_GBC30421	Histone.HG5.0:POLE3	POLE3
Caulen_g5023.t1	Histone.HG5.0:POLE3	POLE3
Cint_ENSCINP00000032769.1	Histone.HG5.0:POLE3	POLE3
Tpse_EED95062	Histone.HG5.0:POLE3	islike:POLE3
Apla_XP_022085190.1	Histone.HG5.0:POLE3	POLE3
Aurlim_74473	Histone.HG5.0:POLE3	islike:POLE3
Cvar_XP_005847430.1	Histone.HG5.0:POLE3	POLE3
Emue_0016g81a	Histone.HG5.0:POLE3	POLE3
Spur_XP_785187.1	Histone.HG5.0:POLE3	POLE3
Ttra_KNC52651	Histone.HG5.0:POLE3	POLE3
Schagg_26154	Histone.HG5.0:POLE3	islike:POLE3
Plamic_ANCSI_05878.mRNA.1	Histone.HG5.0:POLE3	POLE3
Nk52_evm35s2612	Histone.HG5.0:POLE3	POLE3
Ngad_EWM23659	Histone.HG5.0:POLE3	islike:POLE3
Tmel_CAZ80274	Histone.HG5.0:POLE3	POLE3
Aque_Aqu2.1.37258_001	Histone.HG5.0:POLE3	POLE3
Lpol_XP_013781842.1	Histone.HG5.0:POLE3	POLE3
Recame_RECAM_02327.mRNA.1	Histone.HG5.0:POLE3	POLE3
Plafun_PRP81358	Histone.HG5.0:POLE3	POLE3
Gpro_KXS21506	Histone.HG5.0:POLE3	POLE3
Emue_0016g67a	Histone.HG5.0:POLE3	POLE3
Ctel_CapteP184024	Histone.HG5.0:POLE3	POLE3
Cneo_AAW46916	Histone.HG5.0:POLE3	POLE3
Lcom_lcpid178424	Histone.HG5.0:POLE3	islike:POLE3
Rhidel_EIE86808	Histone.HG5.0:POLE3	POLE3
Exapal_XP_020914885.1	Histone.HG5.0:POLE3	POLE3
Tadh_wf_g2149_t1	Histone.HG5.0:POLE3	POLE3
Ngru_EFC37840	Histone.HG5.0:POLE3	POLE3
Retfil_ETO36361	Histone.HG5.0:POLE3	islike:POLE3
Linana_g710.t1	Histone.HG5.0:POLE3	POLE3
Morvir_scaffold162.g14.t1	Histone.HG5.0:POLE3	POLE3
Tielac_KYR01928	Histone.HG5.0:POLE3	POLE3
Bnat_JGI_V11_52476	Histone.HG5.0:POLE3	islike:POLE3
Emul_CDI97192.1	Histone.HG5.0:POLE3	POLE3
Cfra_CFRG1280T1	Histone.HG5.0:POLE3	POLE3
Bden_EGF78726	Histone.HG5.0:POLE3	POLE3
Spis_XP_022801833_1	Histone.HG5.0:POLE3	POLE3
Spimul_22855_TR11273_c0_g1	Histone.HG5.0:POLE3	POLE3
Concor_KXN68540	Histone.HG5.0:POLE3	POLE3
Sman_Smp_198790.1_pep	Histone.HG5.0:POLE3	POLE3
Tcas_XP_008199350.1	Histone.HG5.0:POLE3	POLE3
Aano_EGB03606	Histone.HG5.0:POLE3	islike:POLE3
Smoe_EFJ17220	Histone.HG5.0:POLE3	POLE3
Spun_KNC95865	Histone.HG5.0:POLE3	POLE3
Tcru_EAN87112	Histone.HG5.0:POLE3	POLE3
Cscu_XP_023215972.1	Histone.HG5.0:POLE3	POLE3
Sphfal_Sphfalx14G105200.1.p	Histone.HG5.0:POLE3	POLE3
Drer_ENSDARP00000146107.1	Histone.HG5.0:POLE3	POLE3
Meteor_CRO19MET_NODE_11212.p2	Histone.HG5.0:POLE3	POLE3
Cscu_XP_023211230.1	Histone.HG5.0:POLE3	POLE3
Mlei_ML1054_g16_t1	Histone.HG5.0:POLE3	POLE3
Ihof_evm19s40	Histone.HG5.0:POLE3	POLE3
Notgen_g20706.t1	Histone.HG5.0:POLE3	POLE3
Cavfas_EGG21379	Histone.HG5.0:POLE3	POLE3
Ccin_EAU83629	Histone.HG5.0:POLE3	POLE3
Hemkuk_17224_TR5731_c1_g1	Histone.HG5.0:POLE3	POLE3
Vitbra_CEM09150.1	Histone.HG5.0:POLE3	islike:POLE3
Hetalb_XP_020432381.1	Histone.HG5.0:POLE3	POLE3
Gefoke_MALSP_08998.mRNA.1	Histone.HG5.0:POLE3	POLE3
Drer_ENSDARP00000145775.1	Histone.HG5.0:POLE3	POLE3
Ncra_EAA34930	Histone.HG5.0:POLE3	POLE3
