in_gene	out_gene	branch_support	ev_type	sos
Pygbif_GCRY01008325.1.p1	Meteor_CRO19MET_NODE_3972.p1	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Chabra_GBG59961	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Dpul_EFX88021	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Exapal_XP_028514943.1	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Hsap_ENSP00000278616.4	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Cocsub_XP_005651875.1	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Gefoke_MALSP_05906.mRNA.2	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Morvir_scaffold76.g1.t1	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Sphfal_Sphfalx17G074400.3.p	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Maljak_MALJA_05795.mRNA.1	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Sarc_Sarc4_g24299T	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Scil_scpid11421	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Atha_AT3G48190.2	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Tmel_CAZ83818	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Ancsig_Gene.54983	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Emue_0023g444a	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Nvec_NVE5836	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Ngru_EFC49586	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Sphfal_Sphfalx17G074400.1.p	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Spun_KNC99195	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Pinf_PITG_00828T0	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Masbal_CACRSC010000001.1.p26	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Ncra_EAA28509	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Phakir_PHAKIR_10215.mRNA.1	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Plamic_ANCSI_07885.mRNA.1	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Skow_XP_006815117.1	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Acas_ELR17399	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Cgig_EKC35837	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Auraur_scaffold43.g28.t1	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Mgut_XP_012831213.1	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Drer_ENSDARP00000015167.8	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Spur_XP_030850780.1	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Lpol_XP_022251192.1	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Maljak_MALJA_06100.mRNA.1	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Esil_CBN77274	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Tadh_P33879	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Fabtro_Gene.54781	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Aque_Aqu2.1.22141_001	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Spom_SPCC23B6.03c.1_pep	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Phoaus_g8197.t1	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Klenit_GAQ86367.1	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Coka_g14899.t1	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Lcom_lcpid3852	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Tcas_XP_008191052.1	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Sros_EGD77319	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Marpol_PTQ34325	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Tetwil_Twilhelma_g1628.t1	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Malcal_MALCA_03732.mRNA.1	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Ihof_evm1s1088	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Cfra_CFRG2117T1	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Spur_XP_030850814.1	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Gpro_KXS15053	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Adig_XP_015752405.1	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Tcas_XP_008191049.1	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Plafun_PRP78734	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Linana_g2721.t1	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Apla_XP_022082001.1	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Hydvul_Sc4wPfr_118.g25129.t2	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Cneo_AAW44228	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Amac_KNE56049	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Notgen_g10082.t1	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Cowc_KJE90011	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Auraur_scaffold43.g28.t2	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Gefoke_MALSP_05906.mRNA.1	84.0	S	0.0
Pygbif_GCRY01008325.1.p1	Spis_XP_022799662_1	84.0	S	0.0
Symmic_Smic8165	Apla_XP_022100883.1	84.0	S	0.0
Symmic_Smic8165	Cavfas_EGG23657	84.0	S	0.0
Symmic_Smic8165	Lpol_XP_013783480.2	84.0	S	0.0
Symmic_Smic8165	Plamic_ANCSI_07757.mRNA.1	84.0	S	0.0
Symmic_Smic8165	Andgod_ANDGO_08208.mRNA.1	84.0	S	0.0
Symmic_Smic8165	Bnat_JGI_V11_45371	84.0	S	0.0
Symmic_Smic8165	Lgig_LotgiP190706	84.0	S	0.0
Symmic_Smic8165	Acoe_PIA56743.1	84.0	S	0.0
Symmic_Smic8165	Plabra_CEP02592	84.0	S	0.0
