gene	orthogroup	orthologous_to
Crei_PNW76308	CHZ.HG1.0:HIRIP3	HIRIP3
Spis_XP_022785728_1	CHZ.HG1.0:HIRIP3	HIRIP3
Bden_EGF81706	CHZ.HG1.0:HIRIP3	HIRIP3
Rigram_Gene.8954	CHZ.HG1.0:HIRIP3	HIRIP3
Umay_KIS70417	CHZ.HG1.0:HIRIP3	HIRIP3
Morelo_OAQ27090	CHZ.HG1.0:HIRIP3	HIRIP3
Umbram_199235	CHZ.HG1.0:HIRIP3	HIRIP3
Drer_ENSDARP00000144277.2	CHZ.HG1.0:HIRIP3	HIRIP3
Spom_SPAC4G9.06c.1_pep	CHZ.HG1.0:HIRIP3	HIRIP3
Maljak_MALJA_02542.mRNA.1	CHZ.HG1.0:HIRIP3	HIRIP3
Morelo_OAQ23449	CHZ.HG1.0:HIRIP3	HIRIP3
Amac_KNE60558	CHZ.HG1.0:HIRIP3	HIRIP3
Cfra_CFRG5668T1	CHZ.HG1.0:HIRIP3	HIRIP3
Ncra_EAA27927	CHZ.HG1.0:HIRIP3	HIRIP3
Amac_KNE64428	CHZ.HG1.0:HIRIP3	HIRIP3
Exapal_XP_020901991.1	CHZ.HG1.0:HIRIP3	HIRIP3
Hsap_ENSP00000279392.3	CHZ.HG1.0:HIRIP3	HIRIP3
Rall_EPZ34079	CHZ.HG1.0:HIRIP3	HIRIP3
Drer_ENSDARP00000029816.5	CHZ.HG1.0:HIRIP3	HIRIP3
Pisp_OUM68027.1	CHZ.HG1.0:HIRIP3	HIRIP3
Spun_KNC99690	CHZ.HG1.0:HIRIP3	HIRIP3
Ccin_EAU90904	CHZ.HG1.0:HIRIP3	HIRIP3
Nk52_evm104s914	CHZ.HG1.0:HIRIP3	HIRIP3
Maljak_MALJA_10447.mRNA.1	CHZ.HG1.0:HIRIP3	HIRIP3
Sarc_Sarc4_g21595T	CHZ.HG1.0:HIRIP3	HIRIP3
Rhidel_EIE89869	CHZ.HG1.0:HIRIP3	HIRIP3
Bdis_KQJ88294	CHZ.HG1.0:HIRIP3	HIRIP3
Coka_g11913.t1	CHZ.HG1.0:HIRIP3	HIRIP3
Mgut_XP_012834814.1	CHZ.HG1.0:HIRIP3	HIRIP3
Manpla_Gene.27019	CHZ.HG1.0:HIRIP3	HIRIP3
Mpus_XP_003064800.1	CHZ.HG1.0:HIRIP3	HIRIP3
Vcar_XP_002955770.1	CHZ.HG1.0:HIRIP3	HIRIP3
Atha_AT1G44780.1	CHZ.HG1.0:HIRIP3	HIRIP3
Scer_YER030W	CHZ.HG1.0:HIRIP3	HIRIP3
Sbic_EES08634	CHZ.HG1.0:HIRIP3	HIRIP3
Acoe_PIA47344.1	CHZ.HG1.0:HIRIP3	HIRIP3
Atha_AT4G08310.1	CHZ.HG1.0:HIRIP3	HIRIP3
