Alblai_CCA13858	Alblai_1_1
Alblai_CCA13859	Alblai_1_2
Alblai_CCA13860	Alblai_1_3
Alblai_CCA13861	Alblai_1_4
Alblai_CCA13862	Alblai_1_5
Alblai_CCA13863	Alblai_1_6
Alblai_CCA13864	Alblai_1_7
Alblai_CCA13865	Alblai_1_8
Alblai_CCA13866	Alblai_1_9
Alblai_CCA13867	Alblai_1_10
Alblai_CCA13868	Alblai_1_11
Alblai_CCA13869	Alblai_1_12
Alblai_CCA13870	Alblai_1_13
Alblai_CCA13871	Alblai_1_14
Alblai_CCA13872	Alblai_1_15
Alblai_CCA13873	Alblai_1_16
Alblai_CCA13874	Alblai_1_17
Alblai_CCA13875	Alblai_1_18
Alblai_CCA13876	Alblai_1_19
Alblai_CCA13877	Alblai_1_20
Alblai_CCA13878	Alblai_1_21
Alblai_CCA13879	Alblai_1_22
Alblai_CCA13880	Alblai_1_23
Alblai_CCA13881	Alblai_1_24
Alblai_CCA13882	Alblai_1_25
Alblai_CCA13885	Alblai_1_26
Alblai_CCA13887	Alblai_1_27
Alblai_CCA13884	Alblai_1_28
Alblai_CCA13883	Alblai_1_29
Alblai_CCA13886	Alblai_1_30
Alblai_CCA13888	Alblai_1_31
Alblai_CCA13889	Alblai_1_32
Alblai_CCA13890	Alblai_1_33
Alblai_CCA13891	Alblai_1_34
Alblai_CCA13892	Alblai_1_35
Alblai_CCA13893	Alblai_1_36
Alblai_CCA13894	Alblai_1_37
Alblai_CCA13895	Alblai_1_38
Alblai_CCA13896	Alblai_1_39
Alblai_CCA13897	Alblai_1_40
Alblai_CCA13898	Alblai_1_41
Alblai_CCA13899	Alblai_1_42
Alblai_CCA13900	Alblai_1_43
Alblai_CCA13901	Alblai_1_44
Alblai_CCA13902	Alblai_1_45
Alblai_CCA13903	Alblai_1_46
Alblai_CCA13904	Alblai_1_47
Alblai_CCA13905	Alblai_1_48
Alblai_CCA13906	Alblai_1_49
Alblai_CCA13907	Alblai_1_50
Alblai_CCA13908	Alblai_1_51
Alblai_CCA13909	Alblai_1_52
Alblai_CCA13910	Alblai_1_53
Alblai_CCA13911	Alblai_1_54
Alblai_CCA13912	Alblai_1_55
Alblai_CCA13913	Alblai_1_56
Alblai_CCA13914	Alblai_1_57
Alblai_CCA13915	Alblai_1_58
Alblai_CCA13916	Alblai_1_59
Alblai_CCA13917	Alblai_1_60
Alblai_CCA13918	Alblai_1_61
Alblai_CCA13919	Alblai_1_62
Alblai_CCA13920	Alblai_1_63
Alblai_CCA13921	Alblai_1_64
Alblai_CCA13922	Alblai_1_65
Alblai_CCA13923	Alblai_1_66
Alblai_CCA13924	Alblai_1_67
Alblai_CCA13925	Alblai_1_68
Alblai_CCA13926	Alblai_1_69
Alblai_CCA13927	Alblai_1_70
Alblai_CCA13928	Alblai_1_71
Alblai_CCA13929	Alblai_1_72
Alblai_CCA13930	Alblai_1_73
Alblai_CCA13931	Alblai_1_74
Alblai_CCA13932	Alblai_1_75
Alblai_CCA13933	Alblai_1_76
Alblai_CCA13934	Alblai_1_77
Alblai_CCA13935	Alblai_1_78
Alblai_CCA13936	Alblai_1_79
Alblai_CCA13937	Alblai_1_80
Alblai_CCA13938	Alblai_1_81
Alblai_CCA13940	Alblai_1_82
Alblai_CCA13941	Alblai_1_83
Alblai_CCA13942	Alblai_1_84
Alblai_CCA13943	Alblai_1_85
Alblai_CCA13944	Alblai_1_86
Alblai_CCA13945	Alblai_1_87
Alblai_CCA13946	Alblai_1_88
Alblai_CCA13947	Alblai_1_89
Alblai_CCA13948	Alblai_1_90
Alblai_CCA13949	Alblai_1_91
Alblai_CCA13950	Alblai_1_92
Alblai_CCA13951	Alblai_1_93
Alblai_CCA13952	Alblai_1_94
Alblai_CCA13953	Alblai_1_95
Alblai_CCA13954	Alblai_1_96
Alblai_CCA13955	Alblai_1_97
Alblai_CCA13956	Alblai_1_98
