Hetalb_XP_020435614.1	RVT_1 RT_RNaseH_2 rve Chromo
Hetalb_XP_020428134.1	RVT_1 rve Chromo
Hetalb_XP_020438111.1	RT_RNaseH_2 rve Chromo MRPL52
Hetalb_XP_020434315.1	rve Chromo
