in_gene	out_gene	branch_support	ev_type	sos
Glam_EDO76521	Acoe_PIA64329.1	97.0	S	0.0
Glam_EDO76521	Symmic_Smic41427	97.0	S	0.0
Glam_EDO76521	Aplker_52484	97.0	S	0.0
Glam_EDO76521	Lmaj_CAJ04052	97.0	S	0.0
Glam_EDO76521	Tcru_EAN87398	97.0	S	0.0
Glam_EDO76521	Sacu_v1.1_s0105.g020149	97.0	S	0.0
Glam_EDO76521	Bodsal_CUG88130.1	97.0	S	0.0
Glam_EDO76521	Gthe_EKX46534	97.0	S	0.0
Glam_EDO76521	Otau_XP_003080234.1	97.0	S	0.0
Glam_EDO76521	Ptet_CAK89375	97.0	S	0.0
Glam_EDO76521	Ppat_Pp3c15_19270V3.1	97.0	S	0.0
Glam_EDO76521	Mgut_XP_012848155.1	97.0	S	0.0
Glam_EDO76521	Gracho_PXF43092.1	97.0	S	0.0
Glam_EDO76521	Atha_AT4G29730.1	97.0	S	0.0
Glam_EDO76521	Cocsub_XP_005648498.1	97.0	S	0.0
Glam_EDO76521	Chabra_GBG75259	97.0	S	0.0
Glam_EDO76521	Atha_AT2G19520.1	97.0	S	0.0
Glam_EDO76521	Gthe_EKX47838	97.0	S	0.0
Glam_EDO76521	Klenit_GAQ79765.1	97.0	S	0.0
Glam_EDO76521	Tcru_EAN95255	97.0	S	0.0
Glam_EDO76521	Aurlim_52700	97.0	S	0.0
Glam_EDO76521	Honfer_GBG34387	97.0	S	0.0
Glam_EDO76521	Strcul_EPY21407	97.0	S	0.0
Glam_EDO76521	Mgut_XP_012845931.1	97.0	S	0.0
Glam_EDO76521	Marpol_PTQ44985	97.0	S	0.0
Glam_EDO76521	Bremin_symbB.v1.2.000976.t1	97.0	S	0.0
Glam_EDO76521	Mpus_XP_003058120.1	97.0	S	0.0
Glam_EDO76521	Sphfal_Sphfalx01G045500.1.p	97.0	S	0.0
Glam_EDO76521	Acoe_PIA64326.1	97.0	S	0.0
Glam_EDO76521	Sbic_EES01357	97.0	S	0.0
Glam_EDO76521	Bdis_KQK09431	97.0	S	0.0
Glam_EDO76521	Tthe_EAR90747	97.0	S	0.0
Glam_EDO76521	Schagg_84238	97.0	S	0.0
Glam_EDO76521	Atri_ERM93968	97.0	S	0.0
Glam_EDO76521	Oxytri_EJY70946	97.0	S	0.0
Glam_EDO76521	Vcar_XP_002948749.1	97.0	S	0.0
Glam_EDO76521	Azfi_s0003.g007834	97.0	S	0.0
Glam_EDO76521	Cvar_XP_005850900.1	97.0	S	0.0
Glam_EDO76521	Lepsey_KPI88911	97.0	S	0.0
Carmem_2006.p1	Acoe_PIA64329.1	97.0	S	0.0
Carmem_2006.p1	Symmic_Smic41427	97.0	S	0.0
Carmem_2006.p1	Aplker_52484	97.0	S	0.0
Carmem_2006.p1	Lmaj_CAJ04052	97.0	S	0.0
Carmem_2006.p1	Tcru_EAN87398	97.0	S	0.0
Carmem_2006.p1	Sacu_v1.1_s0105.g020149	97.0	S	0.0
Carmem_2006.p1	Bodsal_CUG88130.1	97.0	S	0.0
Carmem_2006.p1	Gthe_EKX46534	97.0	S	0.0
Carmem_2006.p1	Otau_XP_003080234.1	97.0	S	0.0
Carmem_2006.p1	Ptet_CAK89375	97.0	S	0.0
