in_gene	out_gene	branch_support	ev_type	sos
Bnat_JGI_V11_131015	Scer_YMR127C	58.0	S	0.0
Bnat_JGI_V11_131015	Pbla_XP_018293428.1	58.0	S	0.0
Bnat_JGI_V11_131015	Rirr_GBC35223	58.0	S	0.0
Bnat_JGI_V11_131015	Gpro_KXS19730	58.0	S	0.0
Bnat_JGI_V11_131015	Ncra_EAA30657	58.0	S	0.0
Bnat_JGI_V11_131015	Plebac_Pbla_mRNA_6047	58.0	S	0.0
Bnat_JGI_V11_131015	Spun_KNC96419	58.0	S	0.0
Bnat_JGI_V11_131015	Rhidel_EIE92479	58.0	S	0.0
Bnat_JGI_V11_131015	Cneo_AAW47067	58.0	S	0.0
Bnat_JGI_V11_131015	Ccin_EAU93391	58.0	S	0.0
Bnat_JGI_V11_131015	Tetwil_Twilhelma_g10111.t1	58.0	S	0.0
Bnat_JGI_V11_131015	Tmel_CAZ79634	58.0	S	0.0
Bnat_JGI_V11_131015	Mcir_OAD08704	58.0	S	0.0
Bnat_JGI_V11_131015	Morelo_OAQ27743	58.0	S	0.0
Bnat_JGI_V11_131015	Umay_KIS71300	58.0	S	0.0
Bnat_JGI_V11_131015	Umbram_223970	58.0	S	0.0
Concor_KXN67496	Scer_YMR127C	58.0	S	0.0
Concor_KXN67496	Pbla_XP_018293428.1	58.0	S	0.0
Concor_KXN67496	Rirr_GBC35223	58.0	S	0.0
Concor_KXN67496	Gpro_KXS19730	58.0	S	0.0
Concor_KXN67496	Ncra_EAA30657	58.0	S	0.0
Concor_KXN67496	Plebac_Pbla_mRNA_6047	58.0	S	0.0
Concor_KXN67496	Spun_KNC96419	58.0	S	0.0
Concor_KXN67496	Rhidel_EIE92479	58.0	S	0.0
Concor_KXN67496	Cneo_AAW47067	58.0	S	0.0
Concor_KXN67496	Ccin_EAU93391	58.0	S	0.0
Concor_KXN67496	Tetwil_Twilhelma_g10111.t1	58.0	S	0.0
Concor_KXN67496	Tmel_CAZ79634	58.0	S	0.0
Concor_KXN67496	Mcir_OAD08704	58.0	S	0.0
Concor_KXN67496	Morelo_OAQ27743	58.0	S	0.0
Concor_KXN67496	Umay_KIS71300	58.0	S	0.0
Concor_KXN67496	Umbram_223970	58.0	S	0.0
Emul_CDI98387.1	Scer_YMR127C	58.0	S	0.0
Emul_CDI98387.1	Pbla_XP_018293428.1	58.0	S	0.0
Emul_CDI98387.1	Rirr_GBC35223	58.0	S	0.0
Emul_CDI98387.1	Gpro_KXS19730	58.0	S	0.0
Emul_CDI98387.1	Ncra_EAA30657	58.0	S	0.0
Emul_CDI98387.1	Plebac_Pbla_mRNA_6047	58.0	S	0.0
Emul_CDI98387.1	Spun_KNC96419	58.0	S	0.0
Emul_CDI98387.1	Rhidel_EIE92479	58.0	S	0.0
Emul_CDI98387.1	Cneo_AAW47067	58.0	S	0.0
Emul_CDI98387.1	Ccin_EAU93391	58.0	S	0.0
Emul_CDI98387.1	Tetwil_Twilhelma_g10111.t1	58.0	S	0.0
Emul_CDI98387.1	Tmel_CAZ79634	58.0	S	0.0
Emul_CDI98387.1	Mcir_OAD08704	58.0	S	0.0
Emul_CDI98387.1	Morelo_OAQ27743	58.0	S	0.0
Emul_CDI98387.1	Umay_KIS71300	58.0	S	0.0
Emul_CDI98387.1	Umbram_223970	58.0	S	0.0
Skow_NP_001171746.1	Scer_YMR127C	58.0	S	0.0
Skow_NP_001171746.1	Pbla_XP_018293428.1	58.0	S	0.0
Skow_NP_001171746.1	Rirr_GBC35223	58.0	S	0.0
Skow_NP_001171746.1	Gpro_KXS19730	58.0	S	0.0
Skow_NP_001171746.1	Ncra_EAA30657	58.0	S	0.0
Skow_NP_001171746.1	Plebac_Pbla_mRNA_6047	58.0	S	0.0
Skow_NP_001171746.1	Spun_KNC96419	58.0	S	0.0
Skow_NP_001171746.1	Rhidel_EIE92479	58.0	S	0.0
Skow_NP_001171746.1	Cneo_AAW47067	58.0	S	0.0
Skow_NP_001171746.1	Ccin_EAU93391	58.0	S	0.0
Skow_NP_001171746.1	Tetwil_Twilhelma_g10111.t1	58.0	S	0.0
Skow_NP_001171746.1	Tmel_CAZ79634	58.0	S	0.0
Skow_NP_001171746.1	Mcir_OAD08704	58.0	S	0.0
Skow_NP_001171746.1	Morelo_OAQ27743	58.0	S	0.0
Skow_NP_001171746.1	Umay_KIS71300	58.0	S	0.0
Skow_NP_001171746.1	Umbram_223970	58.0	S	0.0
Tadh_P53567	Scer_YMR127C	58.0	S	0.0
Tadh_P53567	Pbla_XP_018293428.1	58.0	S	0.0
Tadh_P53567	Rirr_GBC35223	58.0	S	0.0
Tadh_P53567	Gpro_KXS19730	58.0	S	0.0
Tadh_P53567	Ncra_EAA30657	58.0	S	0.0
Tadh_P53567	Plebac_Pbla_mRNA_6047	58.0	S	0.0
Tadh_P53567	Spun_KNC96419	58.0	S	0.0
Tadh_P53567	Rhidel_EIE92479	58.0	S	0.0
Tadh_P53567	Cneo_AAW47067	58.0	S	0.0
Tadh_P53567	Ccin_EAU93391	58.0	S	0.0
Tadh_P53567	Tetwil_Twilhelma_g10111.t1	58.0	S	0.0
Tadh_P53567	Tmel_CAZ79634	58.0	S	0.0
Tadh_P53567	Mcir_OAD08704	58.0	S	0.0
Tadh_P53567	Morelo_OAQ27743	58.0	S	0.0
Tadh_P53567	Umay_KIS71300	58.0	S	0.0
Tadh_P53567	Umbram_223970	58.0	S	0.0
Recame_RECAM_15295.mRNA.1	Scer_YMR127C	58.0	S	0.0
Recame_RECAM_15295.mRNA.1	Pbla_XP_018293428.1	58.0	S	0.0
Recame_RECAM_15295.mRNA.1	Rirr_GBC35223	58.0	S	0.0
Recame_RECAM_15295.mRNA.1	Gpro_KXS19730	58.0	S	0.0
Recame_RECAM_15295.mRNA.1	Ncra_EAA30657	58.0	S	0.0
Recame_RECAM_15295.mRNA.1	Plebac_Pbla_mRNA_6047	58.0	S	0.0
Recame_RECAM_15295.mRNA.1	Spun_KNC96419	58.0	S	0.0
Recame_RECAM_15295.mRNA.1	Rhidel_EIE92479	58.0	S	0.0
Recame_RECAM_15295.mRNA.1	Cneo_AAW47067	58.0	S	0.0
Recame_RECAM_15295.mRNA.1	Ccin_EAU93391	58.0	S	0.0
Recame_RECAM_15295.mRNA.1	Tetwil_Twilhelma_g10111.t1	58.0	S	0.0
Recame_RECAM_15295.mRNA.1	Tmel_CAZ79634	58.0	S	0.0
Recame_RECAM_15295.mRNA.1	Mcir_OAD08704	58.0	S	0.0
Recame_RECAM_15295.mRNA.1	Morelo_OAQ27743	58.0	S	0.0
Recame_RECAM_15295.mRNA.1	Umay_KIS71300	58.0	S	0.0
Recame_RECAM_15295.mRNA.1	Umbram_223970	58.0	S	0.0
Jaklib_JAKLI_07130.mRNA.1	Scer_YMR127C	58.0	S	0.0
Jaklib_JAKLI_07130.mRNA.1	Pbla_XP_018293428.1	58.0	S	0.0
Jaklib_JAKLI_07130.mRNA.1	Rirr_GBC35223	58.0	S	0.0
Jaklib_JAKLI_07130.mRNA.1	Gpro_KXS19730	58.0	S	0.0
Jaklib_JAKLI_07130.mRNA.1	Ncra_EAA30657	58.0	S	0.0
Jaklib_JAKLI_07130.mRNA.1	Plebac_Pbla_mRNA_6047	58.0	S	0.0
Jaklib_JAKLI_07130.mRNA.1	Spun_KNC96419	58.0	S	0.0
Jaklib_JAKLI_07130.mRNA.1	Rhidel_EIE92479	58.0	S	0.0
Jaklib_JAKLI_07130.mRNA.1	Cneo_AAW47067	58.0	S	0.0
Jaklib_JAKLI_07130.mRNA.1	Ccin_EAU93391	58.0	S	0.0
Jaklib_JAKLI_07130.mRNA.1	Tetwil_Twilhelma_g10111.t1	58.0	S	0.0
Jaklib_JAKLI_07130.mRNA.1	Tmel_CAZ79634	58.0	S	0.0
Jaklib_JAKLI_07130.mRNA.1	Mcir_OAD08704	58.0	S	0.0
Jaklib_JAKLI_07130.mRNA.1	Morelo_OAQ27743	58.0	S	0.0
Jaklib_JAKLI_07130.mRNA.1	Umay_KIS71300	58.0	S	0.0
Jaklib_JAKLI_07130.mRNA.1	Umbram_223970	58.0	S	0.0
Mgut_XP_012831905.1	Scer_YMR127C	58.0	S	0.0
Mgut_XP_012831905.1	Pbla_XP_018293428.1	58.0	S	0.0
Mgut_XP_012831905.1	Rirr_GBC35223	58.0	S	0.0
Mgut_XP_012831905.1	Gpro_KXS19730	58.0	S	0.0
Mgut_XP_012831905.1	Ncra_EAA30657	58.0	S	0.0
Mgut_XP_012831905.1	Plebac_Pbla_mRNA_6047	58.0	S	0.0
Mgut_XP_012831905.1	Spun_KNC96419	58.0	S	0.0
Mgut_XP_012831905.1	Rhidel_EIE92479	58.0	S	0.0
Mgut_XP_012831905.1	Cneo_AAW47067	58.0	S	0.0
Mgut_XP_012831905.1	Ccin_EAU93391	58.0	S	0.0
Mgut_XP_012831905.1	Tetwil_Twilhelma_g10111.t1	58.0	S	0.0
Mgut_XP_012831905.1	Tmel_CAZ79634	58.0	S	0.0
Mgut_XP_012831905.1	Mcir_OAD08704	58.0	S	0.0
Mgut_XP_012831905.1	Morelo_OAQ27743	58.0	S	0.0
Mgut_XP_012831905.1	Umay_KIS71300	58.0	S	0.0
Mgut_XP_012831905.1	Umbram_223970	58.0	S	0.0
Concor_KXN67496	Bnat_JGI_V11_131015	82.0	S	0.0
Concor_KXN67496	Emul_CDI98387.1	82.0	S	0.0
Concor_KXN67496	Skow_NP_001171746.1	82.0	S	0.0
Concor_KXN67496	Tadh_P53567	82.0	S	0.0
Concor_KXN67496	Recame_RECAM_15295.mRNA.1	82.0	S	0.0
Concor_KXN67496	Jaklib_JAKLI_07130.mRNA.1	82.0	S	0.0
Concor_KXN67496	Mgut_XP_012831905.1	82.0	S	0.0
Tetwil_Twilhelma_g10111.t1	Scer_YMR127C	66.0	S	0.0
Tetwil_Twilhelma_g10111.t1	Pbla_XP_018293428.1	66.0	S	0.0
Tetwil_Twilhelma_g10111.t1	Rirr_GBC35223	66.0	S	0.0
Tetwil_Twilhelma_g10111.t1	Gpro_KXS19730	66.0	S	0.0
Tetwil_Twilhelma_g10111.t1	Ncra_EAA30657	66.0	S	0.0
Tetwil_Twilhelma_g10111.t1	Plebac_Pbla_mRNA_6047	66.0	S	0.0
Tetwil_Twilhelma_g10111.t1	Spun_KNC96419	66.0	S	0.0
Tetwil_Twilhelma_g10111.t1	Rhidel_EIE92479	66.0	S	0.0
Tetwil_Twilhelma_g10111.t1	Cneo_AAW47067	66.0	S	0.0
Tetwil_Twilhelma_g10111.t1	Ccin_EAU93391	66.0	S	0.0
Tetwil_Twilhelma_g10111.t1	Tmel_CAZ79634	66.0	S	0.0
Tetwil_Twilhelma_g10111.t1	Mcir_OAD08704	66.0	S	0.0
Tetwil_Twilhelma_g10111.t1	Morelo_OAQ27743	66.0	S	0.0
Tetwil_Twilhelma_g10111.t1	Umay_KIS71300	66.0	S	0.0
Tetwil_Twilhelma_g10111.t1	Umbram_223970	66.0	S	0.0
Aplker_40995	Gracho_PXF49349.1	69.0	S	0.0
Aplker_40995	Porpur_KAA8495985.1	69.0	S	0.0
Aplker_40995	Chocri_XP_005716301.1	69.0	S	0.0
Coerev_PIA18720.1	Gracho_PXF49349.1	69.0	S	0.0
Coerev_PIA18720.1	Porpur_KAA8495985.1	69.0	S	0.0
Coerev_PIA18720.1	Chocri_XP_005716301.1	69.0	S	0.0
Bnat_JGI_V11_131015	Emul_CDI98387.1	100.0	S	0.0
Bnat_JGI_V11_131015	Skow_NP_001171746.1	100.0	S	0.0
Bnat_JGI_V11_131015	Tadh_P53567	100.0	S	0.0
Bnat_JGI_V11_131015	Recame_RECAM_15295.mRNA.1	100.0	S	0.0
Bnat_JGI_V11_131015	Jaklib_JAKLI_07130.mRNA.1	100.0	S	0.0
Mgut_XP_012831905.1	Emul_CDI98387.1	100.0	S	0.0
Mgut_XP_012831905.1	Skow_NP_001171746.1	100.0	S	0.0
Mgut_XP_012831905.1	Tadh_P53567	100.0	S	0.0
Mgut_XP_012831905.1	Recame_RECAM_15295.mRNA.1	100.0	S	0.0
Mgut_XP_012831905.1	Jaklib_JAKLI_07130.mRNA.1	100.0	S	0.0
Spun_KNC96419	Scer_YMR127C	69.0	S	0.0
Spun_KNC96419	Pbla_XP_018293428.1	69.0	S	0.0
Spun_KNC96419	Rirr_GBC35223	69.0	S	0.0
Spun_KNC96419	Ncra_EAA30657	69.0	S	0.0
Spun_KNC96419	Plebac_Pbla_mRNA_6047	69.0	S	0.0
Spun_KNC96419	Rhidel_EIE92479	69.0	S	0.0
Spun_KNC96419	Cneo_AAW47067	69.0	S	0.0
Spun_KNC96419	Ccin_EAU93391	69.0	S	0.0
Spun_KNC96419	Tmel_CAZ79634	69.0	S	0.0
Spun_KNC96419	Mcir_OAD08704	69.0	S	0.0
Spun_KNC96419	Morelo_OAQ27743	69.0	S	0.0
Spun_KNC96419	Umay_KIS71300	69.0	S	0.0
Spun_KNC96419	Umbram_223970	69.0	S	0.0
Gpro_KXS19730	Scer_YMR127C	69.0	S	0.0
Gpro_KXS19730	Pbla_XP_018293428.1	69.0	S	0.0
Gpro_KXS19730	Rirr_GBC35223	69.0	S	0.0
Gpro_KXS19730	Ncra_EAA30657	69.0	S	0.0
Gpro_KXS19730	Plebac_Pbla_mRNA_6047	69.0	S	0.0
Gpro_KXS19730	Rhidel_EIE92479	69.0	S	0.0
Gpro_KXS19730	Cneo_AAW47067	69.0	S	0.0
Gpro_KXS19730	Ccin_EAU93391	69.0	S	0.0
Gpro_KXS19730	Tmel_CAZ79634	69.0	S	0.0
Gpro_KXS19730	Mcir_OAD08704	69.0	S	0.0
Gpro_KXS19730	Morelo_OAQ27743	69.0	S	0.0
Gpro_KXS19730	Umay_KIS71300	69.0	S	0.0
Gpro_KXS19730	Umbram_223970	69.0	S	0.0
Aplker_40995	Coerev_PIA18720.1	96.0	S	0.0
Porpur_KAA8495985.1	Gracho_PXF49349.1	100.0	S	0.0
Porpur_KAA8495985.1	Chocri_XP_005716301.1	100.0	S	0.0
Carmem_4481.p1	Mbre_EDQ92242	81.0	S	0.0
Carmem_4481.p1	Tmel_CAZ86542	81.0	S	0.0
Carmem_4481.p1	Apla_XP_022098508.1	81.0	S	0.0
Carmem_4481.p1	Clyhem_TCONS_00051802-protein	81.0	S	0.0
Carmem_4481.p1	Mlei_ML1046_g30_t1	81.0	S	0.0
Carmem_4481.p1	Lpol_XP_022246590.1	81.0	S	0.0
Carmem_4481.p1	Tcas_XP_015839123.1	81.0	S	0.0
Carmem_4481.p1	Drer_ENSDARP00000123679.1	81.0	S	0.0
Carmem_4481.p1	Mcir_OAD08665	81.0	S	0.0
Carmem_4481.p1	Notgen_g4912.t1	81.0	S	0.0
Carmem_4481.p1	Amac_KNE71267	81.0	S	0.0
Carmem_4481.p1	Auraur_scaffold96.g35.t1	81.0	S	0.0
Carmem_4481.p1	Emul_CUT99266.1	81.0	S	0.0
Carmem_4481.p1	Tadh_P55230	81.0	S	0.0
Carmem_4481.p1	Pisp_OUM68649.1	81.0	S	0.0
