Ptyfla_pfl_40v0_9_20150316_1g7952.t1	Integrase_H2C2 rve PHD
Ptyfla_pfl_40v0_9_20150316_1g16730.t1	Integrase_H2C2 Chromo
Ptyfla_pfl_40v0_9_20150316_1g15345.t1	PTCB-BRCT BRCT Helitron_like_N PIF1
Ptyfla_pfl_40v0_9_20150316_1g13958.t1	PHD Helicase_C DUF1087 DUF1086 CHDCT2
Ptyfla_pfl_40v0_9_20150316_1g29542.t1	Transposase_21
