gene	orthogroup	orthologous_to
Cvel_23629.t1-p1	PHD.HG25.0:NA	NA
Ppat_Pp3c23_6780V3.1	PHD.HG25.0:NA	NA
Sphfal_Sphfalx15G048700.2.p	PHD.HG25.0:NA	NA
Bdis_KQJ89611	PHD.HG25.0:NA	NA
Sphfal_Sphfalx01G093400.1.p	PHD.HG25.0:NA	NA
Ppat_Pp3c24_13070V3.1	PHD.HG25.0:NA	NA
Crei_PNW74998	PHD.HG25.0:NA	NA
Sphfal_Sphfalx04G035600.1.p	PHD.HG25.0:NA	NA
Ppat_Pp3c20_14150V3.1	PHD.HG25.0:NA	NA
Smoe_EFJ20543	PHD.HG25.0:NA	NA
Cvar_XP_005847630.1	PHD.HG25.0:NA	NA
Marpol_PTQ36979	PHD.HG25.0:NA	NA
Bdis_KQK07854	PHD.HG25.0:NA	NA
