gene	orthogroup	orthologous_to	family	architecture
Ppat_Pp3c14_22150V3.1	ADD_ATRX.HG1.0:ATRX	ATRX	ADD_ATRX	ADD_ATRX SNF2_N Helicase_C
Linana_g6551.t1	ADD_ATRX.HG1.0:ATRX	ATRX	ADD_ATRX	ADD_ATRX SNF2_N Helicase_C Helicase_C
Sacu_v1.1_s0001.g000167	ADD_ATRX.HG1.0:ATRX	ATRX	ADD_ATRX	ADD_ATRX SNF2_N Helicase_C
Notgen_g9950.t1	ADD_ATRX.HG1.0:ATRX	ATRX	ADD_ATRX	ADD_ATRX SNF2_N Helicase_C
Drer_ENSDARP00000145449.1	ADD_ATRX.HG1.0:ATRX	islike:ATRX	ADD_ATRX	ADD_ATRX SNF2_N Helicase_C
Spis_XP_022801079_1	ADD_ATRX.HG1.0:ATRX	ATRX	ADD_ATRX	ADD_ATRX SNF2_N Helicase_C
Drer_ENSDARP00000137092.1	ADD_ATRX.HG1.0:ATRX	islike:ATRX	ADD_ATRX	ADD_ATRX SNF2_N Helicase_C
Nvec_NVE15832	ADD_ATRX.HG1.0:ATRX	ATRX	ADD_ATRX	ADD_ATRX ADD_ATRX SNF2_N Helicase_C
Smoe_EFJ28345	ADD_ATRX.HG1.0:ATRX	ATRX	ADD_ATRX	ADD_ATRX SNF2_N Helicase_C SMP SMP
Morvir_scaffold53.g29.t1	ADD_ATRX.HG1.0:ATRX	ATRX	ADD_ATRX	ADD_ATRX SNF2_N
Sman_Smp_153820.1_pep	ADD_ATRX.HG1.0:ATRX	ATRX	ADD_ATRX	ADD_ATRX SNF2_N Helicase_C
Exapal_XP_020917708.1	ADD_ATRX.HG1.0:ATRX	ATRX	ADD_ATRX	ADD_ATRX SNF2_N Helicase_C
Drer_ENSDARP00000105895.5	ADD_ATRX.HG1.0:ATRX	ATRX	ADD_ATRX	ADD_ATRX SNF2_N Helicase_C
Scil_scpid11486	ADD_ATRX.HG1.0:ATRX	ATRX	ADD_ATRX	ADD_ATRX SNF2_N
Sphfal_Sphfalx17G043800.1.p	ADD_ATRX.HG1.0:ATRX	ATRX	ADD_ATRX	ADD_ATRX SNF2_N Helicase_C
Apla_XP_022086718.1	ADD_ATRX.HG1.0:ATRX	ATRX	ADD_ATRX	ADD_ATRX SNF2_N Helicase_C
Clyhem_TCONS_00069599-protein	ADD_ATRX.HG1.0:ATRX	ATRX	ADD_ATRX	ADD_ATRX SNF2_N Helicase_C
Tetwil_Twilhelma_g11191.t1	ADD_ATRX.HG1.0:ATRX	ATRX	ADD_ATRX	ADD_ATRX SNF2_N Helicase_C
Hsap_ENSP00000362441.4	ADD_ATRX.HG1.0:ATRX	ATRX	ADD_ATRX	ADD_ATRX SNF2_N Helicase_C
Marpol_PTQ37304	ADD_ATRX.HG1.0:ATRX	ATRX	ADD_ATRX	ADD_ATRX SNF2_N Helicase_C
Adig_XP_015752926.1	ADD_ATRX.HG1.0:ATRX	ATRX	ADD_ATRX	ADD_ATRX SNF2_N Helicase_C
Auraur_scaffold2020.g1.t1	ADD_ATRX.HG1.0:ATRX	ATRX	ADD_ATRX	ADD_ATRX SNF2_N Helicase_C
Spur_XP_030836547.1	ADD_ATRX.HG1.0:ATRX	ATRX	ADD_ATRX	ADD_ATRX SNF2_N Helicase_C
Smoe_EFJ20520	ADD_ATRX.HG1.0:ATRX	ATRX	ADD_ATRX	ADD_ATRX SNF2_N Helicase_C SMP SMP
Ctel_CapteP222005	ADD_ATRX.HG1.0:ATRX	ATRX	ADD_ATRX	ADD_ATRX SNF2_N Helicase_C
Cscu_XP_023237782.1	ADD_ATRX.HG1.0:ATRX	ATRX	ADD_ATRX	ADD_ATRX SNF2_N Helicase_C
Sphfal_Sphfalx17G043800.4.p	ADD_ATRX.HG1.0:ATRX	ATRX	ADD_ATRX	ADD_ATRX SNF2_N Helicase_C
Drer_ENSDARP00000150937.1	ADD_ATRX.HG1.0:ATRX	ATRX	ADD_ATRX	ADD_ATRX SNF2_N Helicase_C
Hydvul_Sc4wPfr_548.g4925.t1	ADD_ATRX.HG1.0:ATRX	ATRX	ADD_ATRX	ADD_ATRX SNF2_N Helicase_C
Cgig_EKC43176	ADD_ATRX.HG1.0:ATRX	ATRX	ADD_ATRX	ADD_ATRX SNF2_N Helicase_C
Mbre_EDQ91428	Bromodomain.HG1.8:like:BRD2/BRD3/BRD4/BRD8/BRDT/CREBBP/EP300:likeclu:40/49/54		Bromodomain	F-box SNF2_N Bromodomain Helicase_C
Coka_g11378.t1	Bromodomain.HG1.13:like:BRD2/BRD3/BRD4/BRD8/BRDT/CREBBP/EP300:likeclu:40/49/54		Bromodomain	SNF2_N Bromodomain SNF2_N
Esil_CBJ30328	Bromodomain.HG1.13:like:BRD2/BRD3/BRD4/BRD8/BRDT/CREBBP/EP300:likeclu:40/49/54		Bromodomain	SNF2_N Bromodomain
Tpse_EED88178	Bromodomain.HG1.29:like:CREBBP/EP300:likeclu:54		Bromodomain	SNF2_N Bromodomain
Plafun_PRP87395	Bromodomain.HG4.7:like:SMARCA2/SMARCA4:likeclu:8		Bromodomain	Bromodomain Bromodomain Chromo Chromo SNF2_N Helicase_C FYRN FYRC
Ptet_CAK61094	Bromodomain.HG4.7:like:SMARCA2/SMARCA4:likeclu:8		Bromodomain	Bromodomain Chromo SNF2_N Helicase_C
Pinf_PITG_03401T0	Bromodomain.HG4.7:like:SMARCA2/SMARCA4:likeclu:8		Bromodomain	Bromodomain PHD Chromo SNF2_N Helicase_C PHD zf-HC5HC2H PHD
Alblai_CCA22651	Bromodomain.HG4.7:like:SMARCA2/SMARCA4:likeclu:8		Bromodomain	Bromodomain PHD Chromo SNF2_N Helicase_C
Coka_g11225.t1	Bromodomain.HG4.7:like:SMARCA2/SMARCA4:likeclu:8		Bromodomain	Bromodomain PHD Chromo SNF2_N Helicase_C zf-HC5HC2H Bromodomain
Vitbra_CEM07909.1	Bromodomain.HG4.7:like:SMARCA2/SMARCA4:likeclu:8		Bromodomain	Bromodomain Chromo SNF2_N Helicase_C
Esil_CBJ27936	Bromodomain.HG4.7:like:SMARCA2/SMARCA4:likeclu:8		Bromodomain	Bromodomain PHD Chromo RVT_1 SNF2_N Helicase_C zf-HC5HC2H Bromodomain
Tthe_EAR96888	Bromodomain.HG4.7:like:SMARCA2/SMARCA4:likeclu:8		Bromodomain	Chromo Bromodomain Chromo SNF2_N Helicase_C
Sappar_KDO20307	Bromodomain.HG4.7:like:SMARCA2/SMARCA4:likeclu:8		Bromodomain	Bromodomain PHD Chromo SNF2_N Helicase_C
Plamic_ANCSI_00977.mRNA.1	Bromodomain.HG4.7:like:SMARCA2/SMARCA4:likeclu:8		Bromodomain	Bromodomain Chromo SNF2_N Helicase_C
Honfer_GBG24435	Bromodomain.HG4.7:like:SMARCA2/SMARCA4:likeclu:8		Bromodomain	Bromodomain Chromo SNF2_N Helicase_C ARID
Phatri_Phatr3_EG02347.p1	Bromodomain.HG4.7:like:SMARCA2/SMARCA4:likeclu:8		Bromodomain	HMG_box Bromodomain Chromo SNF2_N Helicase_C Bromodomain Bromodomain
Ngad_EWM24560	Bromodomain.HG4.7:like:SMARCA2/SMARCA4:likeclu:8		Bromodomain	Bromodomain PHD Chromo SNF2_N Helicase_C PHD
Oxytri_EJY75922	Bromodomain.HG4.7:like:SMARCA2/SMARCA4:likeclu:8		Bromodomain	Bromodomain Chromo SNF2_N Helicase_C
Acas_ELR11630	Bromodomain.HG4.7:like:SMARCA2/SMARCA4:likeclu:8		Bromodomain	Bromodomain Chromo SNF2_N Helicase_C
Glam_EDO82571	Bromodomain.HG4.8:SMARCA2/SMARCA4	SMARCA2/SMARCA4	Bromodomain	SNF2_N SNF2_N Helicase_C Bromodomain
Pisp_OUM67632.1	Bromodomain.HG4.8:SMARCA2/SMARCA4	SMARCA2/SMARCA4	Bromodomain	QLQ HSA SNF2_N Helicase_C SnAC Bromodomain
Sacu_v1.1_s0013.g005908	Bromodomain.HG4.8:SMARCA2/SMARCA4	SMARCA2/SMARCA4	Bromodomain	SNF2_N Helicase_C Bromodomain
