Rirr_XM_025323691.1	Rirr_1_1
Rirr_XM_025331265.1	Rirr_1_2
Rirr_XM_025323692.1	Rirr_1_3
Rirr_XM_025312210.1	Rirr_1_4
Rirr_XM_025309717.1	Rirr_1_5
Rirr_XM_025308925.1	Rirr_1_6
Rirr_XM_025312211.1	Rirr_1_7
Rirr_XM_025329112.1	Rirr_1_8
Rirr_XM_025309718.1	Rirr_1_9
Rirr_XM_025323693.1	Rirr_1_10
Rirr_XM_025323694.1	Rirr_1_11
Rirr_XM_025312212.1	Rirr_1_12
Rirr_XM_025323695.1	Rirr_1_13
Rirr_XM_025323696.1	Rirr_1_14
Rirr_XM_025312213.1	Rirr_1_15
Rirr_XM_025323697.1	Rirr_1_16
Rirr_XM_025308930.1	Rirr_1_17
Rirr_XM_025312214.1	Rirr_1_18
Rirr_XM_025323698.1	Rirr_1_19
Rirr_XM_025312215.1	Rirr_1_20
Rirr_XM_025323699.1	Rirr_1_21
Rirr_XM_025323700.1	Rirr_1_22
Rirr_XM_025331266.1	Rirr_1_23
Rirr_XM_025323701.1	Rirr_1_24
Rirr_XM_025331267.1	Rirr_1_25
Rirr_XM_025309719.1	Rirr_1_26
Rirr_XM_025323702.1	Rirr_1_27
Rirr_XM_025312216.1	Rirr_1_28
Rirr_XM_025329861.1	Rirr_1_29
Rirr_XM_025312217.1	Rirr_1_30
Rirr_XM_025312218.1	Rirr_1_31
Rirr_XM_025312219.1	Rirr_1_32
Rirr_XM_025323703.1	Rirr_1_33
Rirr_XM_025309720.1	Rirr_1_34
Rirr_XM_025323704.1	Rirr_1_35
Rirr_XM_025323705.1	Rirr_1_36
Rirr_XM_025312221.1	Rirr_1_37
Rirr_XM_025323706.1	Rirr_1_38
Rirr_XM_025331268.1	Rirr_1_39
Rirr_XM_025323707.1	Rirr_1_40
Rirr_XM_025331269.1	Rirr_1_41
Rirr_XM_025312222.1	Rirr_1_42
Rirr_XM_025323708.1	Rirr_1_43
Rirr_XM_025312223.1	Rirr_1_44
Rirr_XM_025312224.1	Rirr_1_45
Rirr_XM_025323709.1	Rirr_1_46
Rirr_XM_025312225.1	Rirr_1_47
Rirr_XM_025323710.1	Rirr_1_48
Rirr_XM_025329862.1	Rirr_1_49
Rirr_XM_025329113.1	Rirr_1_50
Rirr_XM_025329114.1	Rirr_1_51
Rirr_XM_025331270.1	Rirr_1_52
Rirr_XM_025309721.1	Rirr_1_53
Rirr_XM_025331271.1	Rirr_1_54
Rirr_XM_025312226.1	Rirr_1_55
Rirr_XM_025312227.1	Rirr_1_56
Rirr_XM_025312228.1	Rirr_1_57
Rirr_XM_025329115.1	Rirr_1_58
Rirr_XM_025323711.1	Rirr_1_59
Rirr_XM_025331272.1	Rirr_1_60
Rirr_XM_025312229.1	Rirr_1_61
Rirr_XM_025312230.1	Rirr_1_62
Rirr_XM_025312231.1	Rirr_1_63
Rirr_XM_025331273.1	Rirr_1_64
Rirr_XM_025312232.1	Rirr_1_65
Rirr_XM_025323712.1	Rirr_1_66
Rirr_XM_025323713.1	Rirr_1_67
Rirr_XM_025323714.1	Rirr_1_68
Rirr_XM_025323715.1	Rirr_1_69
Rirr_XM_025309722.1	Rirr_1_70
Rirr_XM_025323716.1	Rirr_1_71
Rirr_XM_025312233.1	Rirr_1_72
Rirr_XM_025331016.1	Rirr_1_73
Rirr_XM_025323717.1	Rirr_1_74
Rirr_XM_025329863.1	Rirr_1_75
Rirr_XM_025309723.1	Rirr_1_76
Rirr_XM_025312234.1	Rirr_1_77
Rirr_XM_025312235.1	Rirr_1_78
Rirr_XM_025312236.1	Rirr_1_79
Rirr_XM_025312237.1	Rirr_1_80
Rirr_XM_025312238.1	Rirr_1_81
Rirr_XM_025312239.1	Rirr_1_82
Rirr_XM_025312240.1	Rirr_1_83
Rirr_XM_025323223.1	Rirr_1_84
Rirr_XM_025323718.1	Rirr_1_85
Rirr_XM_025309724.1	Rirr_1_86
Rirr_XM_025309725.1	Rirr_1_87
Rirr_XM_025312241.1	Rirr_1_88
Rirr_XM_025333324.1	Rirr_1_89
Rirr_XM_025312242.1	Rirr_1_90
Rirr_XM_025323719.1	Rirr_1_91
Rirr_XM_025312243.1	Rirr_1_92
Rirr_XM_025312244.1	Rirr_1_93
Rirr_XM_025323720.1	Rirr_1_94
Rirr_XM_025312245.1	Rirr_1_95
Rirr_XM_025312246.1	Rirr_1_96
Rirr_XM_025312247.1	Rirr_1_97
Rirr_XM_025323721.1	Rirr_1_98
Rirr_XM_025323722.1	Rirr_1_99
Rirr_XM_025329864.1	Rirr_1_100
Rirr_XM_025312248.1	Rirr_1_101
Rirr_XM_025333499.1	Rirr_1_102
Rirr_XM_025333500.1	Rirr_1_103
Rirr_XM_025331017.1	Rirr_1_104
Rirr_XM_025312249.1	Rirr_1_105
Rirr_XM_025323723.1	Rirr_1_106
Rirr_XM_025309726.1	Rirr_1_107
Rirr_XM_025309727.1	Rirr_1_108
Rirr_XM_025312250.1	Rirr_1_109
Rirr_XM_025312251.1	Rirr_1_110
Rirr_XM_025309728.1	Rirr_1_111
Rirr_XM_025312252.1	Rirr_1_112
Rirr_XM_025312253.1	Rirr_1_113
Rirr_XM_025312254.1	Rirr_1_114
Rirr_XM_025312255.1	Rirr_1_115
Rirr_XM_025323346.1	Rirr_1_116
Rirr_XM_025312257.1	Rirr_1_117
Rirr_XM_025312258.1	Rirr_1_118
Rirr_XM_025323724.1	Rirr_1_119
Rirr_XM_025323725.1	Rirr_1_120
Rirr_XM_025312260.1	Rirr_1_121
Rirr_XM_025312261.1	Rirr_1_122
Rirr_XM_025308926.1	Rirr_1_123
Rirr_XM_025323224.1	Rirr_1_124
Rirr_XM_025312262.1	Rirr_1_125
Rirr_XM_025333800.1	Rirr_1_126
Rirr_XM_025309729.1	Rirr_1_127
Rirr_XM_025312263.1	Rirr_1_128
Rirr_XM_025312264.1	Rirr_1_129
Rirr_XM_025312265.1	Rirr_1_130
Rirr_XM_025312266.1	Rirr_1_131
Rirr_XM_025312267.1	Rirr_1_132
Rirr_XM_025312268.1	Rirr_1_133
Rirr_XM_025312269.1	Rirr_1_134
Rirr_XM_025312270.1	Rirr_1_135
Rirr_XM_025312271.1	Rirr_1_136
Rirr_XM_025312272.1	Rirr_1_137
Rirr_XM_025312273.1	Rirr_1_138
Rirr_XM_025308924.1	Rirr_1_139
Rirr_XM_025312274.1	Rirr_1_140
Rirr_XM_025312275.1	Rirr_1_141
Rirr_XM_025312276.1	Rirr_1_142
Rirr_XM_025312277.1	Rirr_1_143
Rirr_XM_025312278.1	Rirr_1_144
Rirr_XM_025312279.1	Rirr_1_145
Rirr_XM_025309730.1	Rirr_1_146
Rirr_XM_025323726.1	Rirr_1_147
Rirr_XM_025323727.1	Rirr_1_148
Rirr_XM_025312280.1	Rirr_1_149
Rirr_XM_025312281.1	Rirr_1_150
Rirr_XM_025312282.1	Rirr_1_151
Rirr_XM_025312283.1	Rirr_1_152
Rirr_XM_025323728.1	Rirr_1_153
Rirr_XM_025312284.1	Rirr_1_154
Rirr_XM_025308928.1	Rirr_1_155
Rirr_XM_025308927.1	Rirr_1_156
Rirr_XM_025312285.1	Rirr_1_157
Rirr_XM_025323729.1	Rirr_1_158
Rirr_XM_025312286.1	Rirr_1_159
Rirr_XM_025312287.1	Rirr_1_160
Rirr_XM_025312288.1	Rirr_1_161
Rirr_XM_025323730.1	Rirr_1_162
Rirr_XM_025312289.1	Rirr_1_163
Rirr_XM_025312290.1	Rirr_1_164
Rirr_XM_025329845.1	Rirr_1_165
Rirr_XM_025312291.1	Rirr_1_166
Rirr_XM_025323731.1	Rirr_1_167
Rirr_XM_025312293.1	Rirr_1_168
Rirr_XM_025334243.1	Rirr_1_169
Rirr_XM_025312294.1	Rirr_1_170
Rirr_XM_025308931.1	Rirr_1_171
Rirr_XM_025312295.1	Rirr_1_172
Rirr_XM_025312296.1	Rirr_1_173
Rirr_XM_025312297.1	Rirr_1_174
Rirr_XM_025334268.1	Rirr_1_175
Rirr_XM_025312298.1	Rirr_1_176
Rirr_XM_025323732.1	Rirr_1_177
Rirr_XM_025309731.1	Rirr_1_178
Rirr_XM_025329865.1	Rirr_1_179
