in_gene	out_gene	branch_support	ev_type	sos
Ngru_EFC37931	Tvag_XP_001326635.1	70.0	S	0.0
Ngru_EFC37931	Umay_KIS66976	70.0	S	0.0
Ngru_EFC37931	Porpur_KAA8494872.1	70.0	S	0.0
Ngru_EFC37931	Caulen_g3264.t1	70.0	S	0.0
Ngru_EFC37931	Ncra_EAA29880	70.0	S	0.0
Ngru_EFC37931	Ccin_EAU85410	70.0	S	0.0
Ngru_EFC37931	Morelo_OAQ32216	70.0	S	0.0
Ngru_EFC37931	Spun_KND04761	70.0	S	0.0
Ngru_EFC37931	Amac_KNE69863	70.0	S	0.0
Ngru_EFC37931	Mcir_OAD00286	70.0	S	0.0
Ngru_EFC37931	Mcir_OAC97743	70.0	S	0.0
Ngru_EFC37931	Ehux_EOD24014	70.0	S	0.0
Ngru_EFC37931	Spun_KND01637	70.0	S	0.0
Ngru_EFC37931	Scer_YDR191W	70.0	S	0.0
Ngru_EFC37931	Ppat_Pp3c10_16280V3.1	70.0	S	0.0
Ngru_EFC37931	Plebac_Pbla_mRNA_14050	70.0	S	0.0
Ngru_EFC37931	Amac_KNE71104	70.0	S	0.0
Ngru_EFC37931	Cang_ORZ33127	70.0	S	0.0
Ngru_EFC37931	Falb_KCV67438	70.0	S	0.0
Ngru_EFC37931	Coerev_PIA19320.1	70.0	S	0.0
Ngru_EFC37931	Falb_KCV71488	70.0	S	0.0
Ngru_EFC37931	Pisp_OUM69084.1	70.0	S	0.0
Ngru_EFC37931	Cneo_AAW40943	70.0	S	0.0
Ngru_EFC37931	Bden_EGF76759	70.0	S	0.0
Ngru_EFC37931	Scer_YOR025W	70.0	S	0.0
Ngru_EFC37931	Rhidel_EIE86629	70.0	S	0.0
Ngru_EFC37931	Amac_KNE70912	70.0	S	0.0
Ngru_EFC37931	Cocsub_XP_005643029.1	70.0	S	0.0
Ngru_EFC37931	Vcar_XP_002947060.1	70.0	S	0.0
Ngru_EFC37931	Spom_SPAC1783.04c.1_pep	70.0	S	0.0
Ngru_EFC37931	Rall_EPZ34088	70.0	S	0.0
Ngru_EFC37931	Gpro_KXS22093	70.0	S	0.0
Ngru_EFC37931	Ccin_EAU90600	70.0	S	0.0
Ngru_EFC37931	Crei_PNW83551	70.0	S	0.0
Ngru_EFC37931	Pbla_XP_018285481.1	70.0	S	0.0
Ngru_EFC37931	Ncra_EAA34475	70.0	S	0.0
Ngru_EFC37931	Cneo_AAW43828	70.0	S	0.0
Ngru_EFC37931	Cvar_XP_005843381.1	70.0	S	0.0
Ngru_EFC37931	Ulvmut_UM048_00251	70.0	S	0.0
Ngru_EFC37931	Coerev_PIA15308.1	70.0	S	0.0
Ngru_EFC37931	Umbram_203609	70.0	S	0.0
Ngru_EFC37931	Rirr_GBC36980	70.0	S	0.0
Ngru_EFC37931	Cfra_CFRG0048T1	70.0	S	0.0
Ngru_EFC37931	Amac_KNE57160	70.0	S	0.0
Ngru_EFC37931	Concor_KXN74813	70.0	S	0.0
