gene	orthogroup	orthologous_to
Ptet_CAK78599	Dpy-30.HG1.0:like:DYDC1/DYDC2:likeclu:1	NA
Lmaj_CAJ02275	Dpy-30.HG1.0:like:DYDC1/DYDC2:likeclu:1	NA
Pisp_OUM56975.1	Dpy-30.HG1.0:like:DYDC1/DYDC2:likeclu:1	NA
Mbre_EDQ86654	Dpy-30.HG1.0:like:DYDC1/DYDC2:likeclu:1	NA
Tcru_EAN86161	Dpy-30.HG1.0:like:DYDC1/DYDC2:likeclu:1	NA
Aurlim_6756	Dpy-30.HG1.0:like:DYDC1/DYDC2:likeclu:1	NA
Sros_EGD76825	Dpy-30.HG1.0:like:DYDC1/DYDC2:likeclu:1	NA
Pavlsp_835509	Dpy-30.HG1.0:like:DYDC1/DYDC2:likeclu:1	NA
Honfer_GBG26711	Dpy-30.HG1.0:like:DYDC1/DYDC2:likeclu:1	NA
Ctel_CapteP202924	Dpy-30.HG1.0:like:DYDC1/DYDC2:likeclu:1	NA
Lmaj_CAJ07727	Dpy-30.HG1.0:like:DYDC1/DYDC2:likeclu:1	NA
Recame_RECAM_14177.mRNA.1	Dpy-30.HG1.0:like:DYDC1/DYDC2:likeclu:1	NA
Lepsey_KPI84116	Dpy-30.HG1.0:like:DYDC1/DYDC2:likeclu:1	NA
Ngru_EFC46456	Dpy-30.HG1.0:like:DYDC1/DYDC2:likeclu:1	NA
Otau_XP_003082443.1	Dpy-30.HG1.0:like:DYDC1/DYDC2:likeclu:1	NA
Tcru_EAN98123	Dpy-30.HG1.0:like:DYDC1/DYDC2:likeclu:1	NA
Rall_EPZ35843	Dpy-30.HG1.0:like:DYDC1/DYDC2:likeclu:1	NA
Glam_EDO78247	Dpy-30.HG1.0:like:DYDC1/DYDC2:likeclu:1	NA
Secula_SECUL_05938.mRNA.1	Dpy-30.HG1.0:like:DYDC1/DYDC2:likeclu:1	NA
Fabtro_Gene.31457	Dpy-30.HG1.0:like:DYDC1/DYDC2:likeclu:1	NA
Jakbah_JAKBA_00642.mRNA.1	Dpy-30.HG1.0:like:DYDC1/DYDC2:likeclu:1	NA
Bodsal_CUG86788.1	Dpy-30.HG1.0:like:DYDC1/DYDC2:likeclu:1	NA
Tvag_XP_001323290.1	Dpy-30.HG1.0:like:DYDC1/DYDC2:likeclu:1	NA
Ptet_CAK60675	Dpy-30.HG1.0:like:DYDC1/DYDC2:likeclu:1	NA
Ptet_CAK93960	Dpy-30.HG1.0:like:DYDC1/DYDC2:likeclu:1	NA
Styinc_Gene4647_m4647	Dpy-30.HG1.0:like:DYDC1/DYDC2:likeclu:1	NA
Scil_scpid65254	Dpy-30.HG1.0:like:DYDC1/DYDC2:likeclu:1	NA
Ptet_CAK60101	Dpy-30.HG1.0:like:DYDC1/DYDC2:likeclu:1	NA
Ptet_CAK57006	Dpy-30.HG1.0:like:DYDC1/DYDC2:likeclu:1	NA
Scil_scpid65277	Dpy-30.HG1.0:like:DYDC1/DYDC2:likeclu:1	NA
Masbal_CACRSC010000049.1.p127	Dpy-30.HG1.0:like:DYDC1/DYDC2:likeclu:1	NA
Ptet_CAK79141	Dpy-30.HG1.0:like:DYDC1/DYDC2:likeclu:1	NA
Ulvmut_UM098_00081	Dpy-30.HG1.1:DYDC1/DYDC2	DYDC1/DYDC2
Oxytri_EJY64837	Dpy-30.HG1.1:DYDC1/DYDC2	islike:DYDC1/DYDC2
Scil_scpid98309	Dpy-30.HG1.1:DYDC1/DYDC2	islike:DYDC1/DYDC2
Carmem_530.p1	Dpy-30.HG1.1:DYDC1/DYDC2	islike:DYDC1/DYDC2
Lpol_XP_022254486.1	Dpy-30.HG1.1:DYDC1/DYDC2	DYDC2
Skow_XP_002738923.1	Dpy-30.HG1.1:DYDC1/DYDC2	islike:DYDC2
Nvec_NVE12509	Dpy-30.HG1.1:DYDC1/DYDC2	islike:DYDC1/DYDC2
Carmem_1030.p1	Dpy-30.HG1.1:DYDC1/DYDC2	islike:DYDC1/DYDC2
Oxytri_EJY70742	Dpy-30.HG1.1:DYDC1/DYDC2	islike:DYDC1/DYDC2
Fabtro_Gene.6545	Dpy-30.HG1.1:DYDC1/DYDC2	islike:DYDC1/DYDC2
Aque_Aqu2.1.16115_001	Dpy-30.HG1.1:DYDC1/DYDC2	islike:DYDC1/DYDC2
Tgon_TGME49_258575-t26_1	Dpy-30.HG1.1:DYDC1/DYDC2	islike:DYDC1/DYDC2
Morvir_scaffold7.g60.t1	Dpy-30.HG1.1:DYDC1/DYDC2	islike:DYDC1/DYDC2
Cgig_EKC40613	Dpy-30.HG1.1:DYDC1/DYDC2	islike:DYDC2
Crei_PNW77220	Dpy-30.HG1.1:DYDC1/DYDC2	islike:DYDC1/DYDC2
Drer_ENSDARP00000134033.1	Dpy-30.HG1.1:DYDC1/DYDC2	DYDC1
Scil_scpid97801	Dpy-30.HG1.1:DYDC1/DYDC2	islike:DYDC1/DYDC2
Ctel_CapteP189471	Dpy-30.HG1.1:DYDC1/DYDC2	islike:DYDC2
Hduj_OQV20188.1	Dpy-30.HG1.1:DYDC1/DYDC2	islike:DYDC1/DYDC2
Hsap_ENSP00000361276.1	Dpy-30.HG1.1:DYDC1/DYDC2	DYDC1
Tthe_EAS03641	Dpy-30.HG1.1:DYDC1/DYDC2	DYDC2
Hsap_ENSP00000361272.1	Dpy-30.HG1.1:DYDC1/DYDC2	DYDC2
Linana_g8652.t1	Dpy-30.HG1.1:DYDC1/DYDC2	DYDC2
Apla_XP_022104792.1	Dpy-30.HG1.1:DYDC1/DYDC2	islike:DYDC2
Phakir_PHAKIR_02762.mRNA.1	Dpy-30.HG1.1:DYDC1/DYDC2	islike:DYDC1/DYDC2
Plafun_PRP82331	Dpy-30.HG1.1:DYDC1/DYDC2	islike:DYDC1/DYDC2
Skow_XP_002738924.1	Dpy-30.HG1.1:DYDC1/DYDC2	islike:DYDC2
Vcar_XP_002954169.1	Dpy-30.HG1.1:DYDC1/DYDC2	islike:DYDC1/DYDC2
Tcas_XP_015838961.1	Dpy-30.HG1.1:DYDC1/DYDC2	DYDC2
Pinf_PITG_06915T0	Dpy-30.HG1.1:DYDC1/DYDC2	islike:DYDC1/DYDC2
Ancsig_Gene.7401	Dpy-30.HG1.1:DYDC1/DYDC2	islike:DYDC1/DYDC2
Klenit_GAQ82871.1	Dpy-30.HG1.1:DYDC1/DYDC2	islike:DYDC1/DYDC2
Chrtob_KOO53151.1	Dpy-30.HG1.1:DYDC1/DYDC2	islike:DYDC1/DYDC2
Tcas_XP_008195418.2	Dpy-30.HG1.1:DYDC1/DYDC2	islike:DYDC1/DYDC2
Cint_ENSCINP00000012807.3	Dpy-30.HG1.1:DYDC1/DYDC2	islike:DYDC2
