Transcript	Length	EffectiveLength	TPM	NumReads	Sample	Gene
Klenit_kfl00004_0570_v1.1.CDS	8697	8533.223	0.000000	0.000	SRR5905109	Klenit_GAQ77858.1
Klenit_kfl00004_0570_v1.1.CDS	8697	8533.425	0.000000	0.000	SRR5905110	Klenit_GAQ77858.1
Klenit_kfl00004_0570_v1.1.CDS	8697	8528.003	0.000000	0.000	SRR5905111	Klenit_GAQ77858.1
Klenit_kfl00004_0570_v1.1.CDS	8697	8532.417	0.010383	1.000	SRR5905112	Klenit_GAQ77858.1
Klenit_kfl00004_0570_v1.1.CDS	8697	8535.146	0.000000	0.000	SRR5905113	Klenit_GAQ77858.1
Klenit_kfl00004_0570_v1.1.CDS	8697	8529.205	0.000000	0.000	SRR5905114	Klenit_GAQ77858.1
Klenit_kfl00045_0020_v1.1.CDS	5676	5512.223	32.616657	1923.592	SRR5905109	Klenit_GAQ80045.1
Klenit_kfl00045_0020_v1.1.CDS	5676	5512.425	31.286420	1853.278	SRR5905110	Klenit_GAQ80045.1
Klenit_kfl00045_0020_v1.1.CDS	5676	5507.003	27.198411	1572.873	SRR5905111	Klenit_GAQ80045.1
Klenit_kfl00045_0020_v1.1.CDS	5676	5511.417	37.691341	2344.899	SRR5905112	Klenit_GAQ80045.1
Klenit_kfl00045_0020_v1.1.CDS	5676	5514.146	35.732242	2451.351	SRR5905113	Klenit_GAQ80045.1
Klenit_kfl00045_0020_v1.1.CDS	5676	5508.205	36.403765	2750.560	SRR5905114	Klenit_GAQ80045.1
Klenit_kfl00391_0010_v1.1.CDS	9330	9166.223	0.010197	1.000	SRR5905109	Klenit_GAQ87975.1
Klenit_kfl00391_0010_v1.1.CDS	9330	9166.425	0.020304	2.000	SRR5905110	Klenit_GAQ87975.1
Klenit_kfl00391_0010_v1.1.CDS	9330	9161.003	0.020790	2.000	SRR5905111	Klenit_GAQ87975.1
Klenit_kfl00391_0010_v1.1.CDS	9330	9165.417	0.009666	1.000	SRR5905112	Klenit_GAQ87975.1
Klenit_kfl00391_0010_v1.1.CDS	9330	9168.146	0.000000	0.000	SRR5905113	Klenit_GAQ87975.1
Klenit_kfl00391_0010_v1.1.CDS	9330	9162.205	0.000000	0.000	SRR5905114	Klenit_GAQ87975.1
