gene	orthogroup	orthologous_to	family	architecture
Nvec_NVE9889	SNF2_N.HG3.1:ERCC6L2	ERCC6L2	SNF2_N	TUDOR SNF2_N Helicase_C VIGSSK
Auraur_scaffold70.g36.t1	TUDOR.HG1.0:like:TDRD6/TDRD15:likeclu:20		TUDOR	TUDOR
Auraur_scaffold70.g36.t2	TUDOR.HG1.0:like:TDRD6/TDRD15:likeclu:20		TUDOR	TUDOR
Lcom_lcpid21067	TUDOR.HG1.1:TDRD12	TDRD12	TUDOR	RRM_1 TUDOR
Phoaus_g16715.t1	TUDOR.HG1.1:TDRD12	TDRD12	TUDOR	TUDOR TUDOR
Aque_Aqu2.1.31933_001	TUDOR.HG1.1:TDRD12	TDRD12	TUDOR	TUDOR TUDOR TUDOR
Clyhem_TCONS_00002876-protein	TUDOR.HG1.1:TDRD12	TDRD12	TUDOR	TUDOR
Aque_Aqu2.1.03745_001	TUDOR.HG1.1:TDRD12	TDRD12	TUDOR	TUDOR
Hsap_ENSP00000496698.1	TUDOR.HG1.1:TDRD12	TDRD12	TUDOR	TUDOR DEAD TUDOR CS
Drer_ENSDARP00000156644.1	TUDOR.HG1.1:TDRD12	TDRD12	TUDOR	TUDOR DEAD TUDOR
Aque_Aqu2.1.28843_001	TUDOR.HG1.1:TDRD12	TDRD12	TUDOR	TUDOR DEAD TUDOR TUDOR
Aplker_56429	TUDOR.HG1.1:TDRD12	TDRD12	TUDOR	TUDOR
Linana_g8364.t1	TUDOR.HG1.1:TDRD12	TDRD12	TUDOR	TUDOR DEAD Helicase_C
Aque_Aqu2.1.07820_001	TUDOR.HG1.1:TDRD12	TDRD12	TUDOR	TUDOR
Linana_g12108.t1	TUDOR.HG1.1:TDRD12	TDRD12	TUDOR	TUDOR DEAD Helicase_C
Aque_Aqu2.1.20584_001	TUDOR.HG1.1:TDRD12	TDRD12	TUDOR	TUDOR TUDOR
Scil_scpid22819	TUDOR.HG1.1:TDRD12	TDRD12	TUDOR	RRM_1 TUDOR
Dpul_EFX78715	TUDOR.HG1.1:TDRD12	TDRD12	TUDOR	TUDOR
Dpul_EFX76657	TUDOR.HG1.1:TDRD12	TDRD12	TUDOR	TUDOR
Dpul_EFX77361	TUDOR.HG1.1:TDRD12	TDRD12	TUDOR	TUDOR LETM1
Dpul_EFX74659	TUDOR.HG1.2:like:TDRD12:likeclu:1		TUDOR	RRM_1 TUDOR TUDOR
Cscu_XP_023238930.1	TUDOR.HG1.2:like:TDRD12:likeclu:1		TUDOR	TUDOR
Apla_XP_022100325.1	TUDOR.HG1.2:like:TDRD12:likeclu:1		TUDOR	RMI1_N UBA SMN
Hemkuk_9500_TR3306_c0_g5	TUDOR.HG1.2:like:TDRD12:likeclu:1		TUDOR	TUDOR
Cscu_XP_023234145.1	TUDOR.HG1.2:like:TDRD12:likeclu:1		TUDOR	TUDOR DEAD TUDOR TUDOR CS
Rigram_Gene.20329	TUDOR.HG1.2:like:TDRD12:likeclu:1		TUDOR	TUDOR
Styinc_Gene20433_m20433	TUDOR.HG1.2:like:TDRD12:likeclu:1		TUDOR	TUDOR
Concor_KXN64690	TUDOR.HG1.2:like:TDRD12:likeclu:1		TUDOR	SMN
Tgon_TGME49_286440-t26_1	TUDOR.HG1.2:like:TDRD12:likeclu:1		TUDOR	TUDOR
Pbla_XP_018287191.1	TUDOR.HG1.2:like:TDRD12:likeclu:1		TUDOR	SMN
Cint_ENSCINP00000026142.2	TUDOR.HG1.2:like:TDRD12:likeclu:1		TUDOR	SMN
Plabra_CEO94987	TUDOR.HG1.2:like:TDRD12:likeclu:1		TUDOR	TUDOR
Bralan_BL00431_evm7	TUDOR.HG1.2:like:TDRD12:likeclu:1		TUDOR	SMN
Gthe_EKX44796	TUDOR.HG1.2:like:TDRD12:likeclu:1		TUDOR	TUDOR
