Transcript	start_cds	end_cds	start_pep	end_pep	NumReads
Exapal_XM_021037919.2	0	312	0	104	60.04480135
Exapal_XM_021037965.2	0	183	0	61	7.5
Exapal_XM_021038456.2	0	312	0	104	9.762711864
Exapal_XM_021040329.2	0	312	0	104	40.91417166
Exapal_XM_021040521.2	0	312	0	104	5.099009901
Exapal_XM_021041141.2	0	669	0	223	14.61844725
Exapal_XM_021041266.2	0	372	0	124	13.20145631
Exapal_XM_021041268.2	0	681	0	227	33.6894452
Exapal_XM_021050925.2	0	312	0	104	10.564
Exapal_XM_021050927.2	0	669	0	223	38.39182768
Exapal_XM_021052278.1	0	372	0	124	13.17245509
Exapal_XM_021057460.2	0	678	0	226	17.84065041
Exapal_XM_021060604.2	0	312	0	104	6.583333333
Exapal_XM_021061890.2	0	312	0	104	5.793706294
Exapal_XM_021062008.1	0	684	0	228	41.59431818
