gene	orthogroup	orthologous_to	family	architecture
Tpse_EED94089	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Ppat_Pp3c17_14350V3.1	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Aurlim_42511	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Ttra_KNC52241	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Ctel_CapteP94915	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Manpla_Gene.34497	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Nvec_NVE14035	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Sphfal_Sphfalx02G006100.2.p	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Rigram_Gene.8330	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Ngad_EWM21450	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Tetwil_Twilhelma_g11653.t1	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Tgon_TGME49_230060-t26_1	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Otau_XP_003083126.2	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Jaklib_JAKLI_15619.mRNA.1	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Clim_evm27s153	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Secula_SECUL_03647.mRNA.1	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Sappar_KDO27858	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Cowc_KJE96465	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Lcom_lcpid227215	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	
Tvag_XP_001314637.1	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Alblai_CCA16792	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Morvir_scaffold42.g26.t1	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Plabra_CEO96935	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Schagg_33023	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Glam_EFD95470	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Spis_XP_022792866_1	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Ancsig_Gene.24645	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Hemkuk_9553_TR3317_c0_g1	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Drer_ENSDARP00000029934.6	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Vitbra_CEL99588.1	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Mlei_ML0857_g4_t1	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Honfer_GBG26343	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	MFS_1 Acetyltransf_1 Ank Ank_5
Honfer_GBG34227	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Sman_Smp_115340.1_pep	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Phakir_PHAKIR_13420.mRNA.1	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Linana_g294.t1	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Bralan_BL04341_evm1	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Plamic_ANCSI_01046.mRNA.1	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Marpol_PTQ38815	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Aque_Aqu2.1.29123_001	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Cang_ORZ32297	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Meteor_CRO19MET_NODE_9563.p1	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Gefoke_MALSP_09849.mRNA.2	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Spom_SPCC825.04c.1_pep	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Crei_PNW77321	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Mpus_XP_003057542.1	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Klenit_GAQ83315.1	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Carmem_3845.p1	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	
Falb_KCV67578	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	
Perkma_EER00220	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Hsap_ENSP00000367024.4	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Hemkuk_9554_TR3317_c0_g2	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Gefoke_MALSP_09849.mRNA.1	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Tcas_XP_967118.1	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Apla_XP_022099440.1	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Scer_YMR069W	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Tvag_XP_001310507.1	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Ppat_Pp3c9_11360V3.1	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1 Pkinase
Rhidel_EIE87147	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Pbla_XP_018286771.1	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Copper-fist Acetyltransf_1
Honfer_GBG32059	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Lcom_lcpid174508	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Fabtro_Gene.32720	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Ppat_Pp3c15_11610V3.1	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1 Pkinase
Cocsub_XP_005647283.1	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Spimul_21660_TR10611_c0_g1	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Cgig_EKC43106	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Sarc_Sarc4_g7861T	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Porpur_KAA8492254.1	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Concor_KXN70894	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Morelo_OAQ30938	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Auraur_scaffold1488.g10.t1	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Exapal_XP_020912497.1	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Atha_AT1G18335.2	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Phoaus_g15099.t1	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Bdis_KQK01692	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Tvag_XP_001579481.1	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Aurlim_134359	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Styinc_Gene36903_m36903	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Dpul_EFX69334	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Lpol_XP_013779289.1	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Sacu_v1.1_s0777.g027690	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	
Ncra_EAA30391	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Hduj_OQV22165.1	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Ptyfla_pfl_40v0_9_20150316_1g33921.t1	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Adenylsucc_synt Acetyltransf_1
Cneo_ALO60530	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Cscu_XP_023242968.1	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Caulen_g8185.t1	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Cvar_XP_005846799.1	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Plafun_PRP84817	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Rall_EPZ36576	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Ulvmut_UM017_00701	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Gthe_EKX53350	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Dmel_FBpp0084827	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Diprot_Gene.14384	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Skow_XP_002739028.1	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Emue_0019g176a	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Smoe_EFJ16511	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Sbic_KXG31188	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Atri_ERN11032	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Mpus_XP_003058022.1	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Otau_XP_003078705.1	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Sbic_OQU85805	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Emul_CDS42650.1	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Notgen_g26939.t1	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Lgig_LotgiP56489	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Mgut_XP_012856515.1	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Tetwil_Twilhelma_g11653.t2	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Umbram_258402	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Pfal_CAD52381	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Jakbah_JAKBA_08100.mRNA.1	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Tvag_XP_001308214.1	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_10
Pinf_PITG_06396T0	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Mcir_OAC99228	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Cfra_CFRG6805T1	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Maljak_MALJA_24771.mRNA.1	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Cmer_CMJ062CT	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Recame_RECAM_09715.mRNA.1	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Maljak_MALJA_18776.mRNA.1	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Hydvul_Sc4wPfr_226.g15130.t1	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Aplker_48231	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Andgod_ANDGO_04378.mRNA.1	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Umay_KIS71850	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	HhH-GPD Acetyltransf_1
Acoe_PIA63796.1	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Aplker_96838	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Rirr_GBC48430	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
Vcar_XP_002950156.1	Acetyltransf_1.HG10.0:NAA40	NAA40	Acetyltransf_1	Acetyltransf_1
Aurlim_64394	Acetyltransf_1.HG10.0:NAA40	islike:NAA40	Acetyltransf_1	Acetyltransf_1
