gene	orthogroup	orthologous_to
Sros_EGD72220	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Bdis_KQJ91016	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Mbre_EDQ88319	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Tetwil_Twilhelma_g12964.t2	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Sphfal_Sphfalx10G049500.1.p	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Klenit_GAQ81544.1	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Azfi_s0001.g000970	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Cowc_KJE90018	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Gracho_PXF45293.1	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Nvec_NVE4123	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Aque_Aqu2.1.02852_001	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Cgig_EKC34334	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Secula_SECUL_00637.mRNA.1	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Ppat_Pp3c23_2940V3.5	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Chocri_XP_005717026.1	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Pygbif_GCRY01012536.1.p1	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Recame_RECAM_07717.mRNA.1	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Sacu_v1.1_s0001.g000723	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Skow_XP_006813807.1	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Aque_Aqu2.1.15780_001	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Morelo_OAQ25303	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Cscu_XP_023242338.1	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Ppat_Pp3c20_16710V3.1	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Cavfas_EGG13485	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Recame_RECAM_07756.mRNA.1	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Pygbif_GCRY01006978.1.p1	Bromodomain.HG8.0:ATAD2/ATAD2B	islike:ATAD2/ATAD2B
Spis_XP_022801398_1	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Sman_Smp_179290.1_pep	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Crei_PNW88637	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Exapal_XP_028515384.1	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Bnat_JGI_V11_84837	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Jakbah_JAKBA_04272.mRNA.2	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Spur_XP_030838699.1	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Ptyfla_pfl_40v0_9_20150316_1g22652.t1	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Alblai_CCA22358	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Hydvul_Sc4wPfr_50.g22208.t2	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Spun_KND04253	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Emue_0023g78a	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Spur_XP_030838719.1	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Meteor_CRO19MET_NODE_951.p1	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Hsap_ENSP00000238789.5	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2B
Porpur_KAA8499269.1	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Azfi_s1286.g100936	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Mlei_ML1608_g3_t1	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Acas_ELR23653	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Tadh_P58090	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Cvar_XP_005846417.1	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Helrob_HelroP110881	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Porpur_KAA8494584.1	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Drer_ENSDARP00000098579.3	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2
Tcas_XP_008200975.1	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Ocar_g5075.t1	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Phoaus_g6699.t1	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Lcom_lcpid7055	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Maljak_MALJA_00952.mRNA.1	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Apla_XP_022102640.1	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Bralan_BL22539_evm10	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Tcas_XP_008200969.1	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Ancsig_Gene.65754	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Tvag_XP_001329689.1	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Clyhem_TCONS_00055493-protein	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Esil_CBN76802	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Scil_scpid2996	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Linana_g17187.t1	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Cneo_AAW43293	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Ddis_EAL66742	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Nk52_evm17s2133	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Morvir_scaffold125.g48.t1	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Maljak_MALJA_02299.mRNA.1	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Lpol_XP_013776023.1	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Porumb_OSX74139.1	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Tielac_KYQ92578	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Pinf_PITG_20780T0	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Ttra_KNC48346	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Drer_ENSDARP00000079851.5	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2B
Atri_ERN20150	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Cfra_CFRG0484T1	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Ngru_EFC44029	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Smoe_EFJ29799	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Emul_CDI98023.1	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Notgen_g17910.t1	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Mgut_XP_012854780.1	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Jaklib_JAKLI_07649.mRNA.1	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Otau_XP_022840147.1	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Malcal_MALCA_06920.mRNA.1	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Hetalb_XP_020433549.1	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Marpol_PTQ42804	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Jakbah_JAKBA_04272.mRNA.1	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
Gefoke_MALSP_15790.mRNA.1	Bromodomain.HG8.0:ATAD2/ATAD2B	ATAD2/ATAD2B
