Plafun_PRP74940	Integrase_H2C2 rve Chromo
Plafun_PRP74592	RVT_1 RT_RNaseH Integrase_H2C2 rve Integrase_H2C2 rve Chromo
Plafun_PRP83468	RVT_1 RT_RNaseH Integrase_H2C2 Chromo
Plafun_PRP78085	RT_RNaseH Integrase_H2C2 rve Chromo
Plafun_PRP73885	Asp_protease_2 RVT_1 RT_RNaseH_2 RT_RNaseH Integrase_H2C2 rve Chromo
Plafun_PRP73443	RVT_1 RVT_1 RT_RNaseH Integrase_H2C2 Chromo MFS_1
Plafun_PRP74586	RVT_1 RT_RNaseH RT_RNaseH Integrase_H2C2 Chromo
Plafun_PRP73716	rve Chromo
Plafun_PRP73675	RT_RNaseH Integrase_H2C2 Integrase_H2C2 Integrase_H2C2 rve Integrase_H2C2 rve Chromo
Plafun_PRP82731	RVT_1 RVT_1 RT_RNaseH RT_RNaseH Integrase_H2C2 Integrase_H2C2 rve Chromo
Plafun_PRP82664	rve Chromo
Plafun_PRP81976	PHD Chromo Chromo SNF2_N Helicase_C DUF1087 CHDCT2
Plafun_PRP76895	RVT_1 RT_RNaseH Integrase_H2C2 rve Chromo
Plafun_PRP88087	Chromo Chromo Chromo SNF2_N Helicase_C DUF1087
Plafun_PRP85645	RT_RNaseH_2 Integrase_H2C2 rve Chromo
Plafun_PRP82696	rve Chromo
