Transcript	start_cds	end_cds	start_pep	end_pep	NumReads
Coka_g12416.t1	0	2	0	0	79
Coka_g12416.t1	2	4	0	1	83
Coka_g12416.t1	4	11	1	3	84
Coka_g12416.t1	11	16	3	5	95
Coka_g12416.t1	16	22	5	7	97
Coka_g12416.t1	22	23	7	7	99
Coka_g12416.t1	23	24	7	8	93
Coka_g12416.t1	24	25	8	8	94
Coka_g12416.t1	25	26	8	8	92
Coka_g12416.t1	26	37	8	12	93
Coka_g12416.t1	37	38	12	12	83
Coka_g12416.t1	38	39	12	13	79
Coka_g12416.t1	39	43	13	14	75
Coka_g12416.t1	43	59	14	19	78
Coka_g12416.t1	59	61	19	20	75
Coka_g12416.t1	61	62	20	20	76
Coka_g12416.t1	62	75	20	25	78
Coka_g12416.t1	75	82	25	27	83
Coka_g12416.t1	82	83	27	27	81
Coka_g12416.t1	83	87	27	29	80
Coka_g12416.t1	87	88	29	29	81
Coka_g12416.t1	88	90	29	30	85
Coka_g12416.t1	90	92	30	30	92
Coka_g12416.t1	92	93	30	31	91
Coka_g12416.t1	93	97	31	32	89
Coka_g12416.t1	97	99	32	33	88
Coka_g12416.t1	99	100	33	33	89
Coka_g12416.t1	100	103	33	34	97
Coka_g12416.t1	103	104	34	34	99
Coka_g12416.t1	104	113	34	37	105
Coka_g12416.t1	113	116	37	38	119
Coka_g12416.t1	116	117	38	39	120
Coka_g12416.t1	117	118	39	39	101
Coka_g12416.t1	118	119	39	39	99
Coka_g12416.t1	119	123	39	41	97
Coka_g12416.t1	123	124	41	41	95
Coka_g12416.t1	124	125	41	41	101
Coka_g12416.t1	125	126	41	42	87
Coka_g12416.t1	126	128	42	42	93
Coka_g12416.t1	128	130	42	43	88
Coka_g12416.t1	130	131	43	43	76
Coka_g12416.t1	131	136	43	45	72
Coka_g12416.t1	136	144	45	48	73
Coka_g12416.t1	144	146	48	48	71
Coka_g12416.t1	146	151	48	50	75
Coka_g12416.t1	151	154	50	51	77
Coka_g12416.t1	154	162	51	54	78
Coka_g12416.t1	162	163	54	54	77
Coka_g12416.t1	163	170	54	56	87
Coka_g12416.t1	170	175	56	58	85
Coka_g12416.t1	175	177	58	59	84
Coka_g12416.t1	177	185	59	61	83
Coka_g12416.t1	185	188	61	62	85
Coka_g12416.t1	188	194	62	64	87
Coka_g12416.t1	194	197	64	65	84
Coka_g12416.t1	197	200	65	66	86
Coka_g12416.t1	200	202	66	67	89
Coka_g12416.t1	202	205	67	68	99
Coka_g12416.t1	205	206	68	68	100
Coka_g12416.t1	206	207	68	69	102
Coka_g12416.t1	207	209	69	69	96
Coka_g12416.t1	209	211	69	70	98
Coka_g12416.t1	211	213	70	71	97
Coka_g12416.t1	213	216	71	72	95
Coka_g12416.t1	216	223	72	74	101
Coka_g12416.t1	223	224	74	74	96
Coka_g12416.t1	224	226	74	75	94
Coka_g12416.t1	226	227	75	75	87
Coka_g12416.t1	227	230	75	76	85
Coka_g12416.t1	230	231	76	77	83
Coka_g12416.t1	231	232	77	77	84
Coka_g12416.t1	232	237	77	79	86
Coka_g12416.t1	237	238	79	79	78
Coka_g12416.t1	238	241	79	80	55
Coka_g12416.t1	241	250	80	83	48
Coka_g12416.t1	250	254	83	84	47
Coka_g12416.t1	254	259	84	86	45
Coka_g12416.t1	259	260	86	86	47
Coka_g12416.t1	260	266	86	88	51
Coka_g12416.t1	266	267	88	89	53
Coka_g12416.t1	267	270	89	90	52
Coka_g12416.t1	270	271	90	90	48
Coka_g12416.t1	271	272	90	90	50
Coka_g12416.t1	272	287	90	95	53
Coka_g12416.t1	287	305	95	101	52
Coka_g12416.t1	305	307	101	102	51
Coka_g12416.t1	307	308	102	102	52
Coka_g12416.t1	308	314	102	104	50
Coka_g12416.t1	314	326	104	108	48
Coka_g12416.t1	326	334	108	111	47
Coka_g12416.t1	334	336	111	112	41
Coka_g12416.t1	336	347	112	115	31
Coka_g12416.t1	347	348	115	116	25
Coka_g12416.t1	348	349	116	116	24
Coka_g12416.t1	349	350	116	116	23
Coka_g12416.t1	350	356	116	118	22
Coka_g12416.t1	356	357	118	119	19
Coka_g12416.t1	357	359	119	119	17
Coka_g12416.t1	359	362	119	120	15
Coka_g12416.t1	362	363	120	121	14
Coka_g12416.t1	363	365	121	121	12
Coka_g12416.t1	365	369	121	123	0
Coka_g12416.t1	369	370	123	123	4
Coka_g12416.t1	370	371	123	123	10
Coka_g12416.t1	371	372	123	124	27
Coka_g12416.t1	372	373	124	124	28
Coka_g12416.t1	373	376	124	125	29
Coka_g12416.t1	376	377	125	125	34
Coka_g12416.t1	377	379	125	126	35
Coka_g12416.t1	379	380	126	126	37
Coka_g12416.t1	380	381	126	127	38
Coka_g12416.t1	381	401	127	133	40
Coka_g12416.t1	401	443	133	147	42
Coka_g12416.t1	443	450	147	150	43
Coka_g12416.t1	450	454	150	151	45
Coka_g12416.t1	454	468	151	156	41
Coka_g12416.t1	468	473	156	157	36
Coka_g12416.t1	473	475	157	158	34
Coka_g12416.t1	475	486	158	162	33
Coka_g12416.t1	486	495	162	165	29
Coka_g12416.t1	495	497	165	165	39
Coka_g12416.t1	497	498	165	166	243
Coka_g12416.t1	498	499	166	166	245
Coka_g12416.t1	499	500	166	166	249
Coka_g12416.t1	500	501	166	167	255
Coka_g12416.t1	501	502	167	167	257
Coka_g12416.t1	502	503	167	167	281
Coka_g12416.t1	503	504	167	168	285
Coka_g12416.t1	504	505	168	168	286
Coka_g12416.t1	505	506	168	168	290
Coka_g12416.t1	506	508	168	169	291
Coka_g12416.t1	508	512	169	170	298
Coka_g12416.t1	512	522	170	174	299
Coka_g12416.t1	522	524	174	174	305
Coka_g12416.t1	524	528	174	176	308
Coka_g12416.t1	528	529	176	176	310
Coka_g12416.t1	529	530	176	176	313
Coka_g12416.t1	530	531	176	177	318
Coka_g12416.t1	531	533	177	177	322
Coka_g12416.t1	533	534	177	178	326
Coka_g12416.t1	534	535	178	178	280
Coka_g12416.t1	535	536	178	178	276
Coka_g12416.t1	536	537	178	179	269
Coka_g12416.t1	537	540	179	180	305
Coka_g12416.t1	540	541	180	180	306
Coka_g12416.t1	541	542	180	180	308
Coka_g12416.t1	542	546	180	182	309
Coka_g12416.t1	546	547	182	182	310
Coka_g12416.t1	547	548	182	182	308
Coka_g12416.t1	548	549	182	183	309
Coka_g12416.t1	549	551	183	183	307
Coka_g12416.t1	551	552	183	184	312
Coka_g12416.t1	552	553	184	184	304
Coka_g12416.t1	553	554	184	184	306
Coka_g12416.t1	554	555	184	185	303
Coka_g12416.t1	555	556	185	185	294
Coka_g12416.t1	556	557	185	185	292
Coka_g12416.t1	557	558	185	186	274
Coka_g12416.t1	558	559	186	186	278
Coka_g12416.t1	559	560	186	186	274
Coka_g12416.t1	560	561	186	187	270
Coka_g12416.t1	561	562	187	187	274
Coka_g12416.t1	562	563	187	187	256
Coka_g12416.t1	563	564	187	188	257
Coka_g12416.t1	564	565	188	188	255
Coka_g12416.t1	565	568	188	189	257
Coka_g12416.t1	568	570	189	190	261
Coka_g12416.t1	570	571	190	190	257
Coka_g12416.t1	571	572	190	190	263
Coka_g12416.t1	572	573	190	191	261
Coka_g12416.t1	573	574	191	191	259
Coka_g12416.t1	574	575	191	191	257
Coka_g12416.t1	575	576	191	192	259
Coka_g12416.t1	576	577	192	192	262
Coka_g12416.t1	577	578	192	192	261
Coka_g12416.t1	578	580	192	193	250
Coka_g12416.t1	580	582	193	194	243
Coka_g12416.t1	582	584	194	194	234
Coka_g12416.t1	584	585	194	195	328
Coka_g12416.t1	585	586	195	195	327
Coka_g12416.t1	586	587	195	195	331
Coka_g12416.t1	587	589	195	196	316
Coka_g12416.t1	589	590	196	196	337
Coka_g12416.t1	590	593	196	197	343
Coka_g12416.t1	593	594	197	198	346
Coka_g12416.t1	594	595	198	198	347
Coka_g12416.t1	595	597	198	199	346
Coka_g12416.t1	597	598	199	199	344
Coka_g12416.t1	598	599	199	199	336
Coka_g12416.t1	599	600	199	200	344
Coka_g12416.t1	600	602	200	200	345
Coka_g12416.t1	602	603	200	201	351
Coka_g12416.t1	603	604	201	201	263
Coka_g12416.t1	604	605	201	201	257
Coka_g12416.t1	605	606	201	202	256
Coka_g12416.t1	606	607	202	202	250
Coka_g12416.t1	607	608	202	202	281
Coka_g12416.t1	608	609	202	203	283
Coka_g12416.t1	609	610	203	203	292
Coka_g12416.t1	610	611	203	203	284
Coka_g12416.t1	611	612	203	204	282
Coka_g12416.t1	612	615	204	205	288
Coka_g12416.t1	615	616	205	205	290
Coka_g12416.t1	616	617	205	205	289
Coka_g12416.t1	617	618	205	206	295
Coka_g12416.t1	618	619	206	206	287
Coka_g12416.t1	619	621	206	207	277
Coka_g12416.t1	621	623	207	207	276
Coka_g12416.t1	623	624	207	208	264
Coka_g12416.t1	624	625	208	208	254
Coka_g12416.t1	625	626	208	208	252
Coka_g12416.t1	626	627	208	209	266
Coka_g12416.t1	627	628	209	209	265
Coka_g12416.t1	628	629	209	209	267
Coka_g12416.t1	629	630	209	210	243
Coka_g12416.t1	630	632	210	210	237
Coka_g12416.t1	632	637	210	212	224
Coka_g12416.t1	637	640	212	213	220
Coka_g12416.t1	640	644	213	214	222
Coka_g12416.t1	644	651	214	217	223
