Tetwil_Twilhelma_g27061.t1	Transposase_mut PHD
Tetwil_Twilhelma_g26416.t1	HTH_Tnp_Tc5 DDE_1 PHD
Tetwil_Twilhelma_g21272.t1	ALS2CR8 MULE zf-CXXC
Tetwil_Twilhelma_g17013.t1	FAR1 MULE PHD
Tetwil_Twilhelma_g5649.t1	MULE PHD
Tetwil_Twilhelma_g21272.t2	ALS2CR8 MULE zf-CXXC
Tetwil_Twilhelma_g1711.t1	HTH_psq DDE_1 PHD
Tetwil_Twilhelma_g5649.t2	MULE PHD
Tetwil_Twilhelma_g44.t1	DDE_1 PHD
Tetwil_Twilhelma_g26440.t2	SWIM zf-CXXC DUF4371 Dimer_Tnp_hAT
Tetwil_Twilhelma_g3641.t2	MULE PHD
Tetwil_Twilhelma_g27062.t1	MULE zf-CXXC OTU
Tetwil_Twilhelma_g17229.t2	MULE zf-CXXC OTU
Tetwil_Twilhelma_g26107.t1	DDE_1 PHD
