in_gene	out_gene	branch_support	ev_type	sos
Cfra_CFRG4840T1	Mlei_ML0022_g41_t1	19.0	S	0.0
Cfra_CFRG4840T1	Nvec_NVE20622	19.0	S	0.0
Cfra_CFRG4840T1	Tcas_XP_008192549.1	19.0	S	0.0
Cfra_CFRG4840T1	Notgen_g27110.t1	19.0	S	0.0
Cfra_CFRG4840T1	Diprot_Gene.2154	19.0	S	0.0
Cfra_CFRG4840T1	Smoe_EFJ20484	19.0	S	0.0
Cfra_CFRG4840T1	Exapal_XP_020899332.1	19.0	S	0.0
Cfra_CFRG4840T1	Smoe_EFJ14038	19.0	S	0.0
Cfra_CFRG4840T1	Exapal_XP_028516074.1	19.0	S	0.0
Cfra_CFRG4840T1	Exapal_XP_020894684.1	19.0	S	0.0
Cfra_CFRG4840T1	Spis_XP_022785844_1	19.0	S	0.0
Cfra_CFRG4840T1	Spis_XP_022797560_1	19.0	S	0.0
Cfra_CFRG4840T1	Sphfal_Sphfalx19G038300.1.p	19.0	S	0.0
Cfra_CFRG4840T1	Aque_Aqu2.1.39631_001	19.0	S	0.0
Cfra_CFRG4840T1	Ppat_PAC_32930975.CDS.1	19.0	S	0.0
Cfra_CFRG4840T1	Adig_XP_015754925.1	19.0	S	0.0
Cfra_CFRG4840T1	Cowc_KJE89878	19.0	S	0.0
Cfra_CFRG4840T1	Ppat_PAC_32942819.CDS.1	19.0	S	0.0
Cfra_CFRG4840T1	Spis_XP_022798608_1	19.0	S	0.0
Cfra_CFRG4840T1	Drer_ENSDARP00000070677.3	19.0	S	0.0
Cfra_CFRG4840T1	Sphfal_Sphfalx02G086900.1.p	19.0	S	0.0
Cfra_CFRG4840T1	Ppat_PAC_32938382.CDS.1	19.0	S	0.0
Cfra_CFRG4840T1	Hsap_ENSP00000329662.4	19.0	S	0.0
Cfra_CFRG4840T1	Smoe_EFJ13030	19.0	S	0.0
Cfra_CFRG4840T1	Sphfal_Sphfalx05G043900.1.p	19.0	S	0.0
Cfra_CFRG4840T1	Smoe_EFJ28547	19.0	S	0.0
Cfra_CFRG4840T1	Marpol_PTQ48993	19.0	S	0.0
Cfra_CFRG4840T1	Gefoke_MALSP_08268.mRNA.1	19.0	S	0.0
Cfra_CFRG4840T1	Nvec_NVE4301	19.0	S	0.0
Cfra_CFRG4840T1	Lcom_lcpid176897	19.0	S	0.0
Cfra_CFRG4840T1	Ppat_PAC_32918193.CDS.1	19.0	S	0.0
Cfra_CFRG4840T1	Adig_XP_015753988.1	19.0	S	0.0
Cfra_CFRG4840T1	Adig_XP_015760088.1	19.0	S	0.0
Cfra_CFRG4840T1	Nvec_NVE15465	19.0	S	0.0
Cfra_CFRG4840T1	Sphfal_Sphfalx19G093300.1.p	19.0	S	0.0
Cfra_CFRG4840T1	Gpro_KXS17671	19.0	S	0.0
Cfra_CFRG4840T1	Sphfal_Sphfalx06G072600.1.p	19.0	S	0.0
Cfra_CFRG4840T1	Marpol_PTQ32223	19.0	S	0.0
Cfra_CFRG4840T1	Diprot_Gene.11283	19.0	S	0.0
Cfra_CFRG4840T1	Sphfal_Sphfalx01G099500.1.p	19.0	S	0.0
Cfra_CFRG4840T1	Sphfal_Sphfalx02G024400.1.p	19.0	S	0.0
Cfra_CFRG4840T1	Ppat_PAC_32909784.CDS.1	19.0	S	0.0
Cfra_CFRG4840T1	Marpol_PTQ35141	19.0	S	0.0
Sarc_Sarc4_g29345T	Mlei_ML0022_g41_t1	19.0	S	0.0
Sarc_Sarc4_g29345T	Nvec_NVE20622	19.0	S	0.0
Sarc_Sarc4_g29345T	Tcas_XP_008192549.1	19.0	S	0.0
Sarc_Sarc4_g29345T	Notgen_g27110.t1	19.0	S	0.0
Sarc_Sarc4_g29345T	Diprot_Gene.2154	19.0	S	0.0
Sarc_Sarc4_g29345T	Smoe_EFJ20484	19.0	S	0.0
Sarc_Sarc4_g29345T	Exapal_XP_020899332.1	19.0	S	0.0
Sarc_Sarc4_g29345T	Smoe_EFJ14038	19.0	S	0.0
Sarc_Sarc4_g29345T	Exapal_XP_028516074.1	19.0	S	0.0
Sarc_Sarc4_g29345T	Exapal_XP_020894684.1	19.0	S	0.0
Sarc_Sarc4_g29345T	Spis_XP_022785844_1	19.0	S	0.0
Sarc_Sarc4_g29345T	Spis_XP_022797560_1	19.0	S	0.0
Sarc_Sarc4_g29345T	Sphfal_Sphfalx19G038300.1.p	19.0	S	0.0
Sarc_Sarc4_g29345T	Aque_Aqu2.1.39631_001	19.0	S	0.0
Sarc_Sarc4_g29345T	Ppat_PAC_32930975.CDS.1	19.0	S	0.0
Sarc_Sarc4_g29345T	Adig_XP_015754925.1	19.0	S	0.0
Sarc_Sarc4_g29345T	Cowc_KJE89878	19.0	S	0.0
Sarc_Sarc4_g29345T	Ppat_PAC_32942819.CDS.1	19.0	S	0.0
Sarc_Sarc4_g29345T	Spis_XP_022798608_1	19.0	S	0.0
Sarc_Sarc4_g29345T	Drer_ENSDARP00000070677.3	19.0	S	0.0
Sarc_Sarc4_g29345T	Sphfal_Sphfalx02G086900.1.p	19.0	S	0.0
Sarc_Sarc4_g29345T	Ppat_PAC_32938382.CDS.1	19.0	S	0.0
Sarc_Sarc4_g29345T	Hsap_ENSP00000329662.4	19.0	S	0.0
Sarc_Sarc4_g29345T	Smoe_EFJ13030	19.0	S	0.0
Sarc_Sarc4_g29345T	Sphfal_Sphfalx05G043900.1.p	19.0	S	0.0
Sarc_Sarc4_g29345T	Smoe_EFJ28547	19.0	S	0.0
Sarc_Sarc4_g29345T	Marpol_PTQ48993	19.0	S	0.0
Sarc_Sarc4_g29345T	Gefoke_MALSP_08268.mRNA.1	19.0	S	0.0
Sarc_Sarc4_g29345T	Nvec_NVE4301	19.0	S	0.0
Sarc_Sarc4_g29345T	Lcom_lcpid176897	19.0	S	0.0
Sarc_Sarc4_g29345T	Ppat_PAC_32918193.CDS.1	19.0	S	0.0
Sarc_Sarc4_g29345T	Adig_XP_015753988.1	19.0	S	0.0
Sarc_Sarc4_g29345T	Adig_XP_015760088.1	19.0	S	0.0
Sarc_Sarc4_g29345T	Nvec_NVE15465	19.0	S	0.0
Sarc_Sarc4_g29345T	Sphfal_Sphfalx19G093300.1.p	19.0	S	0.0
Sarc_Sarc4_g29345T	Gpro_KXS17671	19.0	S	0.0
Sarc_Sarc4_g29345T	Sphfal_Sphfalx06G072600.1.p	19.0	S	0.0
Sarc_Sarc4_g29345T	Marpol_PTQ32223	19.0	S	0.0
Sarc_Sarc4_g29345T	Diprot_Gene.11283	19.0	S	0.0
Sarc_Sarc4_g29345T	Sphfal_Sphfalx01G099500.1.p	19.0	S	0.0
Sarc_Sarc4_g29345T	Sphfal_Sphfalx02G024400.1.p	19.0	S	0.0
Sarc_Sarc4_g29345T	Ppat_PAC_32909784.CDS.1	19.0	S	0.0
Sarc_Sarc4_g29345T	Marpol_PTQ35141	19.0	S	0.0
Ngru_EFC38260	Acas_ELR12653	72.0	S	0.0
Ngru_EFC38260	Amobb2_AMBB2_01218.mRNA.1	72.0	S	0.0
Ngru_EFC38260	Acas_ELR13465	72.0	S	0.0
Ngru_EFC38260	Amobb2_AMBB2_00854.mRNA.1	72.0	S	0.0
Aplker_102241	Acas_ELR12653	72.0	S	0.0
Aplker_102241	Amobb2_AMBB2_01218.mRNA.1	72.0	S	0.0
Aplker_102241	Acas_ELR13465	72.0	S	0.0
Aplker_102241	Amobb2_AMBB2_00854.mRNA.1	72.0	S	0.0
Drer_ENSDARP00000144733.1	Perkma_EER05041	82.0	S	0.0
Drer_ENSDARP00000144733.1	Perkma_EER13081	82.0	S	0.0
Drer_ENSDARP00000144733.1	Perkma_EER14848	82.0	S	0.0
Drer_ENSDARP00000144733.1	Mbre_EDQ90890	82.0	S	0.0
Drer_ENSDARP00000144733.1	Perkma_EER15904	82.0	S	0.0
Drer_ENSDARP00000144733.1	Perkma_EER15909	82.0	S	0.0
Drer_ENSDARP00000144733.1	Lcom_lcpid188856	82.0	S	0.0
Drer_ENSDARP00000144733.1	Gefoke_MALSP_17130.mRNA.1	82.0	S	0.0
Drer_ENSDARP00000144733.1	Perkma_EER07735	82.0	S	0.0
Drer_ENSDARP00000144733.1	Perkma_EER13883	82.0	S	0.0
Drer_ENSDARP00000144733.1	Perkma_EER16779	82.0	S	0.0
Drer_ENSDARP00000144733.1	Bnat_JGI_V11_87300	82.0	S	0.0
Drer_ENSDARP00000144733.1	Perkma_EEQ98442	82.0	S	0.0
Drer_ENSDARP00000144733.1	Perkma_EER01175	82.0	S	0.0
Drer_ENSDARP00000144733.1	Sros_EGD80855	82.0	S	0.0
Drer_ENSDARP00000144733.1	Perkma_EER02234	82.0	S	0.0
Drer_ENSDARP00000144733.1	Perkma_EER08793	82.0	S	0.0
Drer_ENSDARP00000144733.1	Perkma_EER03032	82.0	S	0.0
Drer_ENSDARP00000144733.1	Perkma_EER06503	82.0	S	0.0
Drer_ENSDARP00000144733.1	Perkma_EER19810	82.0	S	0.0
Hsap_ENSP00000486723.1	Perkma_EER05041	82.0	S	0.0
Hsap_ENSP00000486723.1	Perkma_EER13081	82.0	S	0.0
Hsap_ENSP00000486723.1	Perkma_EER14848	82.0	S	0.0
Hsap_ENSP00000486723.1	Mbre_EDQ90890	82.0	S	0.0
Hsap_ENSP00000486723.1	Perkma_EER15904	82.0	S	0.0
Hsap_ENSP00000486723.1	Perkma_EER15909	82.0	S	0.0
Hsap_ENSP00000486723.1	Lcom_lcpid188856	82.0	S	0.0
Hsap_ENSP00000486723.1	Gefoke_MALSP_17130.mRNA.1	82.0	S	0.0
Hsap_ENSP00000486723.1	Perkma_EER07735	82.0	S	0.0
Hsap_ENSP00000486723.1	Perkma_EER13883	82.0	S	0.0
Hsap_ENSP00000486723.1	Perkma_EER16779	82.0	S	0.0
Hsap_ENSP00000486723.1	Bnat_JGI_V11_87300	82.0	S	0.0
Hsap_ENSP00000486723.1	Perkma_EEQ98442	82.0	S	0.0
Hsap_ENSP00000486723.1	Perkma_EER01175	82.0	S	0.0
Hsap_ENSP00000486723.1	Sros_EGD80855	82.0	S	0.0
Hsap_ENSP00000486723.1	Perkma_EER02234	82.0	S	0.0
Hsap_ENSP00000486723.1	Perkma_EER08793	82.0	S	0.0
Hsap_ENSP00000486723.1	Perkma_EER03032	82.0	S	0.0
Hsap_ENSP00000486723.1	Perkma_EER06503	82.0	S	0.0
Hsap_ENSP00000486723.1	Perkma_EER19810	82.0	S	0.0
Apla_XP_022092147.1	Perkma_EER05041	82.0	S	0.0
Apla_XP_022092147.1	Perkma_EER13081	82.0	S	0.0
Apla_XP_022092147.1	Perkma_EER14848	82.0	S	0.0
Apla_XP_022092147.1	Mbre_EDQ90890	82.0	S	0.0
Apla_XP_022092147.1	Perkma_EER15904	82.0	S	0.0
Apla_XP_022092147.1	Perkma_EER15909	82.0	S	0.0
Apla_XP_022092147.1	Lcom_lcpid188856	82.0	S	0.0
Apla_XP_022092147.1	Gefoke_MALSP_17130.mRNA.1	82.0	S	0.0
Apla_XP_022092147.1	Perkma_EER07735	82.0	S	0.0
Apla_XP_022092147.1	Perkma_EER13883	82.0	S	0.0
Apla_XP_022092147.1	Perkma_EER16779	82.0	S	0.0
Apla_XP_022092147.1	Bnat_JGI_V11_87300	82.0	S	0.0
Apla_XP_022092147.1	Perkma_EEQ98442	82.0	S	0.0
Apla_XP_022092147.1	Perkma_EER01175	82.0	S	0.0
Apla_XP_022092147.1	Sros_EGD80855	82.0	S	0.0
Apla_XP_022092147.1	Perkma_EER02234	82.0	S	0.0
Apla_XP_022092147.1	Perkma_EER08793	82.0	S	0.0
Apla_XP_022092147.1	Perkma_EER03032	82.0	S	0.0
Apla_XP_022092147.1	Perkma_EER06503	82.0	S	0.0
Apla_XP_022092147.1	Perkma_EER19810	82.0	S	0.0
