gene	orthogroup	orthologous_to	family	architecture
Scer_YOR038C	Hira.HG1.0:HIRA	HIRA	Hira	Hira
Lpol_XP_022258852.1	Hira.HG1.0:HIRA	HIRA	Hira	Hira
Cowc_KJE89259	Hira.HG1.0:HIRA	islike:HIRA	Hira	WD40 WD40 WD40 Hira
Cocsub_XP_005651956.1	Hira.HG1.0:HIRA	islike:HIRA	Hira	WD40 WD40 WD40 WD40 Hira Hira
Hydvul_Sc4wPfr_175.1.g31532.t1	Hira.HG1.0:HIRA	HIRA	Hira	WD40 WD40 WD40 Hira
Sappar_KDO30942	Hira.HG1.0:HIRA	islike:HIRA	Hira	WD40 WD40 WD40 Hira
Nutlon_comp6298_c0_seq1.p2	Hira.HG1.0:HIRA	islike:HIRA	Hira	Hira
Plafun_PRP76358	Hira.HG1.0:HIRA	islike:HIRA	Hira	WD40 WD40 WD40 WD40 Hira Hira
Maljak_MALJA_21011.mRNA.1	Hira.HG1.0:HIRA	islike:HIRA	Hira	WD40 WD40 ANAPC4_WD40 Hira
Pygbif_GCRY01004639.1.p1	Hira.HG1.0:HIRA	islike:HIRA	Hira	Hira
Nutlon_comp6006_c0_seq1.p1	Hira.HG1.0:HIRA	islike:HIRA	Hira	Hira
Ptet_CAK67633	Hira.HG1.0:HIRA	islike:HIRA	Hira	ANAPC4_WD40 Hira
Bdis_KQJ91583	Hira.HG1.0:HIRA	islike:HIRA	Hira	WD40 WD40 WD40 WD40 Hira
Aque_Aqu2.1.15469_001	Hira.HG1.0:HIRA	HIRA	Hira	WD40 WD40 WD40 WD40 WD40 Hira
Jakbah_JAKBA_05655.mRNA.1	Hira.HG1.0:HIRA	islike:HIRA	Hira	WD40 Hira WD40
Dmel_FBpp0071028	Hira.HG1.0:HIRA	HIRA	Hira	WD40 WD40 WD40 WD40 HIRA_B Hira
Otau_XP_003080485.2	Hira.HG1.0:HIRA	islike:HIRA	Hira	WD40 WD40 WD40 WD40 Hira
Smoe_EFJ20190	Hira.HG1.0:HIRA	islike:HIRA	Hira	WD40 WD40 WD40 WD40 WD40 Hira
Dpul_EFX84898	Hira.HG1.0:HIRA	HIRA	Hira	WD40 WD40 WD40 WD40 WD40 HIRA_B Hira
Ramvar_GAU94240.1	Hira.HG1.0:HIRA	HIRA	Hira	WD40 WD40 WD40 Hira
Gthe_EKX49410	Hira.HG1.0:HIRA	islike:HIRA	Hira	WD40 WD40 Hira
Tetwil_Twilhelma_g5048.t1	Hira.HG1.0:HIRA	HIRA	Hira	PH BTK Pkinase_Tyr WD40 WD40 WD40 HIRA_B Hira
Cavfas_EGG22943	Hira.HG1.0:HIRA	islike:HIRA	Hira	WD40 WD40 WD40 WD40 Hira
Lcom_lcpid10500	Hira.HG1.0:HIRA	HIRA	Hira	WD40 WD40 WD40 Hira
Acas_ELR22783	Hira.HG1.0:HIRA	islike:HIRA	Hira	WD40 WD40 WD40 WD40 HIRA_B Hira Hira
Cscu_XP_023233060.1	Hira.HG1.0:HIRA	HIRA	Hira	WD40 WD40 WD40 WD40 HIRA_B Hira
Ancsig_Gene.86346	Hira.HG1.0:HIRA	islike:HIRA	Hira	Hira
Gefoke_MALSP_06898.mRNA.1	Hira.HG1.0:HIRA	islike:HIRA	Hira	WD40 WD40 WD40 WD40 HIRA_B Hira
Scil_scpid12549	Hira.HG1.0:HIRA	HIRA	Hira	HIRA_B Hira
Tcas_XP_015833779.1	Hira.HG1.0:HIRA	HIRA	Hira	WD40 WD40 WD40 WD40 HIRA_B Hira
Nk52_evm28s2192	Hira.HG1.0:HIRA	HIRA	Hira	WD40 WD40 WD40 WD40 HIRA_B Hira
Porumb_OSX68703.1	Hira.HG1.0:HIRA	islike:HIRA	Hira	Hira
Lgig_LotgiP206663	Hira.HG1.0:HIRA	HIRA	Hira	WD40 WD40 WD40 WD40 HIRA_B Hira
Pinf_PITG_16801T0	Hira.HG1.0:HIRA	islike:HIRA	Hira	WD40 WD40 WD40 WD40 WD40 Hira Hira
Sphfal_Sphfalx01G029500.1.p	Hira.HG1.0:HIRA	islike:HIRA	Hira	WD40 WD40 WD40 WD40 WD40 Hira
Spur_XP_030847897.1	Hira.HG1.0:HIRA	HIRA	Hira	WD40 WD40 WD40 WD40 WD40 HIRA_B Hira
Alblai_CCA16712	Hira.HG1.0:HIRA	islike:HIRA	Hira	WD40 WD40 WD40 WD40 Hira
Tpse_EED87762	Hira.HG1.0:HIRA	islike:HIRA	Hira	WD40 WD40 WD40 Hira
Ulvmut_UM018_00391	Hira.HG1.0:HIRA	islike:HIRA	Hira	WD40 WD40 WD40 WD40 WD40 Hira
Gracho_PXF46680.1	Hira.HG1.0:HIRA	islike:HIRA	Hira	WD40 WD40 WD40 WD40 Hira
Retfil_ETO16412	Hira.HG1.0:HIRA	islike:HIRA	Hira	Hira
Ppat_Pp3c16_16320V3.1	Hira.HG1.0:HIRA	islike:HIRA	Hira	WD40 WD40 WD40 WD40 WD40 Hira
Acoe_PIA58970.1	Hira.HG1.0:HIRA	islike:HIRA	Hira	WD40 WD40 WD40 WD40 Hira
Hsap_ENSP00000263208.5	Hira.HG1.0:HIRA	HIRA	Hira	WD40 WD40 WD40 WD40 Hira
Aplker_67797	Hira.HG1.0:HIRA	islike:HIRA	Hira	WD40 WD40 WD40 WD40 Hira
Sbic_EER96354	Hira.HG1.0:HIRA	islike:HIRA	Hira	WD40 WD40 WD40 Hira
Caulen_g6217.t1	Hira.HG1.0:HIRA	islike:HIRA	Hira	WD40 WD40 WD40 Hira Hira BPL_LplA_LipB
Linana_g614.t1	Hira.HG1.0:HIRA	HIRA	Hira	WD40 WD40 WD40 Hira
Plamic_ANCSI_01835.mRNA.1	Hira.HG1.0:HIRA	islike:HIRA	Hira	WD40 WD40 WD40 Hira
Chocri_XP_005717713.1	Hira.HG1.0:HIRA	islike:HIRA	Hira	WD40 WD40 WD40 WD40 Hira
Morvir_scaffold180.g39.t3	Hira.HG1.0:HIRA	HIRA	Hira	Hira
Ppat_Pp3c27_1720V3.2	Hira.HG1.0:HIRA	islike:HIRA	Hira	WD40 WD40 WD40 WD40 WD40 Hira
Sros_EGD76929	Hira.HG1.0:HIRA	islike:HIRA	Hira	WD40 WD40 WD40 Hira
Notgen_g10346.t1	Hira.HG1.0:HIRA	HIRA	Hira	WD40 WD40 WD40 WD40 Hira
Phoaus_g11384.t1	Hira.HG1.0:HIRA	islike:HIRA	Hira	WD40 WD40 WD40 WD40 WD40 WD40 WD40 WD40 WD40 Utp13
Spis_XP_022780502_1	Hira.HG1.0:HIRA	HIRA	Hira	WD40 WD40 WD40 HIRA_B Hira
Ngru_EFC47572	Hira.HG1.0:HIRA	islike:HIRA	Hira	WD40 WD40 Hira
Aurlim_132090	Hira.HG1.0:HIRA	islike:HIRA	Hira	WD40 WD40 WD40 Hira Hira
Bnat_JGI_V11_79380	Hira.HG1.0:HIRA	islike:HIRA	Hira	WD40 WD40 WD40 WD40 Hira
Linana_g612.t1	Hira.HG1.0:HIRA	HIRA	Hira	Hira
Coka_g13270.t1	Hira.HG1.0:HIRA	islike:HIRA	Hira	WD40 WD40 WD40 WD40 HIRA_B Hira
Morvir_scaffold180.g39.t2	Hira.HG1.0:HIRA	HIRA	Hira	WD40 WD40 WD40 WD40 HIRA_B Hira
Ptet_CAK83740	Hira.HG1.0:HIRA	islike:HIRA	Hira	ANAPC4_WD40 Hira
Aque_Aqu2.1.24527_001	Hira.HG1.0:HIRA	HIRA	Hira	WD40 WD40 WD40 WD40 HIRA_B Hira
Tielac_KYQ88779	Hira.HG1.0:HIRA	islike:HIRA	Hira	WD40 WD40 WD40 HIRA_B Hira
Honfer_GBG27463	Hira.HG1.0:HIRA	islike:HIRA	Hira	WD40 WD40 Hira
Ctel_CapteP117691	Hira.HG1.0:HIRA	HIRA	Hira	WD40 WD40 WD40 HIRA_B Hira
Porpur_KAA8494168.1	Hira.HG1.0:HIRA	islike:HIRA	Hira	WD40 WD40 WD40 Hira
Amobb2_AMBB2_07430.mRNA.1	Hira.HG1.0:HIRA	islike:HIRA	Hira	WD40 WD40 WD40 HIRA_B Hira
Amobb2_AMBB2_07430.mRNA.2	Hira.HG1.0:HIRA	islike:HIRA	Hira	WD40 WD40 WD40 HIRA_B Hira
Meteor_CRO19MET_NODE_1111.p1	Hira.HG1.0:HIRA	islike:HIRA	Hira	WD40 WD40 WD40 WD40 HIRA_B Hira
Styinc_Gene30730_m30730	Hira.HG1.0:HIRA	islike:HIRA	Hira	WD40 WD40 WD40 WD40 Hira
Cint_ENSCINP00000015981.3	Hira.HG1.0:HIRA	HIRA	Hira	WD40 WD40 WD40 Hira
