gene	orthogroup	orthologous_to
ArchaeCry|Smoe_EFJ23915	aOG.eur_CupinJmjC0	
Discoba|Bodsal_CUG88705.1	aOG.eur_CupinJmjC0	
Discoba|Tcru_EAN85100	aOG.eur_CupinJmjC0	
Obazoa|Sros_EGD74787	aOG.eur_CupinJmjC0	
Discoba|Tcru_EAN85895	aOG.eur_CupinJmjC0	
Ancyromonadida|Plamic_ANCSI_11120.mRNA.1	aOG.eur_CupinJmjC0	
Discoba|Strcul_EPY30175	aOG.eur_CupinJmjC0	
ArchaeCry|Sbic_OQU86986	aOG.eur_CupinJmjC0	
ArchaeCry|Chabra_GBG59621	aOG.eur_CupinJmjC0	
ArchaeCry|Mgut_XP_012842047.1	aOG.eur_CupinJmjC1	
SARHap|Ehux_EOD41045	aOG.eur_CupinJmjC1	
CRuMs|Manpla_Gene.25828	aOG.eur_CupinJmjC2	
Ancyromonadida|Nutlon_comp6247_c0_seq1.p1	aOG.eur_CupinJmjC2	
ArchaeCry|Gthe_EKX50370	aOG.eur_CupinJmjC2	
Discoba|Andgod_ANDGO_00958.mRNA.1	aOG.eur_CupinJmjC2	
Obazoa|Ttra_KNC49246	aOG.eur_CupinJmjC2	
Obazoa|Drer_ENSDARP00000096160.3	aOG.eur_CupinJmjC3	
SARHap|Pinf_PITG_03891T0	aOG.eur_CupinJmjC3	
SARHap|Coka_g5502.t1	aOG.eur_CupinJmjC3	
Amoebozoa|Plafun_PRP83565	aOG.eur_CupinJmjC3	
SARHap|Sappar_KDO27938	aOG.eur_CupinJmjC3	
Obazoa|Spur_XP_797590.2	aOG.eur_CupinJmjC3	
CRuMs|Manpla_Gene.23741	aOG.eur_CupinJmjC4	
ArchaeCry|Porpur_KAA8496554.1	aOG.eur_CupinJmjC4	
SARHap|Esil_CBJ48573	aOG.eur_CupinJmjC4	
Ancyromonadida|Plamic_ANCSI_11133.mRNA.1	aOG.eur_CupinJmjC4	
Amoebozoa|Plafun_PRP79815	aOG.eur_CupinJmjC4	
SARHap|Coka_g14475.t1	aOG.eur_CupinJmjC4	
Malawimonadidae|Maljak_MALJA_08549.mRNA.1	aOG.eur_CupinJmjC4	
CRuMs|Rigram_Gene.5570	aOG.eur_CupinJmjC5	
ArchaeCry|Mpus_XP_003064571.1	aOG.eur_CupinJmjC5	
SARHap|Schagg_11712	aOG.eur_CupinJmjC5	
Ancyromonadida|Plamic_ANCSI_07442.mRNA.1	aOG.eur_CupinJmjC6	
Discoba|Recame_RECAM_14298.mRNA.1	aOG.eur_CupinJmjC6	
SARHap|Esil_CBN75481	aOG.eur_CupinJmjC6	
SARHap|Ehux_EOD16015	aOG.eur_CupinJmjC6	
Discoba|Secula_SECUL_09179.mRNA.1	aOG.eur_CupinJmjC6	
ArchaeCry|Gthe_EKX45703	aOG.eur_CupinJmjC6	
Meteora|Meteor_CRO19MET_NODE_3038.p3	aOG.eur_CupinJmjC6	
Obazoa|Tadh_P53278	aOG.eur_CupinJmjC6	
Obazoa|Spis_XP_022781813_1	aOG.eur_CupinJmjC6	
SARHap|Sappar_KDO32543	aOG.eur_CupinJmjC6	
Ancyromonadida|Fabtro_Gene.4449	aOG.eur_CupinJmjC6	
Ancyromonadida|Ancsig_Gene.26143	aOG.eur_CupinJmjC6	
Hemimastigophora|Spimul_14209_TR7637_c0_g1	aOG.eur_CupinJmjC7	
Obazoa|Cowc_KJE92120	aOG.eur_CupinJmjC7	
Discoba|Amobb2_AMBB2_04248.mRNA.1	aOG.eur_CupinJmjC7	
ArchaeCry|Marpol_PTQ42887	aOG.eur_CupinJmjC7	
CRuMs|Manpla_Gene.43407	aOG.eur_CupinJmjC7	
ArchaeCry|Smoe_EFJ15780	aOG.eur_CupinJmjC7	
SARHap|Sappar_KDO34021	aOG.eur_CupinJmjC7	
Amoebozoa|Hetalb_XP_020436685.1	aOG.eur_CupinJmjC7	
SARHap|Aurlim_42045	aOG.eur_CupinJmjC7	
ArchaeCry|Acoe_PIA52054.1	aOG.eur_CupinJmjC7	
Obazoa|Spun_KNC98671	aOG.eur_CupinJmjC7	
Amoebozoa|Plafun_PRP86357	aOG.eur_CupinJmjC7	
Amoebozoa|Plafun_PRP86382	aOG.eur_CupinJmjC8	
Discoba|Phakir_PHAKIR_16712.mRNA.1	aOG.eur_CupinJmjC8	
Obazoa|Spun_KNC98360	aOG.eur_CupinJmjC9	
Amoebozoa|Tielac_KYR01724	aOG.eur_CupinJmjC9	
Discoba|Amobb2_AMBB2_03509.mRNA.1	aOG.eur_CupinJmjC9	
Amoebozoa|Ddis_EAL67643	aOG.eur_CupinJmjC9	
Discoba|Ngru_EFC50662	aOG.eur_CupinJmjC9	
SARHap|Chrtob_KOO53858.1	aOG.eur_CupinJmjC10	
Ancyromonadida|Plamic_ANCSI_05865.mRNA.1	aOG.eur_CupinJmjC10	
