gene	orthogroup	orthologous_to
Bremin_symbB.v1.2.025404.t1_1756-1861	rve.HG20.0:NA	NA
Rirr_GBC32003_166-263	rve.HG20.0:NA	NA
Malcal_MALCA_00304.mRNA.1_115-209	rve.HG20.0:NA	NA
Emue_0002g1128a_163-264	rve.HG20.0:NA	NA
Spis_XP_022805709_1_37-152	rve.HG20.0:NA	NA
Rirr_GBC29509_138-245	rve.HG20.0:NA	NA
Emue_0006g1063a_163-274	rve.HG20.0:NA	NA
Emue_0012g521a_115-212	rve.HG20.0:NA	NA
Notgen_g20303.t1_155-257	rve.HG20.0:NA	NA
Emue_0006g1554a_163-264	rve.HG20.0:NA	NA
Rirr_GBC27091_147-246	rve.HG20.0:NA	NA
Emue_0001g1181a_673-776	rve.HG20.0:NA	NA
Notgen_g38234.t1_157-261	rve.HG20.0:NA	NA
Notgen_g5960.t1_47-148	rve.HG20.0:NA	NA
Emue_0007g1388a_163-263	rve.HG20.0:NA	NA
Emue_0053g1a_163-264	rve.HG20.0:NA	NA
Emue_0007g414a_119-216	rve.HG20.0:NA	NA
Rirr_GBC45238_183-279	rve.HG20.0:NA	NA
Fabtro_Gene.8539_362-470	rve.HG20.0:NA	NA
Emue_0120g9a_119-211	rve.HG20.0:NA	NA
Nk52_evm1s736_91-185	rve.HG20.0:NA	NA
Emue_0010g341a_1-103	rve.HG20.0:NA	NA
Rirr_GBC42395_159-258	rve.HG20.0:NA	NA
Notgen_g34828.t1_155-259	rve.HG20.0:NA	NA
Emue_0124g10a_163-264	rve.HG20.0:NA	NA
Emue_0001g1942a_135-236	rve.HG20.0:NA	NA
Emue_0006g490a_163-260	rve.HG20.0:NA	NA
Emue_0007g803a_286-397	rve.HG20.0:NA	NA
Emue_0002g1422a_389-494	rve.HG20.0:NA	NA
Linana_g26788.t1_148-245	rve.HG20.0:NA	NA
Emue_0006g765a_163-260	rve.HG20.0:NA	NA
Scil_scpid67600_74-187	rve.HG20.0:NA	NA
Emue_0001g3338a_71-167	rve.HG20.0:NA	NA
Emue_0001g2991a_161-274	rve.HG20.0:NA	NA
Emue_0001g1020a_137-238	rve.HG20.0:NA	NA
Emue_0017g866a_74-175	rve.HG20.0:NA	NA
Lcom_lcpid138375_66-149	rve.HG20.0:NA	NA
Scil_scpid66238_168-256	rve.HG20.0:NA	NA
Emue_0507g5a_119-216	rve.HG20.0:NA	NA
Auraur_scaffold401.g13.t1_119-241	rve.HG20.0:NA	NA
Rirr_GBC38089_151-249	rve.HG20.0:NA	NA
Linana_g26789.t1_149-245	rve.HG20.0:NA	NA
Emue_0024g113a_133-244	rve.HG20.0:NA	NA
Emue_0004g432a_163-264	rve.HG20.0:NA	NA
Notgen_g15542.t1_157-261	rve.HG20.0:NA	NA
Notgen_g23589.t1_90-194	rve.HG20.0:NA	NA
Emue_0001g1594a_137-238	rve.HG20.0:NA	NA
Emue_0002g186a_163-264	rve.HG20.0:NA	NA
Skow_XP_006813913.1_144-257	rve.HG20.0:NA	NA
Rirr_GBC43713_159-257	rve.HG20.0:NA	NA
