gene	genomic_cluster	members	component	classification	posx	posy	species
Aano_EGB02157	1	Aano_EGB02157_1-106	0	H2B	0.303622752428055	0.175077974796295	Aano
Aano_EGB03228	1	Aano_EGB03228_26-103	1	H4	0.238272554086338	0.16662908904923	Aano
Aano_EGB03512	2	Aano_EGB03512_24-103	1	H4	0.0735451234225016	0.550336062601817	Aano
Aano_EGB03522	2	Aano_EGB03522_1-114	2	H3	-0.00712306937202811	-0.0864936485886574	Aano
Aano_EGB03692	1	Aano_EGB03692_1-136	2	H3	0.00535015901550651	-0.0324429236352444	Aano
Aano_EGB03693	1	Aano_EGB03693_2-101	4	H2AZ	-0.561903774738312	0.777018964290619	Aano
Aano_EGB03982	1	Aano_EGB03982_10-97	4	H2A	0.197642534971237	-0.0934854224324226	Aano
Aano_EGB04036	1	Aano_EGB04036_1-102	0	H2B	0.227721095085144	0.0652298182249069	Aano
Acas_ELR14806	3	Acas_ELR14806_32-110	1	H4	0.198196541930521	0.260540269387915	Acas
Acas_ELR19361	3	Acas_ELR19361_1-139	0	H2B	-0.075383685529232	-0.020050959661603	Acas
Acoe_PIA26147.1	4	Acoe_PIA26147.1_27-103	1	H4	0.480092335465897	-0.0676404028438028	Acoe
Acoe_PIA58461.1	5	Acoe_PIA58461.1_1-99	4	H2A	0.169144675135612	-0.266141414642334	Acoe
Acoe_PIA58462.1	5	Acoe_PIA58462.1_5-101	4	H2A	-0.0659877434372902	-0.108544155955315	Acoe
Adig_XP_015747488.1	6	Adig_XP_015747488.1_30-107	1	H4	0.11200007972801	-0.52235451298982	Adig
Adig_XP_015747488.1	6	Adig_XP_015747488.1_98-206	0	H2B	-0.583499789237976	0.207866758108139	Adig
Adig_XP_015747523.1	6	Adig_XP_015747523.1_1-110	0	H2B	0.161186829209328	0.363492429256439	Adig
Adig_XP_015747524.1	6	Adig_XP_015747524.1_2-98	4	H2A	0.21993562579155	-0.214596062898636	Adig
Adig_XP_015747527.1	6	Adig_XP_015747527.1_27-103	1	H4	-0.0416278807612764	-0.641754772807382	Adig
Adig_XP_015747528.1	6	Adig_XP_015747528.1_26-103	1	H4	-0.0030788910819193	-0.0546981285820625	Adig
Adig_XP_015747529.1	6	Adig_XP_015747529.1_1-127	2	H3	-0.050934124737978	-0.0196295846253633	Adig
Adig_XP_015747529.1	6	Adig_XP_015747529.1_113-229	2	H3	0.0290116425603628	-0.082587867975235	Adig
Adig_XP_015747530.1	6	Adig_XP_015747530.1_30-107	1	H4	0.0546045744340818	-0.605601808813237	Adig
Adig_XP_015747530.1	6	Adig_XP_015747530.1_101-211	0	H2B	-0.027164539322257	0.285992860794067	Adig
Adig_XP_015748861.1	6	Adig_XP_015748861.1_1-136	2	H3	-0.00830900762230158	-0.0459364801645279	Adig
Adig_XP_015748862.1	6	Adig_XP_015748862.1_1-98	4	H2A	0.287385106086731	-0.256634593009949	Adig
Adig_XP_015759837.1	6	Adig_XP_015759837.1_90-199	0	H2B	-0.0913819000124931	0.284682542085648	Adig
Adig_XP_015767152.1	6	Adig_XP_015767152.1_664-804	0	H2B	-0.142670691013336	0.272329151630402	Adig
Adig_XP_015769293.1	7	Adig_XP_015769293.1_1-98	4	H2A	0.202611550688744	-0.137729242444038	Adig
Adig_XP_015769294.1	7	Adig_XP_015769294.1_1-105	0	H2B	-0.229371830821037	0.356315761804581	Adig
Alblai_CCA15304	8	Alblai_CCA15304_1-136	2	H3	-0.00942134112119675	-0.0285232905298471	Alblai
Alblai_CCA15305	8	Alblai_CCA15305_26-103	1	H4	0.274527280183178	0.191393238785781	Alblai
Amac_KNE55234	9	Amac_KNE55234_28-119	0	H2B	0.346433341503143	-0.726517498493195	Amac
Amac_KNE55235	9	Amac_KNE55235_5-100	4	H2AZ	-0.570657134056091	0.775162875652313	Amac
Amac_KNE59880	9	Amac_KNE59880_28-119	0	H2B	0.124640233814716	0.200697422027588	Amac
Amac_KNE60951	10	Amac_KNE60951_1-136	2	H3	0.0444885864853859	-0.0281931068748236	Amac
Amac_KNE60952	10	Amac_KNE60952_25-103	1	H4	-0.16189084759331	0.47428266322816	Amac
Amac_KNE69927	10	Amac_KNE69927_1-136	2	H3	0.0378340184688568	-0.0275401789695024	Amac
Apla_XP_022080340.1	11	Apla_XP_022080340.1_138-282	2	H3	0.0183359291404486	-0.0676077529788017	Apla
Apla_XP_022080340.1	11	Apla_XP_022080340.1_30-107	1	H4	0.0413608560261586	-0.533187424185172	Apla
Apla_XP_022080478.1	11	Apla_XP_022080478.1_1-98	4	H2A	0.17376945912838	-0.231874644756317	Apla
Apla_XP_022080479.1	11	Apla_XP_022080479.1_13-107	0	H2B	-0.348135441541672	0.21929132938385	Apla
Apla_XP_022088067.1	11	Apla_XP_022088067.1_141-285	2	H3	0.00114479381591082	-0.0201406795531511	Apla
Apla_XP_022088067.1	11	Apla_XP_022088067.1_30-106	1	H4	0.107240135602426	-0.54380454148394	Apla
Apla_XP_022088169.1	11	Apla_XP_022088169.1_1-98	4	H2A	0.234954118728638	-0.200556084513664	Apla
Apla_XP_022108863.1	11	Apla_XP_022108863.1_1-97	4	H2AZ	-0.488973259925842	0.675333678722382	Apla
Aque_Aqu2.1.08429_001	12	Aque_Aqu2.1.08429_001_47-123	1	H4	0.15209885490659	-0.360691469567424	Aque
Aque_Aqu2.1.08430_001	12	Aque_Aqu2.1.08430_001_4-107	0	H2B	-0.457710683345795	0.204992264509201	Aque
Aque_Aqu2.1.08431_001	12	Aque_Aqu2.1.08431_001_2-98	4	H2A	0.218813791871071	-0.204293683171272	Aque
Aque_Aqu2.1.40839_001	13	Aque_Aqu2.1.40839_001_26-103	1	H4	-0.00514908065480386	-0.0830074065331745	Aque
Aque_Aqu2.1.40841_001	13	Aque_Aqu2.1.40841_001_2-84	5		0.552777826786041	-0.0799689069390297	Aque
Atha_AT1G09200.1	14	Atha_AT1G09200.1_1-136	2	H3	0.00099324353504926	-0.024261275306344	Atha
Atha_AT4G40030.2	15	Atha_AT4G40030.2_20-164	2	H3	-0.028109785169363	-0.00142825278453529	Atha
Atha_AT5G65350.1	14	Atha_AT5G65350.1_1-139	2	other_CENP	-0.0594825521111488	-0.0175897553563118	Atha
Atri_ERN07750	16	Atri_ERN07750_1-125	0	H2B	0.350224912166595	-0.708147406578064	Atri
Atri_ERN07751	16	Atri_ERN07751_1-134	0	H2B	0.376762896776199	-0.788610219955444	Atri
Auraur_scaffold1826.g10.t1	17	Auraur_scaffold1826.g10.t1_23-119	0	H2B	-0.0954566597938538	0.24640303850174	Auraur
Auraur_scaffold1826.g7.t1	17	Auraur_scaffold1826.g7.t1_26-103	1	H4	-0.00296568567908988	-0.0203653191366621	Auraur
Azfi_s0005.g008911	18	Azfi_s0005.g008911_6-141	0	H2B	0.33660227060318	-0.718774437904358	Azfi
Azfi_s0005.g008912	18	Azfi_s0005.g008912_19-142	0	H2B	0.330678701400757	-0.694366276264191	Azfi
Bden_EGF78877	19	Bden_EGF78877_1-136	2	H3	-0.000686214654706419	-0.027884216979146	Bden
Bden_EGF79075	19	Bden_EGF79075_29-106	1	H4	-0.307367246175762	0.224988609018172	Bden
Bden_EGF83343	20	Bden_EGF83343_12-116	0	H2B	-0.00723096448928118	0.232758417725563	Bden
Bden_EGF84074	20	Bden_EGF84074_1-90	4	macroH2A	0.0995351076126099	-0.16148467361927	Bden
Bden_EGF84161	20	Bden_EGF84161_1-90	4	H2A	0.235295251011848	-0.246243983507156	Bden
Bdis_KQJ82897	21	Bdis_KQJ82897_1-136	2	H3	-0.0394146479666233	-0.0821836665272713	Bdis
Bdis_KQJ86807	22	Bdis_KQJ86807_1-136	2	H3	-0.00783657561987638	-0.0133934877812862	Bdis
Bdis_KQJ95913	23	Bdis_KQJ95913_1-91	2	H3	0.101483896374702	-0.0192909222096205	Bdis
Bdis_KQJ95914	23	Bdis_KQJ95914_1-128	2	H3	-0.0541964881122112	-0.0319727659225464	Bdis
