gene	orthogroup	orthologous_to
Spis_XP_022789671_1	Daxx.HG1.0:DAXX	DAXX
Hsap_ENSP00000266000.6	Daxx.HG1.0:DAXX	DAXX
Linana_g28571.t1	Daxx.HG1.0:DAXX	DAXX
Linana_g28754.t1	Daxx.HG1.0:DAXX	DAXX
Hsap_ENSP00000404376.2	Daxx.HG1.0:DAXX	DAXX
Hsap_ENSP00000372539.4	Daxx.HG1.0:DAXX	DAXX
Hsap_ENSP00000394108.2	Daxx.HG1.0:DAXX	DAXX
Drer_ENSDARP00000105452.1	Daxx.HG1.0:DAXX	DAXX
Hsap_ENSP00000372681.4	Daxx.HG1.0:DAXX	DAXX
Ctel_CapteP203913	Daxx.HG1.0:DAXX	DAXX
Skow_XP_002735579.2	Daxx.HG1.0:DAXX	DAXX
Notgen_g38105.t1	Daxx.HG1.0:DAXX	DAXX
Notgen_g39798.t1	Daxx.HG1.0:DAXX	DAXX
Ptyfla_pfl_40v0_9_20150316_1g9664.t1	Daxx.HG1.0:DAXX	DAXX
Bralan_BL55834_cuf1	Daxx.HG1.0:DAXX	DAXX
Cscu_XP_023217604.1	Daxx.HG1.0:DAXX	DAXX
