Transcript	Length	EffectiveLength	TPM	NumReads	Sample	Gene
Ppat_Pp3c3_13480V3.1	669	419.000	3.063772	39.997	ERR506752	Ppat_Pp3c3_13480V3.1
Ppat_Pp3c3_13480V3.1	669	419.000	3.210569	40.309	ERR506753	Ppat_Pp3c3_13480V3.1
Ppat_Pp3c3_13480V3.1	669	419.000	4.294628	50.996	ERR506754	Ppat_Pp3c3_13480V3.1
Ppat_Pp3c3_13480V3.1	669	419.000	3.874580	42.002	ERR506755	Ppat_Pp3c3_13480V3.1
Ppat_Pp3c3_13480V3.1	669	419.000	5.622031	64.000	ERR506756	Ppat_Pp3c3_13480V3.1
Ppat_Pp3c3_13480V3.1	669	419.000	3.994445	37.001	ERR506757	Ppat_Pp3c3_13480V3.1
Ppat_Pp3c3_13480V3.1	669	419.000	2.784415	36.000	ERR506758	Ppat_Pp3c3_13480V3.1
Ppat_Pp3c3_13480V3.1	669	419.000	3.689125	38.460	ERR506759	Ppat_Pp3c3_13480V3.1
Ppat_Pp3c3_13480V3.1	669	419.000	3.423306	42.996	ERR506760	Ppat_Pp3c3_13480V3.1
Ppat_Pp3c3_13480V3.1	669	419.000	6.249513	71.997	ERR506761	Ppat_Pp3c3_13480V3.1
Ppat_Pp3c3_13480V3.1	669	419.000	4.327909	46.000	ERR506762	Ppat_Pp3c3_13480V3.1
Ppat_Pp3c3_13480V3.1	669	419.000	4.518540	49.995	ERR506763	Ppat_Pp3c3_13480V3.1
