Hydvul_Sc4wPfr_697.1.g18496.t1	zf-BED EphA2_TM Pkinase_Tyr SAM_2
Hydvul_Sc4wPfr_177.1.g6126.t1	FHA Exo_endo_phos_2 RVT_1 RTT107_BRCT_5 NIBRIN_BRCT_II Nbs1_C
Hydvul_Sc4wPfr_350.g2270.t1	SET DDE_Tnp_1_7
Hydvul_Sc4wPfr_221.g17500.t1	RasGEF DDE_Tnp_1_7 Bromodomain
Hydvul_Sc4wPfr_137.g27932.t1	RVT_1 PHD
Hydvul_Sc4wPfr_740.1.g22464.t1	SAM_1 MULE NIF
Hydvul_Sc4wPfr_59.2.g12417.t1	SNF2_N HTH_Tnp_4
Hydvul_Sc4wPfr_39.1.g26772.t1	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2
Hydvul_Sc4wPfr_59.2.g12417.t2	SNF2_N HTH_Tnp_4
Hydvul_Sc4wPfr_39.1.g26772.t4	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2 CHDCT2
Hydvul_Sc4wPfr_1107.1.g29848.t1	RVT_1 POB3_N SSrecog
Hydvul_Sc4wPfr_39.1.g26772.t5	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2 CHDCT2
Hydvul_Sc4wPfr_250.g16063.t2	SET zf-MYND Exo_endo_phos_2 RVT_1
Hydvul_Sc4wPfr_1107.1.g29867.t1	PHD RVT_1
