Transcript	start_cds	end_cds	start_pep	end_pep	NumReads
Morvir_scaffold102.g15.t1	0	1841	0	613	58.23453237
Morvir_scaffold102.g15.t1	1868	5941	622	1980	323.6169065
Morvir_scaffold10.g67.t1	2	3936	0	1312	1266.883039
Morvir_scaffold122.g10.t1	0	3362	0	1120	167.8484848
Morvir_scaffold122.g10.t1	3442	4719	1147	1573	46.47857143
Morvir_scaffold131.g36.t1	163	409	54	136	3.714285714
Morvir_scaffold131.g36.t1	559	1068	186	356	2.625
Morvir_scaffold154.g16.t2	0	113	0	37	6
Morvir_scaffold154.g16.t2	124	4980	41	1660	934.1672996
Morvir_scaffold177.g17.t1	0	3133	0	1044	1153.458533
Morvir_scaffold177.g17.t1	3151	4161	1050	1387	48.67663043
Morvir_scaffold17.g141.t1	0	4083	0	1361	239.9371675
Morvir_scaffold1.g18.t2	0	4797	0	1599	1188.588011
Morvir_scaffold208.g24.t1	1582	3759	527	1253	117.6431227
Morvir_scaffold209.g16.t1	2	3927	0	1309	44.84379562
Morvir_scaffold209.g16.t1	4016	4538	1338	1512	6.708333333
Morvir_scaffold209.g16.t1	4660	7108	1553	2369	9.29245283
Morvir_scaffold217.g1.t1	0	4177	0	1392	760.2132207
Morvir_scaffold21.g164.t3	0	2203	0	734	244.1869587
Morvir_scaffold21.g38.t2	192	7791	64	2597	73.37020811
Morvir_scaffold237.g17.t1	2	1931	0	643	328.3245125
Morvir_scaffold238.g19.t1	0	4746	0	1582	281.6678992
Morvir_scaffold240.g28.t1	0	5898	0	1966	281.3412308
Morvir_scaffold263.g3.t2	35	3381	11	1127	1094.163475
Morvir_scaffold2848.g1.t1	15	782	5	260	66.62686567
Morvir_scaffold2.g47.t1	0	3723	0	1241	1372.134688
Morvir_scaffold32.g2.t1	0	5112	0	1704	176.3287037
Morvir_scaffold390.g6.t3	0	5338	0	1779	73.80441115
Morvir_scaffold39.g109.t1	1	1068	0	356	6
Morvir_scaffold42.g50.t1	198	385	66	128	1.333333333
Morvir_scaffold42.g50.t1	513	1068	171	356	7.694444444
Morvir_scaffold434.g2.t1	0	297	0	99	1757.788423
Morvir_scaffold434.g2.t1	377	4467	125	1489	2063.585225
Morvir_scaffold44.g6.t2	0	3175	0	1058	134.9014622
Morvir_scaffold44.g6.t2	3200	3501	1066	1167	107.0934066
Morvir_scaffold484.g4.t1	0	572	0	190	53.85714286
Morvir_scaffold48.g18.t1	2	3189	0	1063	343.0342205
Morvir_scaffold56.g37.t3	0	4989	0	1663	1121.831922
Morvir_scaffold5.g135.t1	11	4260	3	1420	1093.099889
Morvir_scaffold60.g79.t1	0	100	0	33	3
Morvir_scaffold60.g79.t1	258	4206	86	1402	371.1434426
Morvir_scaffold707.g4.t2	0	3693	0	1231	1363.54432
Morvir_scaffold76.g69.t2	0	5770	0	1923	225.5957758
Morvir_scaffold7.g45.t2	0	10680	0	3560	323.9457944
Morvir_scaffold81.g59.t1	0	3466	0	1155	316.8609113
Morvir_scaffold81.g60.t1	0	1812	0	604	31.13924051
Morvir_scaffold81.g60.t1	2195	2796	731	932	19.02631579
Morvir_scaffold92.g50.t2	0	3327	0	1109	857.2870583
