in_gene	out_gene	branch_support	ev_type	sos
Gracho_PXF49950.1	Honfer_GBG33694	60.0	S	0.0
Gracho_PXF49950.1	Aurlim_12423	60.0	S	0.0
Aano_EGB04816	Eimten_CDJ38853	14.0	S	0.0
Aano_EGB04816	Tgon_TGME49_264640-t26_1	14.0	S	0.0
Aano_EGB04816	Pfal_CZT99292	14.0	S	0.0
Aano_EGB04816	Bodsal_CUI15349.1	14.0	S	0.0
Aano_EGB04816	Gonavo_comp58575_c0_seq1_6_ORF59_1546	14.0	S	0.0
Aano_EGB04816	Mcir_OAD01777	14.0	S	0.0
Aano_EGB04816	Ancsig_Gene.6414	14.0	S	0.0
Aano_EGB04816	Coka_g12261.t1	14.0	S	0.0
Aano_EGB04816	Esil_CBJ32071	14.0	S	0.0
Schagg_31285	Eimten_CDJ38853	14.0	S	0.0
Schagg_31285	Tgon_TGME49_264640-t26_1	14.0	S	0.0
Schagg_31285	Pfal_CZT99292	14.0	S	0.0
Schagg_31285	Bodsal_CUI15349.1	14.0	S	0.0
Schagg_31285	Gonavo_comp58575_c0_seq1_6_ORF59_1546	14.0	S	0.0
Schagg_31285	Mcir_OAD01777	14.0	S	0.0
Schagg_31285	Ancsig_Gene.6414	14.0	S	0.0
Schagg_31285	Coka_g12261.t1	14.0	S	0.0
Schagg_31285	Esil_CBJ32071	14.0	S	0.0
Aano_EGB08791	Eimten_CDJ38853	14.0	S	0.0
Aano_EGB08791	Tgon_TGME49_264640-t26_1	14.0	S	0.0
Aano_EGB08791	Pfal_CZT99292	14.0	S	0.0
Aano_EGB08791	Bodsal_CUI15349.1	14.0	S	0.0
Aano_EGB08791	Gonavo_comp58575_c0_seq1_6_ORF59_1546	14.0	S	0.0
Aano_EGB08791	Mcir_OAD01777	14.0	S	0.0
Aano_EGB08791	Ancsig_Gene.6414	14.0	S	0.0
Aano_EGB08791	Coka_g12261.t1	14.0	S	0.0
Aano_EGB08791	Esil_CBJ32071	14.0	S	0.0
Aano_EGB12523	Eimten_CDJ38853	14.0	S	0.0
Aano_EGB12523	Tgon_TGME49_264640-t26_1	14.0	S	0.0
Aano_EGB12523	Pfal_CZT99292	14.0	S	0.0
Aano_EGB12523	Bodsal_CUI15349.1	14.0	S	0.0
Aano_EGB12523	Gonavo_comp58575_c0_seq1_6_ORF59_1546	14.0	S	0.0
Aano_EGB12523	Mcir_OAD01777	14.0	S	0.0
Aano_EGB12523	Ancsig_Gene.6414	14.0	S	0.0
Aano_EGB12523	Coka_g12261.t1	14.0	S	0.0
Aano_EGB12523	Esil_CBJ32071	14.0	S	0.0
Pavlsp_555709	Eimten_CDJ38853	14.0	S	0.0
Pavlsp_555709	Tgon_TGME49_264640-t26_1	14.0	S	0.0
Pavlsp_555709	Pfal_CZT99292	14.0	S	0.0
Pavlsp_555709	Bodsal_CUI15349.1	14.0	S	0.0
Pavlsp_555709	Gonavo_comp58575_c0_seq1_6_ORF59_1546	14.0	S	0.0
Pavlsp_555709	Mcir_OAD01777	14.0	S	0.0
Pavlsp_555709	Ancsig_Gene.6414	14.0	S	0.0
Pavlsp_555709	Coka_g12261.t1	14.0	S	0.0
Pavlsp_555709	Esil_CBJ32071	14.0	S	0.0
Honfer_GBG33694	Aurlim_12423	100.0	S	0.0
Aano_EGB05148	Ngad_EWM29726	93.0	S	0.0
Aano_EGB05148	Schagg_33229	93.0	S	0.0
Aano_EGB05148	Falb_KCV67890	93.0	S	0.0
Bdis_KQJ89385	Aplker_27603	96.0	S	0.0
Bdis_KQJ89385	Aplker_31359	96.0	S	0.0
Bdis_KQJ89385	Aurlim_70899	96.0	S	0.0
Bdis_KQJ89385	Honfer_GBG32091	96.0	S	0.0
