gene	orthogroup	orthologous_to
Hydvul_Sc4wPfr_523.g16374.t1	zf-C2H2.HG0.0:like:ZNF335:likeclu:4	NA
Lpol_XP_013786225.1	zf-C2H2.HG0.0:like:ZNF335:likeclu:4	NA
Drer_ENSDARP00000099445.4	zf-C2H2.HG0.0:like:ZNF335:likeclu:4	NA
Drer_ENSDARP00000140888.2	zf-C2H2.HG0.0:like:ZNF335:likeclu:4	NA
Drer_ENSDARP00000156508.1	zf-C2H2.HG0.0:like:ZNF335:likeclu:4	NA
Ptyfla_pfl_40v0_9_20150316_1g959.t1	zf-C2H2.HG0.0:like:ZNF335:likeclu:4	NA
Drer_ENSDARP00000097432.3	zf-C2H2.HG0.0:like:ZNF335:likeclu:4	NA
Ctel_CapteP46375	zf-C2H2.HG0.0:like:ZNF335:likeclu:4	NA
Lgig_LotgiP109963	zf-C2H2.HG0.0:like:ZNF335:likeclu:4	NA
Tcas_XP_008196814.1	zf-C2H2.HG0.0:like:ZNF335:likeclu:4	NA
Bnat_JGI_V11_81223	zf-C2H2.HG0.1:like:ZNF335:likeclu:4	NA
Dpul_EFX79363	zf-C2H2.HG0.1:like:ZNF335:likeclu:4	NA
Ctel_CapteP178127	zf-C2H2.HG0.1:like:ZNF335:likeclu:4	NA
Spur_XP_011670503.1	zf-C2H2.HG0.2:like:ZNF335:likeclu:4	NA
Helrob_HelroP133378	zf-C2H2.HG0.2:like:ZNF335:likeclu:4	NA
Tcas_XP_015834159.1	zf-C2H2.HG0.2:like:ZNF335:likeclu:4	NA
Linana_g15018.t1	zf-C2H2.HG0.2:like:ZNF335:likeclu:4	NA
Dmel_FBpp0083249	zf-C2H2.HG0.2:like:ZNF335:likeclu:4	NA
Linana_g20818.t1	zf-C2H2.HG0.2:like:ZNF335:likeclu:4	NA
Tcas_XP_015834158.1	zf-C2H2.HG0.2:like:ZNF335:likeclu:4	NA
Tcas_XP_015834126.1	zf-C2H2.HG0.2:like:ZNF335:likeclu:4	NA
Linana_g11676.t1	zf-C2H2.HG0.2:like:ZNF335:likeclu:4	NA
Linana_g28208.t1	zf-C2H2.HG0.2:like:ZNF335:likeclu:4	NA
Cgig_EKC19930	zf-C2H2.HG0.2:like:ZNF335:likeclu:4	NA
Tcas_XP_015834163.1	zf-C2H2.HG0.2:like:ZNF335:likeclu:4	NA
Phoaus_g2826.t1	zf-C2H2.HG0.2:like:ZNF335:likeclu:4	NA
Morvir_scaffold643.g1.t1	zf-C2H2.HG0.2:like:ZNF335:likeclu:4	NA
Cint_ENSCINP00000024617.2	zf-C2H2.HG0.2:like:ZNF335:likeclu:4	NA
Gracho_PXF47850.1	zf-C2H2.HG0.2:like:ZNF335:likeclu:4	NA
Clyhem_TCONS_00069826-protein	zf-C2H2.HG0.2:like:ZNF335:likeclu:4	NA
Skow_XP_002740624.1	zf-C2H2.HG0.2:like:ZNF335:likeclu:4	NA
Cscu_XP_023210794.1	zf-C2H2.HG0.2:like:ZNF335:likeclu:4	NA
Drer_ENSDARP00000084452.4	zf-C2H2.HG0.2:like:ZNF335:likeclu:4	NA
Cscu_XP_023212779.1	zf-C2H2.HG0.2:like:ZNF335:likeclu:4	NA
Auraur_scaffold2872.g2.t1	zf-C2H2.HG0.2:like:ZNF335:likeclu:4	NA
Dpul_EFX74149	zf-C2H2.HG0.2:like:ZNF335:likeclu:4	NA
Bralan_BL23649_cuf2	zf-C2H2.HG0.2:like:ZNF335:likeclu:4	NA
Drer_ENSDARP00000114082.2	zf-C2H2.HG0.2:like:ZNF335:likeclu:4	NA
Linana_g10054.t1	zf-C2H2.HG0.3:like:ZNF335:likeclu:4	NA
Bralan_BL07292_evm0	zf-C2H2.HG0.3:like:ZNF335:likeclu:4	NA
Tcas_XP_015838859.1	zf-C2H2.HG0.3:like:ZNF335:likeclu:4	NA
Notgen_g29905.t1	zf-C2H2.HG0.3:like:ZNF335:likeclu:4	NA
Cscu_XP_023242424.1	zf-C2H2.HG0.4:ZNF335	ZNF335
Phoaus_g12592.t1	zf-C2H2.HG0.4:ZNF335	ZNF335
Drer_ENSDARP00000151883.1	zf-C2H2.HG0.4:ZNF335	ZNF335
Bralan_BL17358_evm5	zf-C2H2.HG0.4:ZNF335	ZNF335
Hsap_ENSP00000325326.2	zf-C2H2.HG0.4:ZNF335	ZNF335
Cscu_XP_023242915.1	zf-C2H2.HG0.4:ZNF335	ZNF335
Mlei_ML0109_g5_t1	zf-C2H2.HG0.5:like:ZNF335:likeclu:4	NA
Notgen_g12038.t1	zf-C2H2.HG0.5:like:ZNF335:likeclu:4	NA
Ctel_CapteP167265	zf-C2H2.HG0.5:like:ZNF335:likeclu:4	NA
Bralan_BL07620_evm0	zf-C2H2.HG0.5:like:ZNF335:likeclu:4	NA
Bralan_BL06931_cuf1	zf-C2H2.HG0.5:like:ZNF335:likeclu:4	NA
Lpol_XP_013790976.1	zf-C2H2.HG0.5:like:ZNF335:likeclu:4	NA
Mlei_ML0968_g21_t1	zf-C2H2.HG0.5:like:ZNF335:likeclu:4	NA
Skow_XP_006813210.1	zf-C2H2.HG0.5:like:ZNF335:likeclu:4	NA
