Transcript	start_cds	end_cds	start_pep	end_pep	NumReads
Spis_XP_022782075_1	0	312	0	104	68.98845932
Spis_XP_022782076_1	0	684	0	228	312.3943818
Spis_XP_022791544_1	0	687	0	229	393.2164911
Spis_XP_022792399_1	0	411	0	137	30.43770227
Spis_XP_022792400_1	0	411	0	137	33.68315412
Spis_XP_022792401_1	0	690	0	230	26.92134063
Spis_XP_022792402_1	0	669	0	223	96.50556144
Spis_XP_022792403_1	0	675	0	225	91.17254902
Spis_XP_022792426_1	21	318	7	106	11.56962025
Spis_XP_022803377_1	0	411	0	137	5.593103448
Spis_XP_022808489_1	0	411	0	137	22.76246334
Spis_XP_022808491_1	0	411	0	137	15.10087719
Spis_XP_022808494_1	0	687	0	229	281.7486955
Spis_XP_022808495_1	0	669	0	223	156.6995669
