Protein FDR Confidence: Mascot	Master	Accession	Description	Exp. q-value: Mascot	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Mascot: Mascot	# Peptides (by Search Engine): Mascot	Biological Process	Cellular Component	Molecular Function	Pfam IDs	Entrez Gene ID	# Protein Pathway Groups	Abundance: F1: Sample	Found in Sample: [S1] F1: Sample	# Protein Groups	Modifications
High	IsMasterProtein	Methanosarcina_spelaei_PAV14247.1|Histone	Methanosarcina_spelaei_PAV14247.1|Histone	0	41	4	18	1	69	7.6	7.42	527	4	NA	NA	NA	NA	NA	0	1029326784	High	1	Propionyl [N-Term]
High	IsMasterProtein	Methanosarcina_spelaei_WP_095642992.1|Histone	Methanosarcina_spelaei_WP_095642992.1|Histone	0	27	4	15	1	89	10	9.41	468	4	NA	NA	NA	NA	NA	0	NA	Not Found	1	Propionyl [N-Term]
High	IsMasterProtein	Methanospirillum_stamsii_WP_109939834.1|Histone	Methanospirillum_stamsii_WP_109939834.1|Histone	0	90	8	90	2	69	7.3	6.05	3013	8	NA	NA	NA	NA	NA	0	520545.34375	High	1	Propionyl [N-Term; N-Term]; Acetyl [K14(100); K57(100)]
High	IsMasterProtein	Methanospirillum_stamsii_WP_109940533.1|Histone	Methanospirillum_stamsii_WP_109940533.1|Histone	0	71	6	77	2	69	7.3	6.02	2608	6	NA	NA	NA	NA	NA	0	5073362991.5	High	1	Acetyl [K14(100); K57(100)]; Propionyl [N-Term]
High	IsMasterProtein	Methanospirillum_stamsii_WP_109941938.1|Histone	Methanospirillum_stamsii_WP_109941938.1|Histone	0	57	7	51	6	107	11.3	10.15	1776	7	NA	NA	NA	NA	NA	0	556829674.666667	High	1	NA
High	IsMasterProtein	Methanospirillum_stamsii_WP_109939510.1|Histone	Methanospirillum_stamsii_WP_109939510.1|Histone	0	68	6	54	5	68	7.1	7.25	1503	6	NA	NA	NA	NA	NA	0	7386249024.66667	High	1	Acetyl [K54(100)]; Propionyl [N-Term; N-Term]
High	IsMasterProtein	Methanobrevibacter_cuticularis_KZX14734.1|Histone	Methanobrevibacter_cuticularis_KZX14734.1|Histone	0	44	6	40	6	72	7.6	8.29	1510	6	NA	NA	NA	NA	NA	0	552355482.666667	High	1	Propionyl [N-Term; N-Term]
High	IsMasterProtein	Methanobrevibacter_cuticularis_KZX17367.1|Histone	Methanobrevibacter_cuticularis_KZX17367.1|Histone	0	61	9	46	9	66	7	9.13	1360	9	NA	NA	NA	NA	NA	0	1827427392	High	1	Acetyl [K57(100)]; Propionyl [N-Term; N-Term]
High	IsMasterProtein	Methanobrevibacter_cuticularis_KZX17147.1|Histone	Methanobrevibacter_cuticularis_KZX17147.1|Histone	0	44	5	17	5	68	7.1	8.91	645	5	NA	NA	NA	NA	NA	0	7883772.66666667	High	1	Propionyl [N-Term; N-Term]
High	IsMasterProtein	Nitrososphaera_viennensis_AIC15241.1|Histone	Nitrososphaera_viennensis_AIC15241.1|Histone	0	80	9	22	9	74	8.2	9.19	867	9	NA	NA	NA	NA	NA	0	323254762.666667	High	1	NA
