gene	orthogroup	orthologous_to
Ehux_EOD34021	DOT1.HG1.0:like:DOT1L:likeclu:13	NA
Aano_EGB10744	DOT1.HG1.0:like:DOT1L:likeclu:13	NA
Aano_EGB06039	DOT1.HG1.0:like:DOT1L:likeclu:13	NA
Symmic_Smic37263	DOT1.HG1.0:like:DOT1L:likeclu:13	NA
Pinf_PITG_06020T0	DOT1.HG1.0:like:DOT1L:likeclu:13	NA
Bremin_symbB.v1.2.007439.t1	DOT1.HG1.0:like:DOT1L:likeclu:13	NA
Bremin_symbB.v1.2.007439.t2	DOT1.HG1.0:like:DOT1L:likeclu:13	NA
Esil_CBJ48288	DOT1.HG1.1:like:DOT1L:likeclu:13	NA
Symmic_Smic45002	DOT1.HG1.1:like:DOT1L:likeclu:13	NA
Honfer_GBG30489	DOT1.HG1.1:like:DOT1L:likeclu:13	NA
Aurlim_141314	DOT1.HG1.1:like:DOT1L:likeclu:13	NA
Ehux_EOD34111	DOT1.HG1.2:like:DOT1L:likeclu:13	NA
Bnat_JGI_V11_90719	DOT1.HG1.2:like:DOT1L:likeclu:13	NA
Plafun_PRP85728	DOT1.HG1.2:like:DOT1L:likeclu:13	NA
Phatri_Phatr3_EG01788.p1	DOT1.HG1.2:like:DOT1L:likeclu:13	NA
Ehux_EOD05430	DOT1.HG1.2:like:DOT1L:likeclu:13	NA
Crei_PNW81239	DOT1.HG1.3:like:DOT1L:likeclu:13	NA
Vcar_XP_002949156.1	DOT1.HG1.3:like:DOT1L:likeclu:13	NA
Bremin_symbB.v1.2.033430.t3	DOT1.HG1.4:like:DOT1L:likeclu:13	NA
Bremin_symbB.v1.2.028091.t2	DOT1.HG1.4:like:DOT1L:likeclu:13	NA
Bremin_symbB.v1.2.028091.t3	DOT1.HG1.4:like:DOT1L:likeclu:13	NA
Ehux_EOD23038	DOT1.HG1.5:like:DOT1L:likeclu:13	NA
Bremin_symbB.v1.2.016349.t1	DOT1.HG1.5:like:DOT1L:likeclu:13	NA
Vitbra_CEL92298.1	DOT1.HG1.5:like:DOT1L:likeclu:13	NA
Tpse_EED96600	DOT1.HG1.5:like:DOT1L:likeclu:13	NA
Perkma_EER09924	DOT1.HG1.5:like:DOT1L:likeclu:13	NA
Symmic_Smic6127	DOT1.HG1.5:like:DOT1L:likeclu:13	NA
Bremin_symbB.v1.2.022657.t1	DOT1.HG1.5:like:DOT1L:likeclu:13	NA
Symmic_Smic8616	DOT1.HG1.5:like:DOT1L:likeclu:13	NA
Gonavo_comp19518_c0_seq1_6_ORF15_251	DOT1.HG1.5:like:DOT1L:likeclu:13	NA
Gthe_EKX41628	DOT1.HG1.5:like:DOT1L:likeclu:13	NA
Sarc_Sarc4_g26402T	DOT1.HG1.5:like:DOT1L:likeclu:13	NA
Sros_EGD83452	DOT1.HG1.5:like:DOT1L:likeclu:13	NA
Bnat_JGI_V11_82077	DOT1.HG1.6:like:DOT1L:likeclu:13	NA
Bnat_JGI_V11_85003	DOT1.HG1.6:like:DOT1L:likeclu:13	NA
Bnat_JGI_V11_89598	DOT1.HG1.6:like:DOT1L:likeclu:13	NA
Cvel_18253.t1-p1	DOT1.HG1.7:like:DOT1L:likeclu:13	NA
Bnat_JGI_V11_85215	DOT1.HG1.7:like:DOT1L:likeclu:13	NA
Spimul_3297_TR1607_c0_g2	DOT1.HG1.7:like:DOT1L:likeclu:13	NA
Emue_0011g155a	DOT1.HG1.7:like:DOT1L:likeclu:13	NA
Bnat_JGI_V11_91977	DOT1.HG1.7:like:DOT1L:likeclu:13	NA
Coka_g11358.t1	DOT1.HG1.7:like:DOT1L:likeclu:13	NA
Esil_CBJ26512	DOT1.HG1.7:like:DOT1L:likeclu:13	NA
Bnat_JGI_V11_86835	DOT1.HG1.7:like:DOT1L:likeclu:13	NA
Gthe_EKX53516	DOT1.HG1.7:like:DOT1L:likeclu:13	NA
Bnat_JGI_V11_73982	DOT1.HG1.7:like:DOT1L:likeclu:13	NA
Bnat_JGI_V11_87549	DOT1.HG1.7:like:DOT1L:likeclu:13	NA
Lcom_lcpid147978	DOT1.HG1.7:like:DOT1L:likeclu:13	NA
Coka_g11358.t2	DOT1.HG1.7:like:DOT1L:likeclu:13	NA
Bremin_symbB.v1.2.013994.t1	DOT1.HG1.8:like:DOT1L:likeclu:13	NA
Bodsal_CUG90759.1	DOT1.HG1.8:like:DOT1L:likeclu:13	NA
Lmaj_CAJ06457	DOT1.HG1.8:like:DOT1L:likeclu:13	NA
Strcul_EPY28056	DOT1.HG1.8:like:DOT1L:likeclu:13	NA
Strcul_EPY20464	DOT1.HG1.8:like:DOT1L:likeclu:13	NA
Symmic_Smic14757	DOT1.HG1.8:like:DOT1L:likeclu:13	NA
Alblai_CCA16076	DOT1.HG1.8:like:DOT1L:likeclu:13	NA
Tcru_EAN80827	DOT1.HG1.8:like:DOT1L:likeclu:13	NA
Sappar_KDO16268	DOT1.HG1.8:like:DOT1L:likeclu:13	NA
Sappar_KDO23325	DOT1.HG1.8:like:DOT1L:likeclu:13	NA
Tcru_EAN97375	DOT1.HG1.8:like:DOT1L:likeclu:13	NA
Lepsey_KPI89513	DOT1.HG1.8:like:DOT1L:likeclu:13	NA
Pinf_PITG_00145T0	DOT1.HG1.8:like:DOT1L:likeclu:13	NA
Hemkuk_13364_TR4591_c0_g1	DOT1.HG1.8:like:DOT1L:likeclu:13	NA
Plafun_PRP80216	DOT1.HG1.9:like:DOT1L:likeclu:13	NA
Ehux_EOD27626	DOT1.HG1.9:like:DOT1L:likeclu:13	NA
Lmaj_CAJ06961	DOT1.HG1.9:like:DOT1L:likeclu:13	NA
Bodsal_CUE72359.1	DOT1.HG1.9:like:DOT1L:likeclu:13	NA
Bnat_JGI_V11_79216	DOT1.HG1.9:like:DOT1L:likeclu:13	NA
Aplker_59831	DOT1.HG1.9:like:DOT1L:likeclu:13	NA
Tcru_EAN89243	DOT1.HG1.9:like:DOT1L:likeclu:13	NA
Strcul_EPY28576	DOT1.HG1.9:like:DOT1L:likeclu:13	NA
Ehux_EOD31843	DOT1.HG1.9:like:DOT1L:likeclu:13	NA
Lmaj_CAJ03506	DOT1.HG1.9:like:DOT1L:likeclu:13	NA
Strcul_EPY29158	DOT1.HG1.9:like:DOT1L:likeclu:13	NA
Strcul_EPY23856	DOT1.HG1.9:like:DOT1L:likeclu:13	NA
Bodsal_CUE72357.1	DOT1.HG1.9:like:DOT1L:likeclu:13	NA
